"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:06:24","BennieGThompson","Today I offered a Motion to Recommit on H.R. 3483 ""The REVIEW Act""...the review act postpones a… https://t.co/Nxoo44127h",
"2016-07-15 ","14:29:52","BennieGThompson","Last night, Democratic Members of Congress stood with the American people for a National Speak… https://t.co/Wrgy1V8QFJ",
"2016-07-15 ","13:57:51","BennieGThompson","Leader @NancyPelosi is right. The House GOP is insistent on making this a ""do-nothing"" Congress. https://t.co/H62x0N6ASP",
"2016-06-10 ","17:19:46","BennieGThompson","Again, rather than moving this country into the future, Republicans have broken their own… https://t.co/dW5JBeOCnv",
"2016-06-10 ","16:34:15","BennieGThompson","Enjoyed briefly meeting with Joi Owens with Disability Rights Mississippi. Our Mississippians… https://t.co/JpueTvBFgD",
"2016-06-10 ","16:09:27","BennieGThompson","Bettye Taylor and Kimberly Campbell of AARP met with me earlier this week about Real… https://t.co/U60Kwr5Pyj",
"2013-06-05 ","22:17:31","BennieGThompson","I posted a new photo to Facebook http://t.co/u36g9V6QV7",
"2013-06-05 ","22:13:29","BennieGThompson","I posted 5 photos on Facebook in the album """" http://t.co/I1ldRPAsDA",
"2013-06-05 ","16:04:15","BennieGThompson","Medgar Evers wife Mrs. Myrlie Evers-Williams, pays tribute to her husband. @ Arlington National Cemetery http://t.co/ANkUOdoGTp",
"2013-06-05 ","16:02:21","BennieGThompson","Medgar Evers wife Mrs. Myrlie Evers-Williams, pays tribute to her husband. @ Arlington National Cemetery http://t.co/r7KnXI4vVb",
"2013-06-05 ","15:27:07","BennieGThompson","Remember Sgt. Medgar Evers today, during the 50th anniversary of his assassination. @ Arlington… http://t.co/V0Sb0ZfHqM",
"2013-06-05 ","14:57:37","BennieGThompson","Great performance by Jacksonian John Uzodinma! @ Arlington National Cemetery Administration Building http://t.co/NoPChdED9R",
"2013-06-05 ","14:39:33","BennieGThompson","Commemorating the 50th Anniversary of Medgar Evers @ Arlington National Cemetery http://t.co/JFRwIaqbF8",
"2013-04-19 ","17:37:47","BennieGThompson","HAPPENING NOW latest on the Boston bomber investigation @WeGotEd",
"2013-04-19 ","17:19:43","BennieGThompson","In 15 minutes, I will discuss the latest on the Boston bomber investigation on @WeGotEd",
"2013-04-19 ","15:52:48","BennieGThompson","Today, at 1:33PM EST, I will discuss the latest on the Boston bomber investigation on @WeGotEd",
"2013-03-11 ","14:28:07","BennieGThompson","Congratulations to the 2013 MHSAA Basketball State Champs from MS-02: Forest Hill, Murrah, Callaway, Canton, Amanda Elzy and Velma Jackson",
"2012-12-12 ","18:45:16","BennieGThompson","While the #FiscalCliff solution is negotiated, Congress should #DoTheRightThing: protect middleclass families &amp; small biz from tax increase","FiscalCliff DoTheRightThing"
