"Date","Time","screen_name","text","hashtags"
"2016-02-23 ","16:12:23","RepDavidEPrice","I was pleased to give remarks at the 2016 NC Child Hunger Leaders Conference hosted by No Kid Hungry NC https://t.co/SEnngbBB6a",
"2015-10-29 ","16:47:40","RepDavidEPrice","I congratulate Speaker Ryan, and I am hopeful that under his leadership we will see more bipartisan cooperation https://t.co/I5PUziRH71",
"2015-09-29 ","16:59:45","RepDavidEPrice","Happy 50th bday to @NEAarts &amp; @NEHgov! Congress must renew its commitment to these critical cultural organizations http://t.co/U6K26qlETk",
"2015-07-14 ","20:32:06","RepDavidEPrice","Happy 50th birthday to the Older Americans Act, which provides critical support to seniors and caregivers! #OAA50 http://t.co/t4qafMQJ64","OAA50"
"2015-07-14 ","15:46:41","RepDavidEPrice","Did you know that I am on Instagram? You can follow me at https://t.co/xfw3sphH2R for regular updates on my work in NC-04 and Washington!",
"2014-05-21 ","17:26:35","RepDavidEPrice","Very pleased the Approps Comm. adopted my amendment to restore funding to the Council on Homelessness to FY14 levels. #ncpol @AppropsDems","ncpol"
"2014-04-01 ","22:01:37","RepDavidEPrice","The #NCGA &amp; Gov. McCrory should revisit their decision to block our poorest residents from gaining coverage under Medicaid expansion. #ncpol","NCGA ncpol"
"2014-04-01 ","22:01:28","RepDavidEPrice","Unfortunately, in states like #NC, GOP leaders continue to stand in the way of the full benefits of the #ACA. #ncpol #7MillionAndCounting","NC ACA ncpol 7MillionAndCounting"
"2014-04-01 ","21:57:42","RepDavidEPrice","Republican leaders who predicted the failure of the #ACA have been proven wrong. #ncpol #7MillionAndCounting","ACA ncpol 7MillionAndCounting"
"2014-04-01 ","21:57:15","RepDavidEPrice","With #7MillionAndCounting enrolled, the #ACA is making good on its promise to make our health system fairer. #ncpol http://t.co/LPkaFv5qAc","7MillionAndCounting ACA ncpol"
"2014-04-01 ","18:14:11","RepDavidEPrice","Great news: Thanks to the #ACA, #7MillionAndCounting have signed up for affordable, quality health insurance coverage. #ncpol","ACA 7MillionAndCounting ncpol"
"2014-04-01 ","16:04:02","RepDavidEPrice",". . . decimate programs that invest in helping our people &amp; our economy succeed.",
"2014-04-01 ","16:03:54","RepDavidEPrice","The House Republican budget is guided by the preposterous notion that the best way to help our people is to rip away the safety net &amp; . . .",
"2014-04-01 ","16:03:37","RepDavidEPrice","The GOP budget out today is NOT an #AprilFoolsDay joke. A budget is a statement of our priorities/values-Ryan budget gets both wrong #ncpol","AprilFoolsDay ncpol"
"2014-02-18 ","21:25:29","RepDavidEPrice","Busy day in @CityOfFayNC. Meeting with @CumberlandNC Sheriff Moose Butler at the County Courthouse this PM. #ncpol http://t.co/8pFTXwsIa2","ncpol"
"2013-07-24 ","18:33:25","RepDavidEPrice","A applaud President Obama for leading the call for investments in our people and our competitiveness. #ncpol #abetterbargain","ncpol abetterbargain"
"2013-07-24 ","17:38:09","RepDavidEPrice","Rebuilding middle-class security must be job #1. Pres. Obama laid out how we can start: http://t.co/vLqq42AWvM #ABetterBargain #ncpol","ABetterBargain ncpol"
"2013-07-24 ","16:18:49","RepDavidEPrice","Public-private collaboration is a powerful tool for complex projects such as #NCBPrepared. It's made possible by investments in edu. #ncpol","NCBPrepared ncpol"
"2013-07-24 ","16:13:34","RepDavidEPrice","NCB-Prepared will help first responders &amp; health professionals see the whole picture during a threat. #ncpol More:  http://t.co/xYZichWz3F","ncpol"
"2013-07-24 ","16:11:34","RepDavidEPrice","Very pleased to announce a $3M @DHSgov grant for an innovative bio-threat early warning system led by @NCState &amp; UNC. @Carolina_News #ncpol","ncpol"
"2013-06-05 ","16:24:08","RepDavidEPrice","Heading to the House floor for debate on the Department of Homeland Security Appropriations bill. Watch here: http://t.co/vdBcVxeiNt #ncpol","ncpol"
"2013-03-11 ","14:02:00","RepDavidEPrice","As we mark @AmeriCorps Week, TY to the more than 800,000 who've served their communities as members. #ACweek #ncpol http://t.co/AOqwrBEf9P","ACweek ncpol"
"2013-03-11 ","13:44:44","RepDavidEPrice","@NCFarmBureau' sPeter Daniel tells us pop. growth means that over the next 25 yrs, we need to produce more food than in the prev 10K yrs.",
"2013-03-11 ","12:56:51","RepDavidEPrice","Host my annual #NC04 farmers briefing @ the state fairgrounds. Pleased to have @FarmBureau Prez Larry Wooten joining. http://t.co/RS7tLtweA1","NC04"
"2012-12-12 ","17:32:27","RepDavidEPrice","House GOP should join @HouseDemocrats to pass an extension of middle class tax cuts, not hold them hostage. #DoTheRightThing #ncpol","DoTheRightThing ncpol"
"2012-12-12 ","17:30:28","RepDavidEPrice","Joining @HouseDemocrats calling on GOP to #DoTheRightThing. Extend the middle class tax cuts now #fiscalcliff #ncpol","DoTheRightThing fiscalcliff ncpol"
"2012-08-03 ","20:14:56","RepDavidEPrice","2) sensible approach to revenue. Pres. Obama has already proposed a sensible plan: Let the Bush tax breaks expire on income over $250,000/yr",
"2012-08-03 ","20:14:42","RepDavidEPrice","We've done it before. In the 90s the formula was 1) fiscal discipline on all fronts focusing limited $ on recovery &amp; investing in our future",
"2012-08-03 ","20:14:35","RepDavidEPrice","A common sense approach to sequestration &amp; the fiscal cliff that accelerates the recovery &amp; restores fiscal health isn't hard to imagine.",
"2012-08-03 ","19:04:00","RepDavidEPrice","In fact, the same argument applies equally to domestic investments in education, infrastructure, research and innovation.",
"2012-08-03 ","19:03:53","RepDavidEPrice","With sequestration looming, GOP says  defense spending creates jobs and cutting it means fewer jobs...Now they're ""Defense Keynesians""?",
"2012-08-03 ","14:55:31","RepDavidEPrice","Video of my remarks on sequestration and the fiscal cliff #ncpol   http://t.co/ftkK5cP4","ncpol"
"2012-08-03 ","14:55:26","RepDavidEPrice","Release: 'The Fiscal Path Forward' - Price Urges Common Sense Approach to Sequestration, Fiscal Cliff #ncpol http://t.co/kK0RDgm5","ncpol"
"2012-08-03 ","13:55:52","RepDavidEPrice","Last day of House Dems Online All-Star Competition. Will you help me &amp; others w/a #FF #fFollowFriday recommendation? http://t.co/UQnsBuvE","FF fFollowFriday"
"2012-07-18 ","19:54:40","RepDavidEPrice","We should modernize voter registration to expand access. And we should reject any attempt to attack voting rights of law-abiding citizens",
"2012-07-18 ","19:45:22","RepDavidEPrice","I've cosponsored the Voter Empowerment Act to protect voting rights &amp; ensure equal access for all: http://t.co/IbPfGLGH",
"2012-07-18 ","19:03:35","RepDavidEPrice","Not sure if you're registered to vote in #NC?  We just added an app to my website to help you check. #ncpol http://t.co/0iqrFOL0","NC ncpol"
