"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:30:23","RepBradAshford","My staff will be @LatinoCenter1 this evening to assist you with everything from social security to job help. ¡No se lo pierda! #NE02 https://t.co/w5ml1egWvH","NE02"
"2016-09-21 ","18:48:02","RepBradAshford","It was a pleasure meeting you both. Biofuels are great for Nebraska and its job growth and energy security. #NE02 https://t.co/78CrjIR61L","NE02"
"2016-09-21 ","17:25:51","RepBradAshford","Thank you @HouseVetAffairs for passing my legislation to help build a new veterans medical facility. Read: https://t.co/HzOvEZiWnm #NE02 https://t.co/rHDgkwQiDs","NE02"
"2016-09-21 ","15:16:58","RepBradAshford","In #NE02, the construction and donor groups are confident they can build a new clinic faster, and for less money than expected.","NE02"
"2016-09-21 ","15:14:01","RepBradAshford","This bill saves taxpayer money, builds a new clinic for veterans who are in need, and allows our communities to serve our veterans.",
"2016-09-21 ","15:13:20","RepBradAshford","By passing this bill, we will authorize the VA to enter into donation agreements with non-profits, private donors and local governments.",
"2016-09-21 ","15:12:48","RepBradAshford","Thank you @RepTimWalz for  your amendment this morning. This bill is a new way for communities to help construct new VA facilities. #NE02","NE02"
"2016-09-21 ","14:48:06","RepBradAshford","The @HouseVetAffairs is prepared to markup my bill which will establish innovative VA facilities in Omaha. https://t.co/fLQg3Ps6Zi #NE02","NE02"
"2016-09-21 ","14:23:05","RepBradAshford","My condolences are with Bill Barrett's family this morning. He was a true Nebraska public servant. https://t.co/VNj4cSpf39 via @owhnews",
"2016-09-21 ","13:15:10","RepBradAshford","I have built a career on being a bipartisan voice that is willing to work with both parties to pass commonsense legislation. #NE02 https://t.co/flFE3GZE0o","NE02"
"2016-07-15 ","21:30:03","RepBradAshford","Submit your best photos of Nebraska for a chance to win a spot on my cover photo! #NE02 https://t.co/SJAPsLgV1U https://t.co/Ncp2Cvu9QW","NE02"
"2016-07-15 ","20:00:39","RepBradAshford","Here's Congress' summer schedule. A 7-week long summer break is unacceptable with so many pressing issues to solve. https://t.co/OYzLKZz74T",
"2016-07-15 ","19:44:25","RepBradAshford","Always a great time! Thanks for having me today. #NE02 https://t.co/V1oLUKIN0p","NE02"
"2016-07-15 ","18:53:21","RepBradAshford","Congressional leaders must call us back after the conventions. We must unify to destroy ISIS &amp; give our military all they need for success.",
"2016-07-15 ","18:49:37","RepBradAshford","ISIS is working 24 hours a day, 7 days a week to destroy our valued way of life.There is no reason Congress should be on a seven week break.",
"2016-07-15 ","18:48:02","RepBradAshford","We must turn our pain into action and show our resolve to destroy the Islamic State of Iraq and Syria (ISIS).",
"2016-07-15 ","18:47:16","RepBradAshford","Our hearts break again for our brothers and sisters of France. As we share in their grief.",
"2016-07-15 ","17:00:18","RepBradAshford","Bring your questions to the W. Dale Clark Library this afternoon. My staff will be on hand to assist you. #NE02 https://t.co/hghK66GT9Y","NE02"
"2016-07-15 ","15:49:38","RepBradAshford","Congress must take action on ISIS rather than give themselves the longest summer break in 3 decades. https://t.co/ekI4dAD2i1",
"2016-07-15 ","14:50:37","RepBradAshford","I am proud to fight for our military families. #NE02 https://t.co/TlN36IM5fQ https://t.co/84h8yXe6VJ","NE02"
"2016-07-05 ","21:00:23","RepBradAshford","I support tax credits that will grow #smallbiz in Nebraska. https://t.co/RGkG5oHr2g","smallbiz"
"2016-07-05 ","19:35:05","RepBradAshford","Today I joined David Young to introduce Sarah's Law in honor of Sarah Root. Learn more: https://t.co/5PgFmx0p3F https://t.co/OklPjmGtmg",
"2016-07-05 ","17:59:28","RepBradAshford","Learn how my #VOLTAct will bring construction jobs to our veterans. https://t.co/nxtVh8r3mC #NE02 https://t.co/zrAR7GYPt1","VOLTAct NE02"
"2016-07-05 ","16:30:54","RepBradAshford","I am bringing the 2nd Annual #Veterans Resource &amp; Jobs Summit to #NE02 on July 26. More: https://t.co/aksZs3GTHU https://t.co/dlI9NAAeHs","Veterans NE02"
"2016-07-05 ","15:00:41","RepBradAshford","Bring your questions to my first Mobile Office of the month. My staff will be in Benson this afternoon. #NE02 https://t.co/jLVyWiSevf","NE02"
"2016-07-05 ","13:33:50","RepBradAshford","I am committed to cutting wasteful government spending in Congress. #NE02 https://t.co/AQhaIqEPvM","NE02"
"2016-06-10 ","20:30:19","RepBradAshford","Burdensome taxes limit #smallbiz growth. I support tax credits that allow for innovation &amp; job creation for #NE02, https://t.co/rLyuYnIpo0","smallbiz NE02"
"2016-06-10 ","19:01:01","RepBradAshford","Thanks @Jean_Stothert for proclaiming next week as Men's Health Week in Omaha! Great opportunity to educate. #NE02 https://t.co/vXVGEIgSwC","NE02"
"2016-06-10 ","18:27:51","RepBradAshford","Nebraskans are tired of seeing Congress increase their own salaries with little to show for it. We must work together &amp; pass a nat'l budget.",
"2016-06-10 ","18:25:06","RepBradAshford","Today I voted against a pay raise for Members of Congress. https://t.co/UdOMIxioes",
"2016-06-10 ","17:30:10","RepBradAshford","OTD: Pres. Kennedy signed the #EqualPayAct. We've come so far, but we can't stop fighting to close the wage gap. https://t.co/YgRtrNfjAv","EqualPayAct"
"2016-06-10 ","16:30:29","RepBradAshford","Americans are tired of long lines when they head to the airport. We can do something about it. https://t.co/d7Qogr8yfd",
"2016-06-10 ","15:01:03","RepBradAshford","Military families make sacrifices that often go unnoticed. I am fighting to change that. https://t.co/eHkexr1KFs",
"2016-06-10 ","13:30:12","RepBradAshford","Federal prosecutors should have all the tools they need to go after those who try to defraud our #veterans. https://t.co/MULXfifdBH","veterans"
"2016-02-23 ","23:05:10","RepBradAshford","We've been hurting for opportunity, jobs since start of the recession. Cosponsored this leg to improve training. https://t.co/LLbpTQDqtx",
"2016-02-23 ","22:48:02","RepBradAshford","Thanks to college-bound students who attended ed forum. If you missed it, resources here: https://t.co/4GhBtHrs46 https://t.co/ft5UD1MuyR",
"2016-02-23 ","22:29:03","RepBradAshford","Thanks to all who attended Ed forum. Helped students learn about Srvc academy nom: https://t.co/eRmh9tN2Fj https://t.co/ZPa6D57bhy",
"2016-02-23 ","21:08:05","RepBradAshford","If you missed our Coffee W/your Congressman event, join us next time. Sign up for enewsletter to get notification: https://t.co/7RMUYNjrj0",
