"Date","Time","screen_name","text","hashtags"
"2014-10-22 ","17:21:21","RepSheaPorter","My thoughts and prayers are with the victim’s family, first responders, and the people of Canada after today’s tragedy.",
"2014-05-21 ","21:01:15","RepSheaPorter","Congress needs to act now. We have a responsibility to future generations. It’s time we #ActonClimate. http://t.co/MCgK9hISwy","ActonClimate"
"2014-05-21 ","14:27:25","RepSheaPorter","My thoughts and prayers are with #OfficerArkell, his family, and all those at today’s memorial service.","OfficerArkell"
"2014-04-01 ","20:44:22","RepSheaPorter","Celebrating the @RedSox #WorldSeries Championship at the @WhiteHouse with @MikeNapoli25. http://t.co/WAVyTEhZAz","WorldSeries"
"2013-09-14 ","19:44:29","RepSheaPorter","I discussed the framework for elimination of #Syria 's chemical weapons with @AlexWitt on @MSNBC. http://t.co/RzIE8vUTRw","Syria"
"2013-06-05 ","21:58:58","RepSheaPorter","My burn pit amendment to protect troops' health adopted by #HASC today, now part of #NDAA:  http://t.co/eKYW1Sg99b","HASC NDAA"
"2016-09-21 ","17:03:24","RepAnnieKuster","Let’s recommit to promoting equality, protecting the environment &amp; respecting all people. @PeaceDay #PeaceDay2016","PeaceDay2016"
"2016-09-21 ","15:42:29","RepAnnieKuster","Critical people know there is no shame in seeking help for addiction. Pleased awareness is being raised in schools. https://t.co/ljj9Vs2aIz",
"2016-09-21 ","15:01:45","RepAnnieKuster","One more reason to #visitnh! Check out these amazing corn maze designs. #ExploreNH
https://t.co/qBpTIH6MH2","visitnh ExploreNH"
"2016-02-23 ","21:27:53","RepAnnieKuster","Thrilled to hear the US DOT will offer an eighth round of TIGER grants to support transportation projects! https://t.co/EsM1eElbNl",
"2015-11-30 ","17:29:20","RepAnnieKuster","Honored to spend Thanksgiving with some of NH's bravest men and women serving in the Middle East https://t.co/GSB053unvS",
"2015-09-29 ","19:54:32","RepAnnieKuster","Thank you to @Hope4NH for organizing a great rally and for supporting alcohol and drug addiction recovery across NH http://t.co/03mMmq6ZXd",
"2015-09-29 ","18:56:48","RepAnnieKuster","Great to sit down with @TheDeepikaKurup, 2015 Davidson Fellow and a #GSF2015
award winner. Keep up the great work! http://t.co/udfg3mcThb","GSF2015"
"2015-09-29 ","17:53:28","RepAnnieKuster","Honoring our fallen firefighters this weekend. Their selfless courage and sacrifice must never be forgotten. http://t.co/w6IDNInHDV",
"2015-09-29 ","17:22:28","RepAnnieKuster","Honored to help kick off the 2nd Annual Get Your Rear in Gear 5k Run/Walk to raise awareness for colon cancer http://t.co/5uQKjmyiHl",
"2015-06-09 ","16:17:00","RepAnnieKuster","Go #USA! Congrats to @ussoccer_wnt for beating Australia in the 1st round of the #WomensWorldCup last night. http://t.co/qOqICDxPdA","USA WomensWorldCup"
"2014-10-22 ","19:01:37","RepAnnieKuster","Horrified by the news today out of Ottawa. My thoughts and prayers are with the fallen soldier, his family, and the people of Canada.",
"2014-05-21 ","19:59:44","RepAnnieKuster","Proud both parties came together to pass legislation awarding the Congressional Gold Medal to the Doolittle Tokyo Raiders.",
"2014-05-21 ","16:44:05","RepAnnieKuster","Proud to work across the aisle to help pass legislation to stop human trafficking and provide support for victims: http://t.co/SnCyizP4yn",
"2014-04-01 ","15:53:44","RepAnnieKuster","Our New England delegation is ready for the @RedSox!! @PeterWelch @RepJoeKennedy http://t.co/4MYbsiFMpM",
"2014-04-01 ","15:20:09","RepAnnieKuster","Excited to be at the White House today with the 2013 World Series champion @RedSox!! Here's to a repeat in 2014!",
"2014-02-18 ","16:15:17","RepAnnieKuster","Thrilled to be here at @SNHU in Salem talking with women business leaders. #WhenWomenSucceed,AmericaSucceeds. http://t.co/4mHr4d74kd","WhenWomenSucceed"
"2014-02-18 ","13:57:10","RepAnnieKuster","We're just a few days from my second Career and Opportunities Fair - Have you signed up yet?? http://t.co/0gfij4DSUM",
"2013-09-14 ","16:28:42","RepAnnieKuster","Pleased to hear about US agreement w/Russia to contain chemical weapons in Syria http://t.co/XIKdrgybVp",
"2013-07-24 ","20:12:48","RepAnnieKuster","Apply for a Fall internship now to help us support middle class New Hampshire families!! https://t.co/GU3A8SpAZr",
"2013-07-24 ","14:10:22","RepAnnieKuster","Thrilled to announce the opening of our new #NorthCountry office in #Bethlehem! Details here: http://t.co/OuCFYT5Mt0","NorthCountry Bethlehem"
