"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:39:35","RepSires","Welcoming NJ Coalition of Automotive Retailers today",
"2016-09-21 ","15:35:12","RepSires","Joined @The_USO on Capitol Hill today https://t.co/2lXnstlOBZ",
"2016-07-15 ","15:50:03","RepSires","We will stand with the people of France during this trying time. My thoughts are with #Nice and the families of victims.","Nice"
"2016-02-18 ","17:31:03","RepSires",".@POTUS decision to travel to Cuba is another concession to the regime while Cubans suffer. Read my statement here: https://t.co/t5P4or8MQq",
"2015-11-30 ","21:58:38","RepSires","Sen. Menendez &amp; I held a conference on the importance of passing a long-term hwy funding bill for NJ. Full statement:https://t.co/eCZIGHB1ij",
"2015-11-25 ","15:01:16","RepSires","Wishing everyone a safe and happy Thanksgiving!",
"2015-07-14 ","19:37:35","RepSires","I attended a committee hearing to discuss the ongoing Greek debt crisis &amp; its effect on the US &amp; EU http://t.co/ajz9wuCuL3",
"2015-07-14 ","18:06:59","RepSires","The best way to harness the innovation and passion of our citizens is to #makeitinAmerica","makeitinAmerica"
"2015-07-14 ","17:48:34","RepSires","My statement regarding the proposed nuclear agreement to prevent Iran from acquiring a nuclear weapon http://t.co/o5JzKlQBgk",
"2015-07-14 ","16:42:25","RepSires","Discussions assessing the proposed agreement with Iran began this morning in the House Foreign Affairs Committee. http://t.co/CyiU951ip0",
"2014-04-01 ","16:48:06","RepSires","Parks create vibrant, livable communities where people want to live &amp;work  #DonnellyPark  #InvestInOurParks #NJ08 http://t.co/g59rGfatVD","DonnellyPark InvestInOurParks NJ08"
"2013-06-05 ","15:04:35","RepSires","#DontDoubleMyRate #DC http://t.co/39vhoUjECq","DontDoubleMyRate DC"
"2013-03-11 ","20:09:16","RepSires","Venezuela’s President Hugo Chavez died of cancer on Tuesday. Read my OpEd on the state of Venezuela. http://t.co/4Zzqdpv5Wd",
"2012-08-03 ","16:03:09","RepSires","On Aug. 6, 1965 Pres. Johnson signed the Voting Rights Act into law, outlawing discriminatory voting practices.",
"2012-07-18 ","19:23:31","RepSires","In 1st 6 mo.s of 2012, ACA has helped over 16m ppl with Medicare to get at least 1 preventative service for free. http://t.co/ZdDLGoGV",
"2012-07-18 ","17:02:46","RepSires","Today’s myth is that the health care law is killing jobs and undermining the private health care industry.   http://t.co/GeCqUtal",
"2012-07-18 ","14:41:29","RepSires","Today, we will begin consideration and debate of H.R. 5856, the Department of Defense Appropriations Act.",
"2012-05-18 ","17:27:58","RepSires","This morning, I met with Argentinean Ambassador Jorge Arguello to discuss a bilateral agenda. http://t.co/sw13KtiT",
"2011-01-14 ","21:20:44","RepSires","If #HCR was repealed, new plans would no longer be required to cover preventative services, like mammograms + flu shots, w/out cost sharing.","HCR"
"2011-01-13 ","16:59:57","RepSires","If #HCR was repealed, 326,000 in NJ would not know if they are receiving value for their health insurance premium dollars.","HCR"
"2011-01-12 ","14:55:59","RepSires","If #HCR was repealed, 166 NJ employers would not be receiving help from the Early Retiree Reinsurance Program.","HCR"
"2011-01-11 ","17:59:35","RepSires","If #HCR was repealed, insurance companies could cut off insurance due to a single mistake on an application-326,000 in NJ  would be at risk.","HCR"
"2011-01-10 ","15:37:34","RepSires","Please join us at 11am EST in the nationwide moment of silence to honor @Rep_Giffords, her staff and the other victims of this tragedy",
"2011-01-10 ","13:54:28","RepSires","103,905 people on Medicare in NJ would see significantly higher prescription drug costs if #HCR was repealed.","HCR"
"2011-01-07 ","13:48:51","RepSires","If #HCR  was repealed, 27,800 young adults in NJ would lose their insurance coverage through their parents' health plans.","HCR"
"2011-01-06 ","15:05:52","RepSires","This Congress I am focused on job creation, our transportation systems, and livable communities. What issues are important to you?",
"2011-01-06 ","14:40:02","RepSires","If #HCR was repealed, Medicare would no longer pay for an annual checkup. Nearly 1.3 m NJ seniors would have to pay extra to stay healthy","HCR"
"2011-01-06 ","14:09:41","RepSires","Repealing #HCR would mean  nearly 1.3 million NJ seniors who have Medicare would be forced to pay a copay for preventative services.","HCR"
"2016-07-15 ","21:16:15","BillPascrell","#StandWithNice https://t.co/xtp6yQWwet","StandWithNice"
"2016-07-15 ","17:36:52","BillPascrell","Proud to be leading the fight for patient safety alongside the likes of @NancyPelosi and @SenWarren. https://t.co/jhWaP4dVGR via @WSJ",
"2016-07-15 ","16:06:26","BillPascrell","Please follow my good friend @FrankPallone from #NJ who is working for real solutions to reduce #GunViolence. #FF https://t.co/RHTVzWu7cX","NJ GunViolence FF"
"2016-07-05 ","16:23:44","BillPascrell","As a fellow Patersonian, I am proud to seek the Congressional Gold Medal for Larry Doby.

https://t.co/0aeWZfkQA5 https://t.co/33XBHVIf3W",
"2016-07-05 ","15:43:02","BillPascrell","Our firefighters deserve state of the art equipment and training. Proud to deliver for Kearny! https://t.co/ewkZZsMrda",
"2016-02-23 ","21:54:52","BillPascrell","I stand with @RepSandyLevin against the #TPP trade agreement. Millions of American jobs are at stake. https://t.co/lccxq5ZH95","TPP"
