"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:23:55","repbenraylujan","Angela would use her $60k in #StudentDebt to put toward a down payment on a home #DebtFreeWishList https://t.co/Mo7xxloQSV","StudentDebt DebtFreeWishList"
"2016-09-21 ","18:13:53","repbenraylujan","W/o $20,000 in #StudentDebt Amanda would go to grad school. Time to act on steps to reduce weight of crushing debt #DebtFreeWishList https://t.co/UIefzgV3PT","StudentDebt DebtFreeWishList"
"2016-09-21 ","18:06:28","repbenraylujan","#StudentDebt is a $1.3 trillion problem. What would you spend you $ on w/o it? Tell us! #DebtFreeWishList https://t.co/vf1FJtf3Cy","StudentDebt DebtFreeWishList"
"2016-07-15 ","02:11:07","repbenraylujan","My thoughts and prayers are with the people of #France as a day of celebration has turned into a day of mourning after this horrible attack","France"
"2016-06-10 ","19:34:46","repbenraylujan","I was honored to welcome Paralympic gold medalist and Farmington native @alananichols21 to DC. She makes NM proud! https://t.co/wZvnn9u5Qu",
"2015-09-29 ","19:24:38","repbenraylujan","#LWCF protects New Mexico’s precious lands that are a part of our heritage and culture. Congress needs to #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:23:19","repbenraylujan","#LWCF strengthens our economy by supporting public access to outdoor recreation in the Land of Enchantment.","LWCF"
"2015-07-14 ","18:22:14","repbenraylujan","House Dems are revamping our #MakeItInAmerica jobs plan for 2015. An important part of #MIIAWhatsNext is skills training &amp; education","MakeItInAmerica MIIAWhatsNext"
"2015-07-14 ","18:21:43","repbenraylujan","In order to help more Americans #MakeItInAmerica, we need to spur innovation &amp; job creation here at home #MIIAWhatsNext","MakeItInAmerica MIIAWhatsNext"
"2015-06-15 ","18:07:06","repbenraylujan","More than 640,000 talented young #DREAMers are contributing their talents and skills to our country. RT if you agree! #DACAworks","DREAMers DACAworks"
"2013-09-14 ","01:34:18","repbenraylujan","Blog: Severe Weather in New Mexico http://t.co/2khGzTWbMI",
"2012-12-12 ","17:32:23","repbenraylujan","As discussions continue on the fiscal cliff House GOP should #DoTheRightThing and bring middle-class tax cuts to the floor for a vote","DoTheRightThing"
"2012-09-25 ","22:37:46","repbenraylujan","Blog: Rep. Luján’s Staff to Hold Mobile Office Hours Across Northern New Mexico on Thursday, Sept. 27 http://t.co/W7JCAH5K",
"2012-08-03 ","18:36:56","repbenraylujan","News: Luján Announces $50,000 Grant for the Institute of American Indian Arts http://t.co/5ghfq8qA",
"2012-08-03 ","18:05:40","repbenraylujan","News: Luján Honors the Life of Fire Chief Jon Tibbetts http://t.co/thOPW7oS",
"2012-05-18 ","18:07:32","repbenraylujan","News: House Passes Luján Amendment for a Study on National Labs Transitioning to a Broader Mission http://t.co/p7beAEhs",
"2011-01-12 ","22:33:47","repbenraylujan","News: Luján Honors the Victims of Arizona Shooting http://bit.ly/dGAWcl",
"2011-01-10 ","16:04:46","repbenraylujan","News: Luján Statement on the Arizona Shooting Involving Rep. Gabrielle Giffords http://bit.ly/gXBpz5",
"2011-01-07 ","17:31:42","repbenraylujan","News: Luján Applauds the President’s Signing of Legislation to Allow 99-Year Lease Agreement for ... http://bit.ly/hqLMq6",
"2009-11-03 ","15:22:01","repbenraylujan","Blog: Morning News (11/3/09) http://bit.ly/3UA18A",
"2009-04-01 ","19:51:05","repbenraylujan","Spoke about energy and the budget with Leader Hoyer, Chairmen Spratt and Miller, and Reps. Crowley and Shuler: http://tinyurl.com/cjba3a",
