"Date","Time","screen_name","text","hashtags"
"2014-10-22 ","19:08:17","BillOwensNY","My heartfelt condolences to the family and friends of victims at the Canadian Parliament building in Ottawa today. http://t.co/Xzv1RkqAvk",
"2014-05-21 ","13:08:04","BillOwensNY","Owens votes to streamline Great Lakes ports, study economic impact of invasive species http://t.co/AwLAQTMDmD #WRRDA","WRRDA"
"2014-04-01 ","18:37:20","BillOwensNY","Congratulations to all the North Country medalists at the recent 2014 Finger Lakes International Wine... http://t.co/YFeqfPONCp",
"2014-04-01 ","15:37:22","BillOwensNY","Owens Announces Increase in Customs and Border Protection Officers at New York Ports of Entry:... http://t.co/JMcDbqcPO0",
"2013-03-11 ","17:36:49","BillOwensNY","Rep Owens supports continuing Saturday delivery through the Postal Service.  Read more here!:  http://t.co/thBuLFdB9c",
"2012-09-25 ","15:19:18","BillOwensNY","Owens op-ed on the Farm Bill in ""The Hill"" Newspaper, read it here: http://t.co/z9KpdF1M",
"2012-08-03 ","19:37:30","BillOwensNY","..@wdtpolitics Owens to Boehner: Send me back to work http://t.co/swHEKqYs",
"2012-08-03 ","18:15:13","BillOwensNY","Owens Urges GOP Leadership to Call House Back to Consider 2012 Farm Bill http://t.co/CCwdLzhM",
"2012-07-18 ","19:38:22","BillOwensNY","Owens to Hold Telephone Town Hall Next Tuesday http://t.co/9zjsEL9d",
"2012-07-18 ","15:42:51","BillOwensNY","Register for my next telephone town hall before 1pm, Tuesday 7/24. https://t.co/sLpKLHKY",
"2012-07-18 ","14:43:03","BillOwensNY","Tks to NY23ers who wrote in asking me to cosponsor #HR931, which would make the ACS (survey) voluntary. I signed on this morning.","HR931"
"2011-10-10 ","15:15:37","BillOwensNY","China currency bill will help to create jobs & put American manufacturers on a level playing field in the global market http://t.co/OKqpPf3r",
"2011-01-15 ","14:52:02","BillOwensNY","Next wk staff continues mobile office hour prgrm reaching out in Oswego & Franklin Cos. More events 2 come http://tinyurl.com/6jdl9bh pls RT",
"2011-01-14 ","19:10:29","BillOwensNY","Next wk staff continues mobile office hour prgrm reaching out in Oswego & Franklin Cos. More events 2 come http://tinyurl.com/6jdl9bh pls RT",
"2011-01-14 ","19:00:26","BillOwensNY","Next wk my staff continues ""mobile office hour"" prgrm, reaching out in Oswego & Franklin Cos. More events to come http://tinyurl.com/6jdl9bh",
"2011-01-06 ","19:07:05","BillOwensNY","Just voted to cut Congressional budgets by 5%, and cosponsored a bill to cut salaries for Members of Congress http://tinyurl.com/25uzw53",
"2016-09-21 ","17:19:15","louiseslaughter","The @UN General Assembly is meeting today to discuss antibiotic resistance. We must act now to address this global threat. https://t.co/EYVdOTyicv",
"2016-06-10 ","13:52:53","louiseslaughter","The #TPP is shifting the global balance of power. Read my latest on @Medium: https://t.co/DBbsg06npg","TPP"
"2015-11-30 ","23:11:31","louiseslaughter","World leaders are at the #ParisClimateConference tackling big issues--where's the @HouseGOP? Bailing out Big Oil. https://t.co/jlytPSIFgD","ParisClimateConference"
"2015-11-30 ","17:26:37","louiseslaughter","Three cheers for demolishing the old #ROC train station! On step closer to a beautiful station that actually works. https://t.co/GvB1EaBXtc","ROC"
"2015-10-29 ","15:14:37","louiseslaughter","Thanks @jbendery for covering my letter, Speaker @PRyan's 1st request: disband #Benghazi/@PPFA committees https://t.co/e8iv4kqs2o","Benghazi"
