"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:26:11","TimRyan","Happy to join @HallieJackson on MSNBC today to discuss @HillaryClinton's superior mfg &amp; foreign policy creds. https://t.co/mPKUYuK4Ou",
"2016-07-15 ","20:09:44","TimRyan","Agreed!  https://t.co/9IZegAlliE",
"2016-07-15 ","15:17:26","TimRyan","Perhaps @realDonaldTrump didn't feel he had adequately alienated women &amp; LGBT people so far this election.  https://t.co/eDVxX8sk6L",
"2016-07-15 ","03:12:32","TimRyan","My thoughts and prayers are with all those in Nice today",
"2016-06-10 ","15:49:05","TimRyan","Up for an adventure? Explore Trump's trail of unpaid bills and underhanded business dealings. https://t.co/J0ucAkQUeF",
"2016-02-23 ","00:15:49","TimRyan","Great to spend time with Jon Kabat Zinn, @PeteCarroll, and @michaelgervais at Wisdom 2.0!!! https://t.co/ECVsEVRWCO",
"2016-02-18 ","18:01:39","TimRyan",".@OHDems @JohnKasich Hmm dunno, why don't you ask @PPAOhio &amp; the women who will be hurt by his reckless funding cuts? #PeopleOverPolitics","PeopleOverPolitics"
"2016-02-18 ","17:51:33","TimRyan","Yeah, this was kind of strange...  https://t.co/6avSCURu88",
"2016-02-18 ","17:25:12","TimRyan","Trump getting a ""huuuge"" Papal scolding regarding border wall proposals. I'm with @Pontifex on this one. #DumpTrump  https://t.co/0fcTLQzTR6","DumpTrump"
"2016-02-18 ","16:02:52","TimRyan","I might be showing my age a bit, but it's a @billyjoel radio kind of day. #CarTunes https://t.co/Zpg9EwUNdr","CarTunes"
"2016-02-18 ","03:16:27","TimRyan","Hmmm I wonder why? GOP fears @HillaryClinton the most! https://t.co/PJYOSgOcY9",
"2015-10-29 ","19:17:33","TimRyan","Looks like last night's Republican Debate was a fact free zone! https://t.co/8gJV0rsIbw @HuffingtonPost https://t.co/WEduI9Sl7n",
"2012-09-25 ","16:50:36","TimRyan","One week till early voting. Get Registered! Go Vote! @OFA_OH @Dbetras @CollegeDemsOhio #2012 http://t.co/4zUZBpeg",
"2012-12-12 ","17:46:35","RepKucinich","Critical Vote Alert: House committee to vote on drone oversight bill tomorrow.

http://t.co/OnHEhVSt",
"2012-08-03 ","14:52:49","RepKucinich","We don’t know who they are, but we know that we are for them. http://t.co/eEBRyHMU #Syria #Aleppo #Damascus","Syria Aleppo Damascus"
