"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","17:35:02","RepBonamici","Too many OR women are struggling - affordable child care, pay equity, and paid leave will help. #WhenWomenSucceed https://t.co/NGvS5jJHzY","WhenWomenSucceed"
"2016-07-05 ","17:42:54","RepBonamici",".@NASAJuno has reached Jupiter! Looking forward to seeing exciting photos and data it sends back to Earth. https://t.co/LpuLPw51tX",
"2016-06-10 ","20:26:53","RepBonamici","53 years since Equal Pay Act, women still earn less than men for equal work. Paycheck Fairness Act will strengthen enforcement #EqualPayNow","EqualPayNow"
"2016-06-10 ","18:45:14","RepBonamici","The American Savings Act will allow all workers save for retirement and easily take their savings from job to job https://t.co/pDPgzTBOVD",
"2016-02-23 ","19:24:24","RepBonamici","School-based health centers support the whole child and are a lifeline for many rural families. #SBHCmonth16 https://t.co/NCG6pDOguL","SBHCmonth16"
"2015-11-30 ","19:34:22","RepBonamici","Historic #COP21 climate talks start today in Paris. Now is the time to preserve our planet for future generations #ActOnClimate","COP21 ActOnClimate"
"2015-10-29 ","18:28:28","RepBonamici","#SocialSecurity provides retirees with a foundation of economic security. Let’s protect it for current &amp; future recipients.","SocialSecurity"
"2015-10-29 ","17:30:06","RepBonamici","37 years ago this week the Pregnancy Discrimination Act passed - but we must do more for women who are #PregnantAtWork","PregnantAtWork"
"2015-09-29 ","19:26:02","RepBonamici","Proud to #StandWithPP against anti-choice attacks. ALL women deserve access to reproductive health care. #PinkOutDay http://t.co/fzflQabOGb","StandWithPP PinkOutDay"
"2015-07-14 ","19:30:04","RepBonamici","Seniors shld be able to age w/dignity - that’s the goal of the Older Americans Act. Must recommit to reauthorization: http://t.co/sZ7aDXAZ7o",
"2015-07-14 ","12:19:44","RepBonamici","Troubling account of the earthquake &amp; tsunami that could devastate the #PNW. We must get planning now: http://t.co/p3gOqsp2b8.","PNW"
"2015-06-09 ","02:17:26","RepBonamici","Glad Corinthian College students will get debt relief. Must do more to crack down on unscrupulous for-profit colleges http://t.co/6xtVJfjX83",
"2014-10-22 ","23:42:26","RepBonamici","Congrats @Portland_State on $24 million @NIH grant. Great for students from all backgrounds to work in STEM: http://t.co/gK2pxRlXIE.",
