"Date","Time","screen_name","text","hashtags"
"2015-07-14 ","18:45:14","RepCartwright","Supporting advanced manufacturing will help more people #MakeItInAmerica #MIIAWhatsNext","MakeItInAmerica MIIAWhatsNext"
"2015-07-14 ","18:30:38","RepCartwright","House Dems are revamping our #MakeItInAmerica jobs plan for 2015. I think an impt part of #MIIAWhatsNext is skills training &amp; education.","MakeItInAmerica MIIAWhatsNext"
"2015-07-14 ","18:15:51","RepCartwright","Millions of Americans are finding work to #MakeItInAmerica by sharing everything from their skills to their homes &amp; vehicles #MIIAWhatsNext","MakeItInAmerica MIIAWhatsNext"
"2015-07-14 ","18:02:25","RepCartwright","In order to help more Americans #MakeItInAmerica, we need to spur innovation &amp; job creation here at home #MIIAWhatsNext","MakeItInAmerica MIIAWhatsNext"
"2015-07-14 ","17:03:17","RepCartwright","For 50 years the Older Americans Act has provided critical support for our seniors.
Here’s to many more! #OAA50","OAA50"
"2015-07-14 ","16:50:32","RepCartwright","10,000 Americans turn 65 each day – they rely on the Older Americans Act to remain independent. Let’s reauthorize and strengthen OAA. #OAA50","OAA50"
"2015-07-14 ","16:40:20","RepCartwright","Congratulations to the Older Americans Act for 50 years of serving seniors, caregivers and families. Keep going strong. #OAA50","OAA50"
"2015-07-14 ","16:30:15","RepCartwright","Over 20,000 seniors die from falls each yr. Strengthening OAA’s fall prevention
programs prevent deaths &amp; injuries. Let’s renew them. #OAA50","OAA50"
"2015-07-14 ","16:20:07","RepCartwright","1 in 7 Americans is over 60. They need OAA for nutrition, caregiving, health,
employment &amp; other srvcs. Let’s renew &amp; strengthen it. #OAA50","OAA50"
"2015-07-14 ","16:10:42","RepCartwright","From 2005-2013, over 1.2 billion meals were home delivered because of the Older
Americans Act, including 34,339,232 in Pennsylvania #OAA50","OAA50"
"2015-06-09 ","13:05:56","RepCartwright","Big announcement coming on Children’s Savings Accounts! Tune in to #CGIAmerica livestream at 11am ET: http://t.co/dfzwdlplaz @ClintonGlobal","CGIAmerica"
"2013-07-24 ","21:59:55","RepCartwright","This is my #1000thTweet #TwitterMilestones Keeping it simple.","1000thTweet TwitterMilestones"
"2013-07-24 ","19:37:10","RepCartwright","Co sponsoring HR 533, strengthening employee rights in land management agency jobs. @NFFE_Union",
"2013-07-24 ","17:59:23","RepCartwright",".@johnmanko @BarackObama ""Executive orders have the full force of law""",
"2013-07-24 ","17:59:04","RepCartwright","@johnmanko w",
"2013-07-24 ","17:24:50","RepCartwright","A good job, a good education, a secure home, a safe retirement, and quality health care—that’s #ABetterBargain for middle-class security.","ABetterBargain"
"2013-07-24 ","17:18:36","RepCartwright","I agree with @BarackObama that rebuilding middle-class security should be our #1 priority. That’s #ABetterBargain for America.","ABetterBargain"
"2013-07-24 ","17:16:51","RepCartwright","Jobs, education, home ownership, retirement, &amp; health care—the foundations of a #ABetterBargain for middle-class security in America.","ABetterBargain"
"2013-07-24 ","17:12:18","RepCartwright","More opportunity &amp; less inequality—that should be our focus in rebuilding middle-class security: http://t.co/MOBLmoZ0fx #ABetterBargain","ABetterBargain"
"2013-07-24 ","17:11:12","RepCartwright","It's time for Congress to start strengthening the 5 cornerstones of middle-class security: http://t.co/MOBLmoZ0fx  #ABetterBargain","ABetterBargain"
"2013-07-24 ","17:06:50","RepCartwright","Rebuilding middle-class security must be Congress's #1 job. Pres. Obama laid out how we can start: http://t.co/MOBLmoZ0fx #ABetterBargain","ABetterBargain"
"2013-07-24 ","17:03:49","RepCartwright","A look at how we can strengthen middle-class Americans--the backbone of America's economy: http://t.co/MOBLmoZ0fx #ABetterBargain","ABetterBargain"
"2013-07-24 ","16:30:23","RepCartwright",".@BarackObama: Hope you include signing an executive order to require federal contractors to pay a living wage in your economic plan today",
"2013-06-05 ","22:00:11","RepCartwright","Meeting with @Teamsters pres James Hoffa, discussing the lack of transparency with the Trans-Pacific Partnership. http://t.co/QOeKTRKVLV",
"2013-06-05 ","19:23:32","RepCartwright","Please help support I [heart] Equal Pay!, add a #Twibbon now! http://t.co/Gk78XwStaD","Twibbon"
"2013-06-05 ","18:26:15","RepCartwright","I just spoke on the need to act on behalf of America's future generations. http://t.co/iEZCLVsG4j #GameofLoans #DontDoubleMyRate","GameofLoans DontDoubleMyRate"
"2013-06-05 ","16:36:30","RepCartwright","Thanks @JosephPSullivan and @richpf for putting us over 1,000 followers. @OversightDems",
"2013-06-05 ","16:28:06","RepCartwright","Who's going to be our 1,000th follower? #TwitterMilestones","TwitterMilestones"
"2013-06-05 ","15:58:29","RepCartwright","The @GOP student debt “solution” is worse than doing nothing at all. It’s that bad. See why: http://t.co/oTQbrHxs9S #DontDoubleMyRate","DontDoubleMyRate"
"2013-06-05 ","15:09:53","RepCartwright","Students are drowning in $1.1 trillion in student debt. We should freeze interest rates at 3.4%, not double them. #DontDoubleMyRate","DontDoubleMyRate"
"2013-06-05 ","14:07:14","RepCartwright","Want to know what’s at stake for PA's college-bound students in 26 days? Find out: http://t.co/49py3PtDwM #GameofLoans #DontDoubleMyRate","GameofLoans DontDoubleMyRate"
"2013-06-05 ","13:21:54","RepCartwright","26 days until student loan rates double to 6.8%. Time for Rs to join Dems in keeping college w/in reach for every student #DontDoubleMyRate","DontDoubleMyRate"
"2013-06-05 ","01:13:08","RepCartwright","Fair Labor Standards, Marriage Equality, Background Checks, a Strong Middle Class #ThingsThatScareRepublicans","ThingsThatScareRepublicans"
"2013-06-05 ","01:06:43","RepCartwright","I voted against Rep. King's amendment tonight because I believe in #DavisBacon and I believe in #PrevailingWages","DavisBacon PrevailingWages"
"2013-03-11 ","19:30:40","RepCartwright","@RepPaulRyan With the GOP budget already drawing flak from House GOP how do you plan on keeping your party united this time? #RyanBudgetFail","RyanBudgetFail"
"2013-03-11 ","18:45:22","RepCartwright","@RepPaulRyan Since your budget was widely panned last year, are you expecting a different reception this time around? #RyanBudgetFail","RyanBudgetFail"
"2013-03-11 ","18:10:39","RepCartwright","CONT. @RepPaulRyan ...as “phantom savings” when Democrats included the same number in our budget? Change of heart? #RyanBudgetFail","RyanBudgetFail"
"2013-03-11 ","18:05:19","RepCartwright","CONT. @RepPaulRyan assumed expenditures by up to $600B over the next decade after you consistently mocked war savings... #RyanBudgetFail","RyanBudgetFail"
