"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","16:53:24","SenatorLankford","I stand w/ @SenTedCruz &amp; @RepSeanDuffy. We have to stop the Obama administration's #Internet giveaway. https://t.co/j9qsjY3QTP","Internet"
"2016-09-21 ","14:30:11","SenatorLankford","The #SenateOpportunityCoalition is working on ways to reach every person, in every neighborhood, in every community. https://t.co/DehBZJn4ir","SenateOpportunityCoalition"
"2016-07-15 ","16:18:40","SenatorLankford","What has changed over the last year in Iran being the largest state sponsor of terrorism? 

Director of National Intelligence: ""Nothing.""",
"2016-07-15 ","16:08:40","SenatorLankford","Happy #Iranniversary! Oh wait... one year later &amp; #Iran continues to advance towards nuclear technology. https://t.co/lVBU8hpE6Z","Iranniversary Iran"
"2016-07-15 ","13:05:08","SenatorLankford","TUNE IN to @700Club today to watch @JenniferWishon's report. I'm looking forward to it!  https://t.co/effYnZzQNU",
"2016-07-15 ","00:36:06","SenatorLankford","My heart breaks for yet another barbaric murder of so many people in France, 8 months after Paris. #PrayforNice Terror will never win.","PrayforNice"
"2016-07-05 ","17:18:57","SenatorLankford","This is a truly alarming precedent. No one should be above the law. https://t.co/5kZwvzV5jb",
"2016-07-05 ","17:17:35","SenatorLankford","Riddle me this → despite the fact that FBI found Clinton to be ""extremely careless"" w/ classified information, she faces no consequences.",
"2016-06-10 ","16:15:32","SenatorLankford","We can solve the big issues we face by coming together &amp; leaning in as families, churches, &amp; one nation under God. https://t.co/w80ujndgN3",
"2016-06-10 ","16:13:15","SenatorLankford","I was honored to speak at @FaithandFreedom's Policy Conference this morning. Check it out HERE: https://t.co/w80ujndgN3 #RTM2016","RTM2016"
"2016-06-10 ","15:48:24","SenatorLankford","The foundation of the nation has always been our families. Gov't rises and gets bigger when families collapse. #RTM2016","RTM2016"
"2016-02-18 ","16:05:52","SenatorLankford","Pres. should reevaluate diplomatic relations w/ #Cuba &amp; #India due to their #humanrights #religiousliberty records. https://t.co/MirccFWRXt","Cuba India humanrights religiousliberty"
"2015-11-30 ","19:25:33","SenatorLankford","You can now download your own copy of #FederalFumbles on my website. Check it out and let me know what you think! https://t.co/6wxEaBBM5u","FederalFumbles"
"2015-11-30 ","18:59:10","SenatorLankford","Great to talk w/ @JennaLeeUSA about #FederalFumbles on @HappeningNow. Check out some of the examples of waste HERE: https://t.co/qlWk5oSJTv","FederalFumbles"
"2015-11-30 ","18:38:15","SenatorLankford","""Sen. Lankford picks up Coburn baton on government waste"" @burgessev via @politico https://t.co/TSnoYmpQhu",
"2015-11-30 ","16:50:38","SenatorLankford","Press conference releasing #FederalFumbles starts in 10 min. Watch it LIVE here: https://t.co/hZBvk2Rczs","FederalFumbles"
"2015-11-30 ","15:23:01","SenatorLankford","Today's the day! Here's to hoping I don't fumble #FederalFumbles at the press conference today at noon. https://t.co/M5aGsm6Vkf","FederalFumbles"
"2015-11-30 ","14:20:54","SenatorLankford","TUNE IN: I'm on @cspan @cspanwj right now talking about gov't waste. #FederalFumbles https://t.co/odT7oEpFES","FederalFumbles"
"2015-10-29 ","22:55:51","SenatorLankford","My thoughts on the #BudgetDeal. All I see is more spending &amp; no change to the status quo. https://t.co/XqBtscvE9g","BudgetDeal"
"2015-10-29 ","22:31:07","SenatorLankford","This is not a #budgetdeal that the people of Oklahoma can say fixes our debt &amp; deficit issues and certainly not one that stabilizes SSDI.","budgetdeal"
"2015-10-29 ","22:29:42","SenatorLankford","This is the #budgetdeal that's done, apparently, but not a deal that's done well. We need to do better. https://t.co/lwDNpHHZ5I","budgetdeal"
