"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:05:31","Clyburn","I was deeply honored last night to receive the Commitment to Change Award from the folks at @awidercircle #endpoverty","endpoverty"
"2016-09-21 ","19:39:54","Clyburn","Pleased to join colleagues and #votingrights activists this am to implore Leadership in House and Senate to give us a vote #RestoreTheVRA","votingrights RestoreTheVRA"
"2016-07-15 ","01:22:01","Clyburn","We are #LightingTheWay to common sense #gunviolence prevention. #DisarmHate #Enough https://t.co/cnWe6DU1CP","LightingTheWay gunviolence DisarmHate Enough"
"2016-07-15 ","01:06:37","Clyburn","""We didn't ask to be a part of that family - the survivors of #gunviolence family."" TY, Wendy Edmonds &amp; Bobbe Frasier. #LightingTheWay","gunviolence LightingTheWay"
"2016-07-15 ","00:36:24","Clyburn","""I feel that we need our community, but we also need to make sure that people who shouldn't have guns don't."" - Ebony Crosby. #DisarmHate","DisarmHate"
"2016-07-15 ","00:33:12","Clyburn","Thank you, @RepRobinKelly &amp; Danielle Stipe for powerfully telling your story. #LightingTheWay #DisarmHate","LightingTheWay DisarmHate"
"2016-07-15 ","00:17:41","Clyburn","""It is easier to get a gun in America than a voting card."" - @RevBarberII #LightingTheWay #DisarmHate","LightingTheWay DisarmHate"
"2016-07-15 ","00:01:55","Clyburn","Thank you, Felicia Sanders &amp; Jennifer Pinckney for sharing your story. We must close the Charleston loophole. #LightingTheWay #DisarmHate","LightingTheWay DisarmHate"
"2016-07-05 ","23:27:56","Clyburn","Watch my floor remarks here: https://t.co/DbIfiSx6T8. #disarmhate (2/2)","disarmhate"
"2016-07-05 ","23:25:14","Clyburn","Americans are demanding a background check system that is a
change for the better &amp; is not riddled w/ loopholes. #disarmhate (1/2)","disarmhate"
"2015-10-29 ","20:26:02","Clyburn","I'll be on @MTPDaily at 5pm to discuss @SpeakerRyan and my 10-20-30 plan. Make sure to tune in. https://t.co/1B1EviC0y7",
"2015-09-29 ","13:09:04","Clyburn","I'm happy to celebrate @NEAToday's 50th Anniversary today with my Art Story.  You can watch it here: https://t.co/YeiXTpAsd7",
"2015-07-14 ","21:47:27","Clyburn","I'll be joining @hardball_chris tonight at 7pm on @hardball. Make sure to tune in. http://t.co/SO0saERaNI",
"2015-07-14 ","14:23:15","Clyburn","It's time for all states, including South Carolina, to expand Medicaid to help cover individuals with preventive care. @ThirdWayTweet",
"2015-07-14 ","01:29:24","Clyburn","Congratulations to one of my constituents, @kateharpootlian, for being a finalist on So You Think You Can Dance.  @DANCEonFOX #vote","vote"
"2015-06-15 ","15:32:53","Clyburn","2 South Carolinians were named National Finalists for the White House Fellows Program!  Congrats to Alexander Billioux &amp; Anil Yallapragada.",
"2015-06-09 ","17:26:41","Clyburn","RT → More than 16 million Americans have gained health coverage thanks to the ACA. #ACAWorks http://t.co/IcmqsCqLyC http://t.co/OSj1y1EnaS","ACAWorks"
"2015-06-09 ","14:25:34","Clyburn","ACA covers 1 in 4 uninsured Americans.  South Carolina has over 170,000 people insured through ACA.   #ACAworks http://t.co/TZfqlg5BbY","ACAworks"
"2014-05-21 ","22:43:30","Clyburn",".@NancyPelosi has selected a group of outstanding @HouseDemocrats to the select committee led by @RepCummings",
"2014-04-01 ","21:00:19","Clyburn","I'm disappointed but not surprised; #Ryanbudget repeals #ACA, guts Medicare and takes away benefits from millions of Americans. #GOPbudget","Ryanbudget ACA GOPbudget"
"2014-04-01 ","19:22:42","Clyburn","Thank you to #ACA for insuring over 7 million Americans.  #7MillionAndCounting http://t.co/rhsnlky96P","ACA 7MillionAndCounting"
"2014-04-01 ","18:18:21","Clyburn","Such great news! #ACA has #7MillionAndCounting! http://t.co/kurOzhsOTy","ACA 7MillionAndCounting"
"2013-07-24 ","21:47:47","Clyburn","My 10-20-30 plan targets persistent poverty areas. Click here for more info http://t.co/CjFbHW1x1s. #income #inequality","income inequality"
"2013-07-24 ","21:32:22","Clyburn","I'm glad the @BarackObama is talking about #income #inequality today.","income inequality"
"2013-06-05 ","20:36:59","Clyburn","Congratulations to @AmbassadorRice, whose SC roots run deep, named today White House National Security Adviser. Outstanding public servant",
"2012-12-12 ","21:54:30","Clyburn","Click here to watch my floor statement: time for action on Middleclass Tax Cuts http://t.co/5WuOJZzA",
"2012-09-25 ","21:36:01","Clyburn","To identify ways you can help get folks #VoteReady, please visit: http://t.co/PFJXAliv","VoteReady"
"2012-09-25 ","21:27:21","Clyburn","RT if you will get 5 or more friends #VoteReady!","VoteReady"
"2012-09-25 ","20:35:28","Clyburn","@OfficialCBC wants to know if you are #VoteReady?","VoteReady"
"2012-09-25 ","20:16:36","Clyburn","Voting registration deadlines approaching: http://t.co/pOOmtQBr #VoteReady","VoteReady"
"2012-09-25 ","20:09:30","Clyburn","Find a National Voter Registration Day Event near you: http://t.co/w9pfzPLo #VoteReady","VoteReady"
"2012-09-25 ","20:08:28","Clyburn","Today is National Voter Registration Day: http://t.co/puBinfed #VoteReady","VoteReady"
