"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","03:05:52","repjimcooper","Another terrible day in France. We mourn so many innocent lives lost. We must stop these awful terrorist attacks and those behind them.",
"2016-07-05 ","15:02:52","repjimcooper","Be part of America’s solutions, not its problems. Register to vote today &amp; celebrate this cherished right! https://t.co/Ove2Gz6jhP",
"2015-09-29 ","14:29:39","repjimcooper","@tnnaterau Tragic story. Thoughts and prayers with Dave on his recovery.",
"2015-06-15 ","20:54:14","repjimcooper","Go 'Dores! https://t.co/GZWV70MhGW",
"2014-04-01 ","17:40:09","repjimcooper","Congress finally passed a budget and did it on time! Congress even started using real accounting! #AprilFools","AprilFools"
"2014-02-18 ","16:43:29","repjimcooper","Where offbeat science is good science: my op-ed w/ @RepHultgren in @thehill http://t.co/iJA0K8Nx38 #goldengoose","goldengoose"
"2012-12-12 ","16:18:26","repjimcooper","The real debt problem:What will eat the tax dollars http://t.co/TjunVkOx  @CNNMoney",
"2012-08-03 ","19:46:14","repjimcooper","@jsanderstn @moveon thanks for sharing, Jonathan.",
"2011-01-12 ","18:06:32","repjimcooper","We can and must do a better job at warning people of the potential for dangerous flooding.  http://tinyurl.com/4j634az",
"2011-01-12 ","17:43:45","repjimcooper","National Weather Service releases report on May floods.  http://tinyurl.com/62qycwh",
