"Date","Time","screen_name","text","hashtags"
"2012-12-12 ","14:35:44","GlennNye","To all who celebrate, wishing my friends a very happy Chanukah!",
"2014-10-22 ","15:38:36","Jim_Moran","Are you ready for the winter months? @FirstLadyVA intro's VA Energy Asst. Program to help families with fuel costs http://t.co/lISxPNzcE1",
"2014-05-21 ","22:41:50","Jim_Moran","For the sake of our military and for the sake of our national security, we must #ActOnClimate","ActOnClimate"
"2014-05-21 ","22:41:22","Jim_Moran","Center for Naval Analysis report says, for 1st time, climate change is “catalyst for conflict” - a driving force behind unrest around world",
"2014-05-21 ","22:39:13","Jim_Moran","Results will be higher demand for US troops abroad while we deal with devastating impacts from flooding and extreme weather events @ home",
"2014-05-21 ","22:37:25","Jim_Moran","QDR says climate change will influence resource competition &amp; place more burdens on economies, societies, &amp; gov institutions around world",
"2014-05-21 ","22:34:39","Jim_Moran","DOD’s Quadrennial Def. Review stated threat of climate change a serious nat'l security vulnerability that could enable terrorist activity.",
"2014-05-21 ","22:32:44","Jim_Moran","Climate change is a national security concern &amp; a new form of stress on our military readiness.",
"2014-05-21 ","22:27:37","Jim_Moran","Almost everyone gets the fact that climate change is happening. Everyone but the House majority &amp; a filibuster-sufficient Senate minority.",
"2014-05-21 ","22:25:58","Jim_Moran","It’s absurd that military leaders should dismiss widely held and unequivocal fact that planet's warming &amp; human activities are responsible.",
"2014-05-21 ","21:00:52","Jim_Moran","#SoundTheAlarm4Climate &amp; wake Congress up! We must #ActOnClimate &amp; cut greenhouse gases 40-70% by 2050 to avoid catastrophic global warming!","SoundTheAlarm4Climate ActOnClimate"
"2014-05-21 ","20:06:31","Jim_Moran","Scott Campbell's AP Government @TJColonials had some tough questions for me. Good luck w the rest of the school yr! http://t.co/S4ZZWVGIo2",
"2014-05-21 ","19:25:25","Jim_Moran","Big congrats to Yorktown HS @APSVirginia junior Margaret Doyle and finalist @ Intel Int'l Science and Engineering Fair in LA @SNStudents",
"2014-04-01 ","17:23:47","Jim_Moran","Proud my office could help Janis &amp; Mohammad get to US after they bravely helped our troops in Afghan. as translators http://t.co/AnikQai3NN",
"2014-04-01 ","14:58:44","Jim_Moran","Thanks to all who came to learn how qualifying Americans can save thousands on taxes with #FreeFile @FreeFileTaxes http://t.co/flXdBm5rFv","FreeFile"
"2014-02-18 ","20:18:51","Jim_Moran","That's $22,634,593 from VA MT: @WaysMeansCmte New W&amp;M analysis: UI expiration cost economy $3B in Jan/Feb #renewUI http://t.co/3YyXEywOfV","renewUI"
"2014-02-18 ","16:15:05","Jim_Moran",".@GerryConnolly and I sat down with @EnvironmentVA on the need to #ActOnClimate - http://t.co/D7fhXLhSBq","ActOnClimate"
"2013-09-14 ","19:46:33","Jim_Moran","This is a major diplomatic accomplishment by the Obama administration #Syria http://t.co/UEY2XZOwNN","Syria"
"2013-09-14 ","12:28:53","Jim_Moran","Had a great time on @upwithsteve this morning talking about latest developments with Syria",
"2013-09-14 ","11:57:01","Jim_Moran","I'll be going live with @SteveKornacki on MSNBC to discuss Syria in a few minutes",
"2013-07-24 ","23:59:41","Jim_Moran","@aebirge I voted yes on Amash. Not perfect, but makes clear #NSA needs reforms to protect privacy of Americans","NSA"
"2013-07-24 ","23:02:15","Jim_Moran","Voted yes on #Amash amendment. Not perfect, but makes clear #NSA needs reforms to protect privacy of Americans","Amash NSA"
"2013-07-24 ","15:12:35","Jim_Moran",".@eugeniamae8 Agree - those cuts are unrealistic and wrong. Longer list of what was on chopping block: http://t.co/0VUNjnsf6N",
"2013-07-24 ","15:10:03","Jim_Moran","Own a small business? RSVP for my Aug 1 discussion on what you need to know to comply w the Affordable Care Act: http://t.co/yLKh5idDnD",
"2013-06-05 ","22:44:48","Jim_Moran","Thanks @GerryConnolly for joining me on the House floor to speak out against humanitarian crisis at Guantanamo Bay",
"2013-06-05 ","20:27:11","Jim_Moran","Independent study criticizes federal management of wild horses. These reforms are long overdue. http://t.co/vBSSJemumV",
"2013-03-11 ","14:55:37","Jim_Moran","7PM tonight at Washington-Lee High School: Preventing Another Newtown: A Conversation on Gun Violence in America. http://t.co/5WdNktdyDo",
"2013-03-11 ","14:51:14","Jim_Moran","@KAGoss 7pm -- hope to see you tonight!",
"2012-09-25 ","21:10:40","Jim_Moran","Today is National Voter Registration Day. To find out whether you are registered visit @WhipHoyer's page here: http://t.co/rRz2iW4k",
"2012-05-18 ","19:22:25","Jim_Moran","#FF groups who helped with #BikeToWork Day @BikeArlington @WABADC","FF BikeToWork"
"2012-05-18 ","16:31:27","Jim_Moran","w/o responsible changes in Smith-Amash amdnt, I cannot support overall NDAA. Stmnt on indefinite detention provision: http://t.co/QLMbaOMq",
"2012-05-18 ","16:23:38","Jim_Moran","Proud to join @lupusorg to #PutOnPurple to show support for the 1.5 million Americans affected by #Lupus. Learn more: http://t.co/Y0apXbYv","PutOnPurple Lupus"
"2012-05-18 ","14:26:32","Jim_Moran","Biking is about more than being healthy. It's about responsible transportation options. #BiketoWork","BiketoWork"
"2012-05-18 ","11:48:56","Jim_Moran","On my way to the Rosslyn Pit stop for #BikeToWork day! Who else is biking to work today?","BikeToWork"
"2011-01-13 ","22:53:23","Jim_Moran","Tune into MSNBC at 6pm. I'll be on the Ed Show discussing the tragedy in Tucson and legislation in Congress stemming from the violence.",
"2011-01-06 ","16:59:53","Jim_Moran","Repealing health care reform would cost more than $100 mil in uncompensated care in the 8th district alone. Read more: http://tbd.ly/gJVewJ",
