"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:56:25","PeterWelch","Reducing amount of opioids prescribed for pain is an important piece in the puzzle of how we combat #OpioidAddiction #OpioidEpidemic","OpioidAddiction OpioidEpidemic"
"2016-09-21 ","21:56:09","PeterWelch",".@DartmouthHitch study finds patients need only 43% of the opioid pain medications they are generally prescribed: https://t.co/hvROIg4uzQ",
"2016-09-21 ","20:33:28","PeterWelch","#BTV area is 17th fastest-growing region nationally for start-ups. I've visited many of these &amp; am always impressed https://t.co/6uSbrcfQqT","BTV"
"2016-09-21 ","13:13:34","PeterWelch","We have a winner! Congrats to photo contest winner Charlie Spina of Wilder, VT whose photo received the most overall likes https://t.co/buLEAesmdc",
"2016-06-10 ","18:17:30","PeterWelch","All moms inside the @USCapitol complex should have access to a clean, private space to breastfeed! https://t.co/oD3YuyK1hI",
"2016-02-18 ","17:57:49","PeterWelch","Really enjoyed meeting with the Southern #VT Young Professionals yesterday in Brattleboro. Impressive group. https://t.co/cUuoz7cM8p","VT"
"2015-11-30 ","20:26:49","PeterWelch","Hopeful that Paris climate talks yield progress on serious but solvable challenge. #ActOnClimate","ActOnClimate"
"2015-09-29 ","18:49:51","PeterWelch","I'll be live on Facebook for a Q &amp; A starting at 5:30 PM tonight. Looking forward to taking your questions here: http://t.co/T9AiR8xb8U",
"2015-09-29 ","17:41:51","PeterWelch","16,000 Vermont women voluntarily choose to get their healthcare from Planned Parenthood. Because of those Vermonters, today I #StandWithPP","StandWithPP"
"2014-05-21 ","21:03:09","PeterWelch","RT if you agree that we should not be supplying high-power shoulder-operated missiles to the Syrian opposition http://t.co/8UkfSkC10J",
"2014-05-21 ","20:01:32","PeterWelch","Climate change also threatens the future of #VT’s ski and maple industries #SoundTheAlarm4Climate https://t.co/UCzGUPJbvA","VT SoundTheAlarm4Climate"
"2014-05-21 ","18:10:58","PeterWelch","In #VT due to climate change, we have more extreme weather events &amp; our farmers have unpredictable growing seasons #SoundTheAlarm4Climate","VT SoundTheAlarm4Climate"
"2014-05-21 ","15:18:04","PeterWelch","#ClimateChange is real&amp;having impact on our environment economy &amp; health. That’s why I'm joining the rally today to #SoundTheAlarm4Climate","ClimateChange SoundTheAlarm4Climate"
"2014-04-01 ","18:37:17","PeterWelch","Great meeting @DavidOrtiz today &amp; rest of @RedSox. I gave him some pointers on his swing #HeWasNotImpressed http://t.co/fORuWzL0gH","HeWasNotImpressed"
"2014-04-01 ","17:51:56","PeterWelch","@SenatorLeahy &amp; I offered our services in the outfield this season. No takers #RedSoxNation http://t.co/BmnGsTuYDl","RedSoxNation"
"2014-02-18 ","21:07:20","PeterWelch","If you have unlimited money and nonexistent oversight, bad things happen http://t.co/VfHgmr65gq #vt #vtpoli","vt vtpoli"
"2014-02-18 ","18:15:38","PeterWelch","Congrats &amp; welcome home Hannah MT @HK_Ski My 2 Olympic medals met for first time today. Naturally, I took a selfie. http://t.co/3e5VlTO3zR",
"2013-07-24 ","21:20:57","PeterWelch","Thanks for being in touch @cdr @slworona &amp; @jlev. I'll be voting in favor of the Amash/Conyers #NSA amendment","NSA"
"2013-07-24 ","18:28:57","PeterWelch","RT IF U AGREE #NSA has cast a wide &amp; indiscriminate net in the name of national security. Time to rein in NSA: http://t.co/8lC1te8iBz","NSA"
"2013-07-24 ","15:03:53","PeterWelch","Thanks @lunaris4281 &amp; @cameronpbarden. I'm supporting the Amash/Conyers #NSA amendment.","NSA"
"2013-07-24 ","14:55:00","PeterWelch","RT IF YOU AGREE We can protect Americans w/o shredding our civil liberties. It’s time to rein in the #NSA","NSA"
"2013-07-24 ","14:52:36","PeterWelch","I'm an original sponsor of @repjustinamash &amp; @repjohnconyers #NSA legislation and will vote for the amendment.","NSA"
"2013-06-05 ","21:07:53","PeterWelch","RT if you think Congress should keep interest rates low on Stafford Loans #DontDoubleMyRate http://t.co/EUqZURXTP8","DontDoubleMyRate"
"2013-06-05 ","15:44:21","PeterWelch","Helpful video by @edworkforcedems shows why students cannot afford GOP variable interest rate bill #DontDoubleMyRate http://t.co/X4OluG9h3v","DontDoubleMyRate"
"2013-06-05 ","14:10:46","PeterWelch","18k Vermonters have Stafford Loans, a program pioneered by #VT Sen Robert Stafford. Here's why Congress needs to act http://t.co/zrMzv7Vdxc","VT"
