Date,Time,screen_name,text,hashtags
9/21/16,15:51:06,RepDennyHeck,The Ancient One takes another step toward home https://t.co/YSbzmujo8c,
7/5/16,19:45:14,RepDennyHeck,"Are you my constituent? Do you live in the #WA10 district? If so, reply to this tweet with your zip code &amp; I can return the follow.",WA10
6/10/16,23:35:08,RepDennyHeck,Indian Trust Asset Reform Act on its way to @WhiteHouse for President’s signature. Happy Friday! https://t.co/CZyjIVCKas,
9/29/15,23:45:04,RepDennyHeck,Find out what I'm working on w/ my colleagues from both parties to improve our economy. http://t.co/l12zLdvJaG,
9/29/15,20:20:02,RepDennyHeck,We are building momentum to #SaveAmericasSound. Learn more: https://t.co/MTB8CAYQ9i http://t.co/isQKVqmxq3,SaveAmericasSound
9/29/15,17:10:14,RepDennyHeck,This is no longer an abstraction. The impact is all too real. https://t.co/Z4IXkQZDj4 #ExIm4Jobs,ExIm4Jobs
9/29/15,17:00:23,RepDennyHeck,Celebrate #NationalCoffeeDay with a cup of joe from @Dillanos in Sumner! #WA10 #SouthSound http://t.co/w05VqYrtMs,NationalCoffeeDay WA10 SouthSound
9/29/15,17:00:22,RepDennyHeck,"Key words: domestic content. To do business w/ @EximBankUS, @Boeing planes must be made w/ parts made in the USA (85%). #ExIm4Jobs",ExIm4Jobs
9/29/15,15:20:06,RepDennyHeck,Have you asked @CFPB for assistance on a financial matter? What was your experience? #CFPBWorks http://t.co/4qDQUjU4Js,CFPBWorks
9/29/15,15:15:05,RepDennyHeck,".@CFPB has answered over 1,100 consumer questions through its #AskCFPB portal http://t.co/kS9LWf8xNQ",AskCFPB
9/29/15,15:05:03,RepDennyHeck,I support the @CFPB &amp; I support creating a small business advisory board to help them craft smart &amp; sustainable rules for industry.,
9/29/15,14:59:03,RepDennyHeck,FACT: @CFPB has returned approximately $11 billion to US consumers. #CFPBWorks http://t.co/DOYCLjDSJz,CFPBWorks
9/29/15,14:55:07,RepDennyHeck,Over 4 million consumers have visited #AskCFPB http://t.co/kS9LWf8xNQ #WallStReformWorks #CFPBWorks,AskCFPB WallStReformWorks CFPBWorks
9/29/15,14:45:09,RepDennyHeck,"The @CFPB ensures that individuals are free to obtain consumer credit absent discrimination on the basis of as race, sex, or ethnicity.",
9/29/15,14:30:13,RepDennyHeck,.@CFPB is the only fed agency charged with protecting the financial interests of American consumers. http://t.co/nQQxngivjN #CFPBWorks,CFPBWorks
6/15/15,20:15:04,RepDennyHeck,Ex-Im empowers minority &amp; women-owned small businesses  to soar overseas  http://t.co/oZfLg6np0z,
6/15/15,19:00:17,RepDennyHeck,Manufacturer on Ex-Im Bank shutdown via @nprnews: Would it slow my biz down? I think it would. http://t.co/hHvea8sxaL #ExIm4jobs,ExIm4jobs
6/15/15,16:15:07,RepDennyHeck,Great rundown of the #SouthSound for #USOpen2015 visitors http://t.co/bnzlp4uLzV by @thenewstribune #WA10,SouthSound USOpen2015 WA10
6/9/15,14:30:10,RepDennyHeck,Pexco in Fife hired salesman to handle growing international sales w/ Ex-Im backing. https://t.co/3qN48NkTlZ #ExIm4Jobs #WA10,ExIm4Jobs WA10
5/21/14,19:32:57,RepDennyHeck,The Puyallup Historical Hatchery Foundation is @WDFW's educator of the year http://t.co/Yg1td5drxG #WA10,WA10
4/1/14,21:56:07,RepDennyHeck,ICYMI: Read @theolympian editorial on my new COMMUTE Act: http://t.co/YeG3gadZcD,
2/18/14,21:36:20,RepDennyHeck,"An analysis by @EconomicPolicy says a higher minimum wage would create 85,000 new jobs within 3 years: http://t.co/V0N9Hsq5PH #RaiseTheWage",RaiseTheWage
2/18/14,20:37:58,RepDennyHeck,"According to a new report, increasing the minimum wage to $10.10 would #RaiseTheWage for nearly 25 million Americans: http://t.co/OSvDJ2Yg1j",RaiseTheWage
9/21/16,20:27:10,RepDerekKilmer,"Thanks for letting me join your service project this morning, @the_USO! https://t.co/NaFF4oWM1h",
9/21/16,17:38:06,RepDerekKilmer,"Happy 125th anniversary, @PSNSandIMF! Join me in celebrating their work &amp; dedication to our country.  https://t.co/wmCdAdK5y0",
7/15/16,19:27:28,RepDerekKilmer,Now the second episode is live! Check it out on my website or download it on iTunes.https://t.co/ckqDeZCrch,
7/15/16,17:16:49,RepDerekKilmer,Thanks for #caffeinating my morning Tinderbox Roasters! https://t.co/m133WbcI6W,caffeinating
7/15/16,16:59:01,RepDerekKilmer,Read about my efforts to protect the Antiquities Act in @seattlepi: https://t.co/K0Wl5l1Vc4,
7/5/16,3:14:19,RepDerekKilmer,"Whatever you’re doing this Fourth of July weekend, be sure to take time to appreciate those who serve us all. https://t.co/DurUgQpXuh",
2/23/16,19:59:41,RepDerekKilmer,According to the National Academy of Sciences sea levels are rising faster than ever. We can and must take action https://t.co/255WgrMB0U,
2/23/16,17:50:40,RepDerekKilmer,#SCOTUS vacancy presents an opportunity to fix our broken campaign finance system – check out my piece in PubliCola https://t.co/TWrGVUlmgm,SCOTUS
2/23/16,15:33:43,RepDerekKilmer,.@clairecmc you are in my thoughts and prayers https://t.co/ADWHgoAcGX,
2/18/16,17:10:16,RepDerekKilmer,Thanks to all who came out to my Mason County Town Hall! More on where I’ll be next: https://t.co/80E1FAEtx7 https://t.co/yHg1eG8WpQ,
11/30/15,22:51:36,RepDerekKilmer,I spoke on the House floor to support legislation that would honor the legacy of PNW legend Billy Frank Jr. https://t.co/UFYrkl3xgX,
11/30/15,20:21:45,RepDerekKilmer,"Climate change requires action, and it’s great to see that Washington state is part of the solution: https://t.co/DlnNFNO6uS #COP21",COP21
11/30/15,18:43:19,RepDerekKilmer,Don't forget to sign up for my telephone town hall this Wednesday: https://t.co/KDqj3LpJ35 https://t.co/W38XMIqo6B,
11/30/15,17:22:49,RepDerekKilmer,"From a former Marshall Scholar, congrats to the 2016 recipients!  https://t.co/WqSF5kyqAB",
11/25/15,16:52:52,RepDerekKilmer,Join me next Wednesday for our 10th telephone town hall! Sign up here: https://t.co/KDqj3LpJ35 https://t.co/DIL331Pzs3,
11/25/15,14:37:02,RepDerekKilmer,Serving patrons at @PTBR – a coffeehouse dedicated to providing a safe space in our region #WeekofThanks https://t.co/O97fd7Njt0,WeekofThanks
10/29/15,16:24:41,RepDerekKilmer,So glad I got a haircut. I look forward to getting Congress back on track and wish former Speaker Boehner the best. https://t.co/4kkxxqdHrD,
9/29/15,20:22:41,RepDerekKilmer,I shared the story of my first (and only) acting debut in honor of the @NEAarts 50th Anniversary #arts4US http://t.co/nYWgks8K3E,arts4US
9/29/15,15:12:23,RepDerekKilmer,I spoke on the House floor in support of the PUGET SOS Act b/c we’ve got to take action to fight for the Sound http://t.co/zYFw6fNsx5,
7/14/15,21:20:04,RepDerekKilmer,I spoke at the @BPC_Bipartisan about prize-linked savings accounts - a way to encourage more folks to save money. http://t.co/fx9FFH1lVB,
7/14/15,18:04:55,RepDerekKilmer,Let’s help more Americans #MakeItInAmerica by providing 21st century skills training for 21st century jobs #MIIAWhatsNext,MakeItInAmerica MIIAWhatsNext
7/14/15,14:10:27,RepDerekKilmer,Congratulations @NASANewHorizons on a successful #PlutoFlyBy - #NASA continues to help us push the boundaries of space exploration.,PlutoFlyBy NASA
6/15/15,21:54:59,RepDerekKilmer,"Don’t miss out on my next update, visit this link to sign up for my e-newsletter: http://t.co/Bp98HNNWro",
6/9/15,17:36:26,RepDerekKilmer,Are you on the job hunt? Check out tomorrow’s job fair at the MTA Transit-Community Center in Shelton. http://t.co/pUuuZvrU6d,
10/22/14,0:10:32,RepDerekKilmer,Everyone should feel safe &amp; secure in their home - please RT to spread awareness of #DomesticViolenceAwarenessMonth http://t.co/7Y9k1fCOEs,DomesticViolenceAwarenessMonth
5/21/14,19:04:53,RepDerekKilmer,An honor to join in recognizing the Seahawks for their Super Bowl win at the White House #GoHawks #SuperBowlChamps http://t.co/HSJ9npzvQx,GoHawks SuperBowlChamps
5/21/14,17:03:41,RepDerekKilmer,Assembling care packages for our troops at the #USOServiceProject #SupportOurTroops http://t.co/7wh2NVfOrq,USOServiceProject SupportOurTroops
7/24/13,23:42:14,RepDerekKilmer,3 provisions I wrote just passed in the House – 2 of them address the local impact of sequestration and furloughs http://t.co/cOYalontIP,
9/21/16,20:27:10,RepDerekKilmer,"Thanks for letting me join your service project this morning, @the_USO! https://t.co/NaFF4oWM1h",
9/21/16,17:38:06,RepDerekKilmer,"Happy 125th anniversary, @PSNSandIMF! Join me in celebrating their work &amp; dedication to our country.  https://t.co/wmCdAdK5y0",
7/15/16,19:27:28,RepDerekKilmer,Now the second episode is live! Check it out on my website or download it on iTunes.https://t.co/ckqDeZCrch,
