"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:43:03","RepRonKind","It was great to see everyone last night and discuss the importance of supporting our farmers and making organic, healthy food accessible https://t.co/7prSoOxfaT",
"2016-09-21 ","15:14:31","RepRonKind","Honored to receive @IHRSA's Get Active Leadership Award. Looking forward to continuing to work to  #PassthePHITAct https://t.co/MzXsJfWBEV","PassthePHITAct"
"2016-07-15 ","15:37:04","RepRonKind","Check out the 2016 Federal Duck Stamp! Funds help make sure future generations can enjoy our surroundings. https://t.co/QwKLMpirT8",
"2016-02-18 ","22:35:59","RepRonKind","Results are in: We're making progress on giving more Wisconsinites access to affordable, quality healthcare! https://t.co/iwZC277Qmt",
"2015-11-30 ","18:22:47","RepRonKind","Tomorrow is your last day to submit a photo to my Hunting, Fishing, &amp; Outdoors Photo Contest! Send yours to wi3photos@mail.house.gov",
"2015-10-29 ","18:32:41","RepRonKind","As Badgers we are proud of @SpeakerRyan. He is the first Speaker of the House of Representatives from Wisconsin. https://t.co/JZp3KDiPrU",
"2015-09-29 ","19:59:18","RepRonKind","#LWCF helps protect WI’s beautiful outdoors &amp; ensures recreational access for hunting, fishing and
other outdoor activities. #SaveLWCF","LWCF SaveLWCF"
"2015-07-14 ","19:01:54","RepRonKind","Happy to host a bipartisan meeting w @RepRibble and @USTradeRep to stand up for #WisconsinDairy &amp; ensure any agreement will open new markets","WisconsinDairy"
"2014-05-21 ","20:27:58","RepRonKind","RT @hrc: US Reps Intro Bill to Ensure Married Same-Sex Couples Have Access to #SocialSecurity http://t.co/SIKosh7qU5 via @HRC...","SocialSecurity"
"2014-04-01 ","21:56:57","RepRonKind","Is Paul Ryan's Republican Budget an #AprilFools joke? His plan: reckless cuts to health care, education &amp; development http://t.co/hTez68OD5t","AprilFools"
"2014-04-01 ","18:36:20","RepRonKind","More than 7 million Americans have signed up for private health plans thanks to the #ACA. #7MillionAndCounting","ACA 7MillionAndCounting"
"2014-04-01 ","17:32:07","RepRonKind","The Department of Labor estimates that the lack of unemployment insurance cost the economy $5 million in the 1st quarter of 2014. #RenewUI","RenewUI"
