"Date","Time","screen_name","text","hashtags"
"2014-10-22 ","17:21:10","RepNickRahall","Announcing $750K for WV public broadcasting in Beckley.  From symphonies to Cookie Monster, public broadcasting broadens minds.",
"2014-05-21 ","21:36:56","RepNickRahall","Huntington Tri-State Airport receives $8.9M in federal funds! Improves safety &amp; security while boosting our economy! http://t.co/WxjQ6yVmyv",
"2014-05-21 ","18:14:29","RepNickRahall","Honored to welcome 30 WV Honor Flight #Veterans to the Capitol. Thankful for your service! http://t.co/Z0gddWZSqg http://t.co/r5eUnehGOo","Veterans"
"2014-05-21 ","18:08:36","RepNickRahall","Proud to join @the_USO to assemble Wounded Warrior care packages. Thankful 4 our troops &amp; their sacrifice #USOmoments http://t.co/ZJHl93IR14","USOmoments"
"2014-05-21 ","14:51:28","RepNickRahall","@WhipHoyer Thank you!",
"2014-05-21 ","14:50:35","RepNickRahall","@RepSinema Thank you!",
"2014-05-21 ","14:33:05","RepNickRahall","Proud of final passage of bipartisan jobs bill - #WRRDA! Supports #BuyAmerica, WV coal, improves water infrastructure http://t.co/JBrSGqgKeK","WRRDA BuyAmerica"
"2014-04-01 ","20:52:03","RepNickRahall","Honoring March's #ColonCancerAwareness Month. @ Logan Regional Medical Center today for opening of Endoscopy Unit. http://t.co/OOCm84GHE9","ColonCancerAwareness"
"2014-04-01 ","20:29:25","RepNickRahall","@ Logan today talking 2 #seniors. Must keep our promise on #SocialSecurity &amp; #Medicare. No Vouchers, No Privatization http://t.co/XvEj9dHNnW","seniors SocialSecurity Medicare"
"2014-02-18 ","20:57:48","RepNickRahall","Met with seniors and vets today. Gonna fight proposed benefit cuts and work hard to protect their COLAs: http://t.co/eVu9mzqoXJ",
"2014-02-18 ","17:48:58","RepNickRahall","Check out new Firefighter grants. I can help WV firefighters find needed resources. @WVFirefighters #Firefighter http://t.co/exGUGfcMNR","Firefighter"
