"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","13:54:15","RepRickCrawford","Congratulations to Batesville-based Bad Boy Mowers for announcement regarding exporting to Australia https://t.co/jx4pELugTK",
"2016-09-21 ","13:41:46","RepRickCrawford","""U.S.- #Cuba exports would rise by $271.2 M/yr, w/ total economic impact of $833.1 M, supporting 4,478 new jobs"" https://t.co/CAWQUMOPqb","Cuba"
"2016-07-15 ","21:23:24","RepRickCrawford","#GMO labeling raises food prices, but Congress passed a national law anyway. WHY: https://t.co/l54kWxIsUr","GMO"
"2016-07-05 ","15:59:12","RepRickCrawford","Glad to see some 1st District representation in this #BBQ legends list! @arkansaslife https://t.co/8elMx24NBl","BBQ"
"2016-07-05 ","14:27:42","RepRickCrawford","The story of the first woman #EOD technician by @Brian_Castner https://t.co/vmeNw4UgPW","EOD"
"2016-06-10 ","12:58:50","RepRickCrawford","To drive #agtech further, boosting rural connectivity is critical: https://t.co/7ldHCy8ldV","agtech"
"2016-02-23 ","20:28:50","RepRickCrawford","To stay up to date with what I'm doing in Washington, sign up for my newsletter! https://t.co/VjDqPbN0JO",
"2016-02-23 ","17:55:58","RepRickCrawford","Congrats to all the 1st District appointees! https://t.co/oshqWip6MZ",
"2016-02-18 ","21:56:05","RepRickCrawford","#tbt to Congressional Baseball game I played in years ago. @ASTATEBaseball kicks off tomorrow! #WolvesUp #HowlYes https://t.co/bhMs0AHZkG","tbt WolvesUp HowlYes"
"2016-02-18 ","18:27:30","RepRickCrawford","#ScaliaReplacement will affect #agriculture issues, including #WOTUS. Next #POTUS must choose replacement https://t.co/5Wv681a350","ScaliaReplacement agriculture WOTUS POTUS"
"2016-02-18 ","00:00:20","RepRickCrawford","Are you or your family looking to visit D.C. this year? My office can help!
https://t.co/eoEPlgIZfD",
"2015-11-25 ","21:40:50","RepRickCrawford","Imported and domestic #catfish will now be more accurately labelled and inspected, good news for home producers    https://t.co/tDXWBtKZ4E","catfish"
"2015-11-25 ","18:30:57","RepRickCrawford","While I'm partial to EOD folks, wanted to say thank you for your service. Have a good Thanksgiving!  https://t.co/WMbzJLOSGG",
"2015-11-25 ","17:43:55","RepRickCrawford","@dchundley No problem, thanks for reading. Have a Happy Thanksgiving!",
"2015-11-25 ","17:25:52","RepRickCrawford","If you like #turkey #history and #politics check this out: “Sincerely, Frustrated. Happy Thanksgiving” https://t.co/XDtRIX6UUG","turkey history politics"
"2015-10-29 ","21:16:19","RepRickCrawford","Listen to new #tuneinar1 on-the-go @SoundCloud or @iTunesPodcasts. This week covers the #budgetdeal 

https://t.co/JmxLvC2Dmk","tuneinar1 budgetdeal"
"2015-10-29 ","20:03:05","RepRickCrawford","Congrats to Todd Simmons, the new Chairman of the National Chicken Council and named ""Industry Leader of the Year"" by the Poultry Federation",
"2015-10-29 ","00:43:35","RepRickCrawford","We didn't win but fought hard. Cap Hill Police played great &amp; won 14-6. Glad my family could make it! #gomeanmachine https://t.co/SPBUgoxFg1","gomeanmachine"
"2015-10-29 ","00:17:56","RepRickCrawford","Down 7-6, halfway in the third quarter #gomeanmachine https://t.co/picicyhzeh","gomeanmachine"
"2015-09-29 ","15:56:37","RepRickCrawford","Congrats to Mount Pleasant Elementary and Valley View Junior High which were recognized as National Blue Ribbon schools today!",
"2015-09-29 ","13:27:31","RepRickCrawford","""There is farm raised [catfish], and there is U.S. farm raised [catfish]."" 

Where your catfish is raised matters.
http://t.co/I7s3amKmCG",
"2015-06-15 ","19:22:00","RepRickCrawford","""They are hungry for change, and they are hungry...for rice"" http://t.co/tmqsWq7h8C #Cuba  #trade @TBArkansas","Cuba trade"
"2015-06-15 ","15:52:02","RepRickCrawford","""active threat"" at gate of Little Rock AFB. Base's gates closed to traffic until further notice. Two were transported to hospital.",
"2015-06-09 ","13:37:05","RepRickCrawford","""Entrepreneurs See a Field of Dreams in Agriculture"" http://t.co/vD1XL6QQyK",
"2014-10-22 ","16:40:07","RepRickCrawford","My thoughts and prayers go out to our friends in Canada as events are ongoing in Ottawa.",
