"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","22:22:57","repdonyoung","Martin Sensmeier, an actor from Yakutat,  recently stopped by to discuss his role as a @BGCA_Clubs Ambassador https://t.co/rFqyOXlg7T",
"2016-02-23 ","23:16:24","repdonyoung","#POTUS' Guantanamo plan: Ambiguous plan that fails to address national security concerns required by law.
https://t.co/ub0dSVIweZ","POTUS"
"2016-02-23 ","21:26:26","repdonyoung",".@NCAI1944 detailed efforts 2 empower Native communities, promote econ opportunity &amp; uphold trust responsibility https://t.co/92zKcxLV1I",
"2015-10-29 ","22:10:54","repdonyoung","Sharing a few thoughts on the election of @PRyan as the 54th Speaker of the House. https://t.co/xRp6fGUwsb",
"2015-09-29 ","22:56:45","repdonyoung","National marine monuments under Antiquities Act is a fundamentally flawed process - ignores science &amp; research 
https://t.co/UqHMRWiQhe",
"2015-09-29 ","22:47:02","repdonyoung","On national marine monument process: “Antiquities Act was never meant for the ocean, never” http://t.co/X31LXiBEJb http://t.co/hgTHX8nxuQ",
"2015-09-29 ","19:30:57","repdonyoung","US ranks 41st in time &amp; costs 4 govt approval of construction projects. #RAPIDAct
http://t.co/gG0SsY7Txs http://t.co/g6ddlFGabn","RAPIDAct"
"2015-07-14 ","18:46:34","repdonyoung","Iran negotiations have fallen far short from what Congress &amp; American people demanded. Read why I oppose the deal: http://t.co/4p9pj4zcpT",
"2015-06-09 ","18:52:08","repdonyoung","On my 82nd birthday, Anne has given me the best gift anyone could ask for – her hand in marriage. http://t.co/srqwotL0Mp",
"2014-10-22 ","03:44:41","repdonyoung","Check out this brief video of my recent visit to Nome, Sishmaref, Kotzebue, Point Hope, Wainwright and Barrow. https://t.co/2VjPHKSPIb",
"2014-05-21 ","23:55:56","repdonyoung","The @DeptVetAffairs must be held accountable for their actions
http://t.co/E5wECiVcdI http://t.co/G7TuAlZwbo",
"2014-04-01 ","20:40:54","repdonyoung","On Thursday, I will be asking @SecretaryJewell how she’s lived up to her commitment to our Alaska Native people. http://t.co/i7xaXzL8ia",
"2013-07-24 ","22:01:15","repdonyoung","Successful @NatResources markup today. My Denali Park Improvement Act &amp; bill to aid @AKGovParnell's #ANWR proposal are headed to the floor.","ANWR"
"2013-06-05 ","20:29:41","repdonyoung","Stat of the Day: over half of all tourists visiting #AK each summer come via cruise ships. http://t.co/eXeuYkuJgw","AK"
"2013-06-05 ","00:58:37","repdonyoung","Milcon/VA approps bill passed the House overwhelmingly tonight w/ my support. Read my statement here: http://t.co/uG6qn8rEt2 #EndVABacklog","EndVABacklog"
"2013-06-05 ","00:40:12","repdonyoung","Proud to participate in roundtable w/ AK/HI delegation to continue tradition of working together for Native peoples http://t.co/4B7BVyFi35",
"2012-05-18 ","21:37:03","repdonyoung","I am hopeful #ATF got the message that copying gun shop records is unacceptable to me and illegal: http://t.co/vlVTWJg9 #alaska #ak","ATF alaska ak"
"2012-05-18 ","20:40:02","repdonyoung","ICYMI: I wrote about the need for a robust national missile defense program in today's @politico : http://t.co/xX0RKedM #AK #FortGreely","AK FortGreely"
"2012-05-18 ","18:34:34","repdonyoung","My amendment is necessary in ensuring that a ‘backdoor BRAC’ doesn’t happen now or in the future: http://t.co/IgUTrpnA #Eielson #alaska","Eielson alaska"
"2011-01-14 ","21:50:05","repdonyoung","Delegation Announces Grants to Alaska Programs http://fb.me/IFjImgcA",
"2011-01-13 ","19:03:14","repdonyoung","Rep. Young Condemns EPA Actions In Revoking Mine Permit http://fb.me/IuATiQAv",
"2011-01-12 ","22:11:18","repdonyoung","Rep. Young Chosen To Represent Region One On Republican Policy Committee http://fb.me/NAWjA4NL",
"2011-01-12 ","22:10:50","repdonyoung","Rep. Young Chosen To Represent Region One On Republican Policy Committee http://fb.me/OBlGfW08",
"2011-01-12 ","13:48:44","repdonyoung","CQ Weekly: ""Don Young Gets His Groove Back"" http://fb.me/Ip7x8fw4",
"2011-01-11 ","22:13:52","repdonyoung","Rep. Young Vows to Fight Enviro Laws He Says Hurt Tribal Energy Development http://fb.me/xAYRTPkQ",
"2011-01-11 ","19:55:57","repdonyoung","Congressman Young Leading the House of Representatives in Reciting the Pledge of Allegiance http://fb.me/HZL89MD7",
"2011-01-11 ","19:55:41","repdonyoung","Congressman Young Leading the House of Representatives in Reciting the Pledge of Allegiance http://fb.me/Q2F6yGo7",
"2011-01-10 ","18:35:54","repdonyoung","Rep. Young Introduces Legislation To Curtail Regulations http://fb.me/P1nOVvI5",
"2011-01-06 ","13:47:57","repdonyoung","Rep. Young Starts 112th With Introduction of Three Bills http://fb.me/NJMqK6Pl",
"2009-11-03 ","22:27:57","repdonyoung","http://bit.ly/2pBXdQ",
"2009-11-03 ","22:14:30","repdonyoung","Will be participating in a health care press conf on Thurs 11/5 at noon, on the east steps of the Capitol.  If you're in town, stop by!",
"2009-11-03 ","18:36:31","repdonyoung","Commends Participants Of Taxpayer March; Cosponsors Resolution http://bit.ly/MUfZA",
"2009-11-03 ","14:50:51","repdonyoung","Health Care: 111 -- Not Such A Lonely Number http://bit.ly/h9aUK",
"2016-02-23 ","20:56:48","salmoncongress","With global terrorism on the rise, closing #Gitmo is not the answer.","Gitmo"
"2015-10-29 ","20:06:47","salmoncongress","I voted no on bipartisan budget agreement yesterday and here's why: https://t.co/UJZ3OflzLH",
"2015-09-29 ","15:56:01","salmoncongress","Must-read column by @johndickerson of CBS on John Boehner's final days as Speaker. http://t.co/zTCNEzAeeT",
"2015-07-14 ","22:34:10","salmoncongress","Obama may claim the Iran deal is a foreign policy accomplishment; I call it a big threat to national security &amp; the security of our allies.",
"2015-07-14 ","22:30:04","salmoncongress","President Obama's deal with Iran is bad for America and bad for our allies. I will work tirelessly to defeat this bad deal.",
"2015-06-15 ","18:37:54","salmoncongress","Last week, I introduced the 5th bill from my SOS Initiative. This bill will eliminate federal funding for the NSF PoLAR Project.",
"2015-06-09 ","15:44:09","salmoncongress","This is a must-read editorial in today's @WSJ re: confronting ISIS. http://t.co/p7ijCR9Qql",
"2014-10-22 ","22:12:53","salmoncongress","I'll be joining @MittRomney tomorrow at 7:30pm for a Victory Rally in support of @dougducey. Tickets are free. http://t.co/qPr3kor2LO",
"2014-05-21 ","15:00:09","salmoncongress","Americans don't want any more bailouts, and I'll lead the fight in Congress to stop them. #ObamaCareBailout http://t.co/8QyDqa6Urh","ObamaCareBailout"
"2014-05-21 ","01:35:50","salmoncongress","In case you missed it, here is where $1 billion of your tax dollars are paying for...http://t.co/V9R794OX6d",
"2014-04-01 ","16:49:35","salmoncongress","http://t.co/XUoDY7p5mf",
"2014-02-18 ","23:03:23","salmoncongress","Five years later, Obama's Stimulus is still a failure. http://t.co/y6qJuUCRnt",
"2014-02-18 ","20:40:51","salmoncongress","I'll be in studio today with @broomheadshow on KFYI from 4-5PM Arizona time. Tune in to hear about what I'm doing in #AZ05.","AZ05"
"2013-03-11 ","20:00:48","salmoncongress","Time to break some rules in #Congress. Read why: http://t.co/OYTU9Jkxlk #AZ #tcot","Congress AZ tcot"
"2012-09-25 ","20:34:47","salmoncongress","Honored to have the support of @KirkAdams and appreciate his efforts to create #GOP unity. http://t.co/vBS99DrE #AZ05 #AZRight #tcot","GOP AZ05 AZRight tcot"
"2012-08-03 ","17:41:48","salmoncongress","42 straight months of unemployment over 8%...we need hope and change in November and this time it won't include Barack Obama. #AZ05 #tcot","AZ05 tcot"
"2012-08-03 ","02:13:15","salmoncongress","Nice to be back in the Las Sendas area in Mesa tonight, thanks to the Nunley's for opening their home! 25 days to go! http://t.co/b51mohXv",
"2012-07-18 ","17:25:10","salmoncongress","Read today's @arizonarepublic endorsement for my campaign here: ""Salmon would serve Ariz. well"" http://t.co/yrddOfXE #az05 #azright #tcot","az05 azright tcot"
"2012-07-18 ","17:20:26","salmoncongress","Today's @arizonarepublic: ""If the goal is to get an intractable Congress moving again, we'll need Salmon's brand of leadership."" #az05","az05"
"2012-03-31 ","20:39:26","salmoncongress","Lots of East Valley residents enjoying the warm weather today @ #FalconField Open House in #Mesa. Happy to join them! http://t.co/5GHR601R","FalconField Mesa"
"2012-03-31 ","17:16:53","salmoncongress","Great morning at the Chandler Republican Women's Club. http://t.co/mWswgMwT",
"2016-09-21 ","20:36:13","RepMcSally","We know women still face barriers in the workforce. That’s why we’re working for solutions. #GOPWorking4Women https://t.co/ihNy1QRsii","GOPWorking4Women"
"2016-09-21 ","19:33:34","RepMcSally","Proud to stand for the American dream! https://t.co/H9xHH0QFaN",
"2016-09-21 ","16:56:14","RepMcSally","Making some fluffy new friends at last night's Pet Night on Capitol Hill hosted by @AnimalsHealthy. #doglover https://t.co/FzgLpSOzeD","doglover"
"2016-09-21 ","14:09:35","RepMcSally","STARTING NOW. https://t.co/Lm9XuudwUA",
"2016-07-05 ","22:11:42","RepMcSally","Congrats @NASAJuno and @UofA's Dr. William Hubbard on years of hard work to study Jupiter. https://t.co/j1i6VgHOXe",
"2016-07-05 ","20:30:59","RepMcSally","A big thanks to everyone that came out to my office’s Senior Scam Forum last Friday! Read more via @SahuaritaSun --&gt; https://t.co/c5J733y3rk",
"2016-06-10 ","23:02:08","RepMcSally","ICYMI: I am committed to preserving the privacy rights of S. Arizonans. Read my letter to FBI Director Comey: https://t.co/KTqJcNR6YB",
"2016-06-10 ","21:31:44","RepMcSally","Stay updated on my efforts to #AZ02 ---&gt; Sign-up to receive my e-newsletter: https://t.co/0wo69obyjy","AZ02"
"2016-06-10 ","19:13:36","RepMcSally","AZ will miss @SaguaroNPS Superintendent Darla Sidles, but we thank her for her service &amp; wish her well in Colorado! https://t.co/L64QF7zhRr",
"2016-06-10 ","00:00:52","RepMcSally","Read my letter to FBI Director James Comey seeking answers for FBI surveillance flights in #Tucson ---&gt; https://t.co/KTqJcNR6YB","Tucson"
"2016-02-23 ","20:35:11","RepMcSally","""Legendary A-10 'Warthog' wins another fight vs. budget ax"" via @FoxNews https://t.co/G1XBJ85JjQ",
"2016-02-23 ","18:09:35","RepMcSally","Let’s face it. This decision is about fulfilling a campaign promise, not strengthening nat sec. My full stmt: https://t.co/nGm6gYTTXE #Gitmo","Gitmo"
"2016-02-23 ","16:31:49","RepMcSally","Let me know your thoughts and opinions by emailing me at my website HERE ---&gt; https://t.co/mJPT6RncrK #AZ02","AZ02"
"2016-02-18 ","18:34:09","RepMcSally","""Starting today we have the first AZ Fisher House...showing our veterans that we are not going to leave them alone."" https://t.co/oq3DjTc7pP",
"2015-11-30 ","16:40:06","RepMcSally","Important reminder for S. Arizonans. With possible freezing temps ahead, remember your people, plants, pipes, &amp; pets https://t.co/IP0xioVxbN",
"2015-11-25 ","23:21:48","RepMcSally","Great meeting you and my kudos on some very strong selfie skills!  https://t.co/xQL06x2kZm",
"2015-11-25 ","23:18:12","RepMcSally","It was a privilege to help serve food at the @GRMTucson's annual #Thanksgiving banquet today. https://t.co/ZfwaMm4Fx1","Thanksgiving"
"2015-11-25 ","17:02:20","RepMcSally","Looking forward to joining other volunteers to help serve food at @GRMTucson this morning. Banquet starts at 11:00AM https://t.co/FT1etlAE5Y",
"2015-10-29 ","18:57:18","RepMcSally","This month we recognize those we've lost to #breastcancer and stand with those fighting it. #BCAM15 https://t.co/jsB0hjDnJb","breastcancer BCAM15"
"2015-09-29 ","22:37:01","RepMcSally","Foreign Fighters pose a serious, sophisticated threat. Read abt our recommendations to stop them---&gt; https://t.co/0hFnDzwbme @HouseHomeland",
