"Date","Time","screen_name","text","hashtags"
"2012-09-25 ","21:05:27","RepDanLungren","CA can't afford to lose more jobs - Sacbee - Comcast to close call centers in California, cutting 300 Sacramento jobs http://t.co/5Ul5jAnW",
"2012-09-25 ","18:43:49","RepDanLungren","Good read in the Wash Post editorial: ""In the Middle East, a pro-American turn"" http://t.co/KJXCgbpQ …",
"2012-08-03 ","20:39:38","RepDanLungren","Obama adviser: Jobless rate is really 8.254% http://t.co/CW2OMaXw via @USATODAY",
"2012-08-03 ","16:56:37","RepDanLungren","Today’s disappointing jobs numbers only further underscore the need for job-creating, comprehensive tax reform-http://t.co/cmeZ6lTq",
"2012-08-03 ","02:34:57","RepDanLungren","Thank you to everyone that participated in my 10th Tele-townhall of the year. Hearing your thoughts and concerns helps me do my job.",
"2012-07-18 ","17:53:45","RepDanLungren","MT: National Journal highlights new report showing Dems’ small biz tax hike will cost 700K + jobs, hurt economic growth http://t.co/jCELgRHO",
"2012-07-18 ","14:43:27","RepDanLungren","RT: GOP will move 2 #stopthetaxhike &amp; lay the groundwork 4 fairer, simpler tax code that lowers rates, closes loopholes &amp; brings home jobs","stopthetaxhike"
"2012-05-18 ","20:31:10","RepDanLungren","Heading back to Sacramento with a busy schedule of meetings and events this weekend and next week.",
"2009-04-01 ","13:50:00","RepRadanovich","Check out my blog on RedState: Rally to Change (yay, change!) the #CPSIA http://tinyurl.com/chg6lp #tcot #hhrs","CPSIA tcot hhrs"
"2016-02-23 ","21:32:58","DevinNunes","Looking for spring and summer interns for my D.C. and Visalia offices. For more info, see: https://t.co/Q18hhqMduP https://t.co/e3g0Ib2HtH",
"2016-02-18 ","18:23:08","DevinNunes","Discussing national security w/ @RayAppletonKMJ on @kmjnow today at 1 pm PST. Listen live: https://t.co/10mfByPgrZ https://t.co/H8lUYAkqUZ",
"2015-11-25 ","20:29:03","DevinNunes","See these @FoxNews reports on allegations of intel manipulation at U.S. CENTCOM: https://t.co/0tjYRRwkBH https://t.co/07J2v01qLn",
"2015-10-29 ","22:21:36","DevinNunes","I consented to Speaker Ryan's request that I continue as Intel Cmte Chairman. My statement: https://t.co/w8dVQ0NJzr https://t.co/JRxLFmMJgE",
"2015-06-15 ","22:29:31","DevinNunes","ICYMI, see my recent article on the #CAWaterCrisis here: http://t.co/MP8ZYFpjll http://t.co/RBpxSWlphH","CAWaterCrisis"
