"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:49:25","RepDLamborn","My latest @dcexaminer op-Ed https://t.co/FX3QqllFIc",
"2016-09-21 ","15:30:27","RepDLamborn","Congress has a serious obligation to defend our nation. Here are 3 ways @HouseGOP is preventing future attacks: https://t.co/kEmaQjHqVx",
"2016-07-15 ","16:54:59","RepDLamborn","My statement on the #NiceAttack https://t.co/5vKtX4M7ex","NiceAttack"
"2016-07-15 ","15:13:56","RepDLamborn","On this day of sadness, we honor former Sen. Armstrong an example of public service &amp; dedication to his fellow man. https://t.co/RFuTp4FGkW",
"2016-07-05 ","17:12:21","RepDLamborn","Always a pleasure to join @securefreedom radio. We discussed terrorism and #GITMO issues Listen here: https://t.co/i5Bx5CkBAy","GITMO"
"2016-07-05 ","16:45:50","RepDLamborn","My statement on the passing of Elie Wiesel. Humanity lost so much with his passing.
https://t.co/FWa12YzmU3",
"2016-07-05 ","14:59:43","RepDLamborn","@HouseGOP has proposed #ABetterWay on tax reform. 9.1% economic growth 7.7% wage growth &amp; 28.3% investment growth https://t.co/Bh9dZThnOQ","ABetterWay"
"2016-06-10 ","21:17:22","RepDLamborn","Thanks for sharing the news about  my legislation @xroederx https://t.co/AxI7N8BiYN",
"2016-06-10 ","19:16:48","RepDLamborn","A veteran's family shouldn't be punished b/c the vet was exercising their right to use the CHOICE program more info: https://t.co/qdcAZIUdca",
"2016-06-10 ","14:48:48","RepDLamborn","I urge @SpeakerRyan to bring H.R. 986 up for a vote. Protecting our #2A rights is not optional—don’t leave our citizens defenseless! #CCW","2A CCW"
"2016-06-10 ","14:46:00","RepDLamborn","Appellate court in CA wrongly believes that your 2nd Amendment rights only apply within the walls of your own home: https://t.co/RdczC5Su1o",
"2016-02-23 ","23:30:53","RepDLamborn","Father Bill saved countless lives as an inspirational &amp; influential champion of the unborn he will be sorely missed https://t.co/JohM3TgLwI",
"2016-02-23 ","22:18:58","RepDLamborn","My statement on the President's #Guantanamo plan: https://t.co/mYFG67H2Sf","Guantanamo"
"2015-11-30 ","15:37:05","RepDLamborn","Major Boswell was a COS &amp; American hero &amp; we thank him for his service as a member of the Greatest Generation! https://t.co/D5TdYmihvz",
"2015-11-25 ","18:48:46","RepDLamborn","Please enjoy a safe and Happy Thanksgiving! https://t.co/Wv9fgarIs2",
"2015-10-29 ","14:57:43","RepDLamborn","I voted for Paul Ryan for #Speaker he has the experience, skills, &amp; leadership qualities needed to fight hard against the Obama agenda.","Speaker"
"2015-09-29 ","21:45:21","RepDLamborn","Today I voted to empower states to #DefundPlannedParenthood Learn more here: http://t.co/C8YPbVNok1","DefundPlannedParenthood"
"2015-09-29 ","16:46:29","RepDLamborn","My House Floor speech in recognition of #SuicidePreventionMonth and the horrible problem of veteran suicide https://t.co/LhLSbieCOf","SuicidePreventionMonth"
"2015-09-29 ","15:09:40","RepDLamborn","Congrats to Centennial &amp; Penrose Elementary Schools in the 5th CD on being honored as National Blue Ribbon Schools! http://t.co/B9TXHBYlPI",
"2015-07-14 ","17:53:40","RepDLamborn","@CUFI visited my office today we discussed #IranDeal &amp; I pledged to work in Congress to secure safety of our nations http://t.co/IhjoXQSKFy","IranDeal"
"2015-07-14 ","16:37:48","RepDLamborn","The #IranDeal is worse than I imagined. Please visit http://t.co/zaakO32vQm for my full statement.","IranDeal"
"2015-06-15 ","20:16:08","RepDLamborn","ICYMI: Here's my interview w/ @740KVOR @RANDALLONRADIO discussing #trade 
Listen (interview starts at 38:20 mark): http://t.co/lJoyhsbGKI","trade"
"2015-06-15 ","19:10:34","RepDLamborn","Please take a few minutes to read this important op-ed on #fracking from the @denverpost 
http://t.co/s8jeFZNGvJ","fracking"
"2015-06-15 ","17:27:39","RepDLamborn","Today is the 800th Anniversary of the #MagnaCarta I had the honor of viewing the Magna Carta w/ @BorisJohnson http://t.co/6yCdfE59gN","MagnaCarta"
"2015-06-15 ","15:37:20","RepDLamborn","Please join me in offering thoughts &amp; prayers to the family &amp; friends of Ft. Carson soldier PFC Monterrious Daniel. http://t.co/KG04KOv7cL",
"2015-06-15 ","14:42:02","RepDLamborn","9:35am MT I'll join @RANDALLONRADIO on @740KVOR to discuss #trade tune in at AM 740 KVOR or http://t.co/BshP2qZyf9 http://t.co/0Z1QjolMyW","trade"
"2015-06-09 ","19:06:03","RepDLamborn","10 months into the fight against #ISIS, POTUS still doesn't have a victory strategy. An unbelievable admission
https://t.co/pxrtWQ0N6S","ISIS"
"2015-06-09 ","14:10:01","RepDLamborn","June is Alzheimer's Awareness Month. More information on what you can do to help: http://t.co/IrPU8I2Hb5 http://t.co/NEfyc9S48w",
"2014-05-21 ","22:53:39","RepDLamborn","#FY15NDAA My amendment protecting military #religiousfreedom freedom has just passed House. My Floor Speech: https://t.co/zdWdec8lSF","FY15NDAA religiousfreedom"
"2014-05-21 ","22:17:13","RepDLamborn","#FY15NDAA Amendment debate has resumed. I have 4 more amendments that will likely be added to bill tonight http://t.co/cP67zdeBqW","FY15NDAA"
"2014-05-21 ","22:14:47","RepDLamborn","Tonight, I cosponsored &amp; voted for #VA Accountability Act. Gives authority to remove failing senior executives, I demand VA leaders use it","VA"
"2014-05-21 ","21:01:03","RepDLamborn","Pls click here to listen to this my 5/21 interview with @740KVOR  @RANDALLONRADIO Randall discussing the #VA Scandal  http://t.co/yx1kcqZPzq","VA"
"2014-05-21 ","17:31:12","RepDLamborn","In Case You Missed It: Here is my speech on the House Floor in support of the #VA Accountability Act.  https://t.co/W8EeYdpdEq","VA"
"2014-05-21 ","17:02:02","RepDLamborn","Regular House business has resumed, I'll be speaking shortly  in support of the #VA Accountability Act  http://t.co/nQmLOSFFtm","VA"
"2014-05-21 ","16:42:23","RepDLamborn","Procedural votes slowing House business. I'll let you know when I'm going to speak on #VA Accountability Watch live: http://t.co/nQmLOSFFtm","VA"
"2014-05-21 ","16:13:45","RepDLamborn","I'll be speaking on the House Floor supporting #VA Accountability Act at approximately 10:30am MT Watch live here: http://t.co/nQmLOSFFtm","VA"
"2014-05-21 ","13:44:06","RepDLamborn","MEDIA ALERT: I will be LIVE with @740KVOR @RANDALLONRADIO at 8:35am MT to discuss the #VA Scandal. Listen live at http://t.co/IQJW6AErMi","VA"
"2014-05-21 ","01:40:20","RepDLamborn","#FY15NDAA My amendment resolving that military training is a priority use for public lands just passed on House Floor","FY15NDAA"
"2014-05-21 ","01:10:43","RepDLamborn","#FY15NDAA My amendment preventing Afghan govt. from levying illegal taxes on US companies supporting our military just passed on House Floor","FY15NDAA"
