"Date","Time","screen_name","text","hashtags"
"2016-07-05 ","17:36:34","RepJeffMiller","FBI announces no charges for mishandling classified information.  The fix is in and Hillary gets another pass",
"2015-07-14 ","16:42:50","RepJeffMiller","#IranDeal is a bad deal for America and a bad deal for the future stability of the region","IranDeal"
"2015-07-14 ","16:34:10","RepJeffMiller","#IranDeal allows Iran to receive billions in sanctions relief, a handout for a country w/ record of deception and hostility to US and allies","IranDeal"
"2015-07-14 ","16:32:18","RepJeffMiller","#IranDeal does little to prevent Iran from building a nuke. It normalizes acceptance of an extensive Iranian nuclear infrastructure","IranDeal"
"2015-07-14 ","14:56:04","RepJeffMiller","@FlHospicesPC Thanks for the wonderful work you all do!",
"2015-07-14 ","13:11:06","RepJeffMiller","Thoughts and prayers for @SenBillNelson Hope your recovery is a speedy one.",
"2014-05-21 ","16:25:21","RepJeffMiller","RT@HouseVetsAffairs tells @jaketapper Phoenix VA Dir received a bonus while the IG was investigating the facility. https://t.co/vG6kWz0qnz",
"2016-07-15 ","18:38:21","AnderCrenshaw",". @USNavy Back Naval Station Mayport as East Coast forward operating base for MQ-4C TRITON. https://t.co/VEOccJIyLg",
"2016-07-15 ","12:01:25","AnderCrenshaw","America stands with France as it mourns the innocent,
peaceful lives lost to another round of devastating terrorism. #PrayForNice","PrayForNice"
"2016-02-23 ","23:06:06","AnderCrenshaw",". @JAXPORT Pressed OMB Director Donovan for answers on ports, waterways funding on Cap Hill. https://t.co/ZGo0t3SgzF https://t.co/jeKC7Ezqsr",
"2015-11-30 ","21:56:46","AnderCrenshaw","Dec. 1-7 is #Crohns &amp; #Colitis Awareness Week. Are you #IBDAware? Educate someone today. https://t.co/BpTYj8zCxV","Crohns Colitis IBDAware"
"2015-11-30 ","21:31:24","AnderCrenshaw","Nassau County residents, mark your calendars. Mobile Office Hours set for December 2 and December 15. https://t.co/NMz4lyttPN",
"2015-09-29 ","19:45:37","AnderCrenshaw","#NotOneCent in sanctions relief until victims of Iran-sponsored terrorism paid relief they are due. http://t.co/jdUinx5Hy0","NotOneCent"
