"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","11:36:03","JackKingston","Hillary calls millions of Americans deplorable &amp; unredeemable but won't call terrorists radical Isalamic extremists https://t.co/r92PBM4xz5",
"2016-09-21 ","02:12:37","JackKingston","Obama accidentally made 858 immigrants who were slated to be deported US Citizens!!! #noThirdTerm","noThirdTerm"
"2014-04-01 ","16:53:43","JackKingston","Thx, it was a pleasure! RT @BenAndrews21: Had the pleasure of meeting @JackKingston yesterday. #gapol  http://t.co/9o77b4Jwtr","gapol"
"2014-04-01 ","16:50:37","JackKingston","Discussed President's disastrous budget and need for a strong defense in 21st Century at NDIA breakfast at Robins https://t.co/iBPjRqDIzw",
"2014-04-01 ","14:25:46","JackKingston","On the House of Representatives birthday, I'm humbled by the honor to serve GA-01 https://t.co/0L1jJQsgMZ #gapol #gagop","gapol gagop"
"2013-06-05 ","12:22:28","JackKingston","ICYMI: I was on @foxandfriends this morning talking about my effort to cut the VA backlog: http://t.co/FopvyCQM0a",
"2013-06-05 ","09:20:00","JackKingston","TUNE IN: I'll be on @foxandfriends at 6:20 this morning talking my effort to combat the #veterans backlog: http://t.co/RqZbI33qR9","veterans"
"2014-04-01 ","17:42:28","PaulBrounMD","Don't Forget: Today is the deadline to turn in you pieces for the Congressional Art Competition. Click for more info http://t.co/koWeViTQ51",
"2014-04-01 ","16:01:46","PaulBrounMD","Only a mere fraction of Americans who were previously uninsured have coverage now. That's right, just 1.7% of 48.6mil http://t.co/r5YN8dkGkg",
"2014-04-01 ","13:08:35","PaulBrounMD","This #AprilFoolsDay, unfortunately the joke is on us. #Obamacare RT @Heritage http://t.co/RxtdJftMLK","AprilFoolsDay Obamacare"
"2014-02-18 ","23:54:19","PaulBrounMD","On tonight's constituent conference call. Call in to participate: 877-229-8493 pin: 14646 http://t.co/nmRqngKOZQ",
"2014-02-18 ","14:12:00","PaulBrounMD","My most recent Enewsletter discusses my opposition 2 raising the debt ceiling. If you haven't read it yet, click here http://t.co/M3EsrBjnAs",
"2013-07-24 ","15:27:15","PaulBrounMD","Pleased to announce the House passed my amendment to HR. 2379, protecting Americans from #drone surveillance  http://t.co/XWwXKbQXRn","drone"
"2013-03-11 ","18:23:06","PaulBrounMD","Thanks 2 Brett over at The Final Say for having me on discuss the critical need to #repeal &amp; replace #Obamacare. http://t.co/WPuf7leRjb","repeal Obamacare"
"2011-01-15 ","20:48:58","PaulBrounMD","Last night, George Will gave an excellent talk about the necessity of returning to Constitutional government and... http://fb.me/yXGbtUlK",
"2011-01-14 ","19:47:05","PaulBrounMD","Dennis Prager spoke at our retreat, said ""the bigger the government the smaller the citizen"". I agree! Americans must control their lives.",
"2011-01-14 ","18:12:22","PaulBrounMD","I’m attending our Republican retreat, “Congress of Tomorrow”. I will be sharing my observations throughout the seminars and speeches.",
"2011-01-14 ","16:27:55","PaulBrounMD","The Wall Street Journal does a great job of explaining the ‘voodoo economics’ behind the CBO healthcare scoring. I... http://fb.me/BOxGysDN",
"2011-01-12 ","16:49:56","PaulBrounMD","Please check out my interview with CNBC regarding the economics behind Obamacare and our Repeal, Replace alternative. http://fb.me/QCpVheIp",
