"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:04:30","RepDavidYoung","Wonderful visiting w/ the Mahlstadts this afternoon - Our district's 2016 @CCAInstitute Angels in Adoption! https://t.co/wE9QlGE4aB #IA03 https://t.co/frp6nd56ds","IA03"
"2016-09-21 ","20:25:58","RepDavidYoung","Des Moines folks from @Argentum joined me in my Washington, D.C. office for a discussion about senior living. #IA03 https://t.co/zPhjm4OOoY","IA03"
"2016-09-21 ","17:20:22","RepDavidYoung","Chris from @experienceEPI talked about the organization &amp; his concerns about rules and regulations affecting their mission. #IA03 https://t.co/X7sqi9oyyU","IA03"
"2016-09-21 ","15:47:37","RepDavidYoung","Enjoyable meeting with @iowaskillsusa student officers from Perry High School yesterday! #IA03 @SkillsUSA https://t.co/LCbtCXQZnj","IA03"
"2016-07-15 ","22:00:32","RepDavidYoung","Iowa Legal Aid will be at IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/hiQqHYkSzH","IA03"
"2016-07-15 ","20:30:21","RepDavidYoung","Folks from @uihealthcare will join us at IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/SgiU1Hqjd5","IA03"
"2016-07-15 ","20:15:11","RepDavidYoung","Spread the word! I’m hosting Iowa Senior Wellness and Security Expos next week https://t.co/g8ukJukYwB #IA03 https://t.co/tdgas7S5FL","IA03"
"2016-07-15 ","19:09:39","RepDavidYoung","#IowansOfTheWeek are these 8 IA women to be recognized by @ISUExtension: https://t.co/HassHi4szU #IA03 https://t.co/Z2oGPzjUxR","IowansOfTheWeek IA03"
"2016-07-15 ","17:11:57","RepDavidYoung","Thanks to all who participated in this AM's telephone townhall! To sign up for future telephone townhalls, visit: https://t.co/nksiW6xNk8",
"2016-07-15 ","16:46:58","RepDavidYoung","Told Julie we must address burdensome federal gov't rules &amp; regulations creating this waste. #IA03 (2/2)","IA03"
"2016-07-15 ","16:45:48","RepDavidYoung","Julie from West Des Moines asked about food waste in schools. (1/2) #IA03","IA03"
"2016-07-15 ","16:42:27","RepDavidYoung","Discussing how I am willing to work w/ anyone in Congress to strengthen &amp; improve Social Security &amp; Medicare #telephonetownhall #IA03","telephonetownhall IA03"
"2016-07-15 ","16:39:42","RepDavidYoung","Reminding folks about services my office provides for Iowans in #IA03 &amp; in DC - learn more at my website: https://t.co/qIGepc8iWA","IA03"
"2016-07-15 ","16:27:00","RepDavidYoung","Updated Donald on the resources and information my office provides for veterans, families, and more. #IA03 (2/2)","IA03"
"2016-07-15 ","16:25:41","RepDavidYoung","Donald from Carter Lake just asked about Social Security &amp; benefits on my telephone townhall. #IA03 (1/2)","IA03"
"2016-07-15 ","16:08:25","RepDavidYoung","HAPPENING NOW: #IA03 seniors telephone townhall. Good to update folks &amp; answer their questions. https://t.co/PFajXqcyjY","IA03"
"2016-07-15 ","15:09:32","RepDavidYoung","Hosting telephone townhall for #IA03 seniors this AM to answer Qs &amp; discuss my Senior Expos! https://t.co/aGYKV7AYm8 https://t.co/k7GuvCMyYi","IA03"
"2016-07-05 ","20:57:44","RepDavidYoung","Announcing upcoming Iowa Senior Wellness &amp; Security Expos! https://t.co/g8ukJukYwB #IA03 https://t.co/XiLAi8FFBL","IA03"
"2016-07-05 ","19:13:16","RepDavidYoung","Make your voice heard! Sign up &amp; answer my 60 Second Survey – it comes out Sunday! #IA03 https://t.co/o1a0aXTDdw https://t.co/gesvJG7o7M","IA03"
"2016-06-10 ","17:39:58","RepDavidYoung","Read why Kevin is this week’s #IowanOfTheWeek in the @DMRegister: https://t.co/wT1HIKv5EO #IA03 https://t.co/JluRD7iOJg","IowanOfTheWeek IA03"
"2016-06-10 ","15:42:04","RepDavidYoung","America is failing our veterans. https://t.co/64oJ4PxSp7 #IA03 https://t.co/zXbC5nC3D2","IA03"
"2016-02-23 ","23:10:40","RepDavidYoung","Good discussion on #insurance with @Prisma_Network in my #DC office today. #IA03 https://t.co/5z7LPJMtBn","insurance DC IA03"
"2016-02-18 ","18:23:07","RepDavidYoung","Congratulations to @JohnstonCSD's Denise Ssozi for your appointment to the @AF_Academy Class of 2020! #IA03 https://t.co/I1Wml5Eus4","IA03"
"2016-02-18 ","16:15:18","RepDavidYoung","Talking w/ Mt. Ayr HS students about my experiences in #Congress &amp; happenings in #IA03. https://t.co/Ys6cDuIqcX","Congress IA03"
"2016-02-18 ","14:39:48","RepDavidYoung","On with Creston's @KSIBRadio 101.3FM &amp; 1520AM. LIVE in studio - tune in! #IA03 https://t.co/BTmgWJ6Q1S","IA03"
"2015-11-30 ","15:22:31","RepDavidYoung","November was a good month, check out a short recap from this week's newsletter: https://t.co/jKhLZQpWKu #ia03 https://t.co/XR7fiUgC9W","ia03"
