"Date","Time","screen_name","text","hashtags"
"2015-07-14 ","20:03:40","CongMikeSimpson","Congrats to @INL technology on board the @NewHorizons2015 mission to Pluto. https://t.co/RPGHeHf08v",
"2014-04-01 ","16:55:52","CongMikeSimpson","More website problems for Obamacare-House GOP will offer more solutions this week to replace these failed policies. http://t.co/t8M8oVAiK1",
"2012-12-12 ","17:42:34","CongMikeSimpson","Recent post in the Hill: http://t.co/cEiwPfHW",
"2011-01-08 ","21:22:17","CongMikeSimpson","I am deeply saddened to learn of the tragic attack on Congresswoman Giffords, her staff, and the citizens... http://fb.me/RZkgsl99",
"2011-01-07 ","19:52:11","CongMikeSimpson","Congressman Mike Simpson Lands Chairman of Interior Appropriations http://fb.me/RXEjH0kg",
"2009-11-03 ","22:37:07","CongMikeSimpson","Health Bill Costs Just Don’t Add Up http://bit.ly/25rzbG",
"2016-07-05 ","15:56:11","Raul_Labrador","We are a nation of laws not of men! Shocking decision - will further erode the people's trust in their government.  https://t.co/MGo2lNxtAc",
"2016-06-10 ","20:19:44","Raul_Labrador","Sean Duffy, Rob Bishop and Raul Labrador protect taxpayers from bailing out Puerto Rico creditors https://t.co/YewNkWNSj1 via @@LimitGovt",
"2016-06-10 ","17:06:42","Raul_Labrador","Great opportunity for Idaho high school students: Design an app and enter the @CongressionalAC. More: https://t.co/os8DuBIOfj",
"2016-02-23 ","16:56:29","Raul_Labrador","100,000 #vets stories archived @librarycongress, but 22 million US veterans with stories to tell. Learn how: https://t.co/qdbgm5JdD2","vets"
"2016-02-23 ","00:16:54","Raul_Labrador","My appearance Sunday on @KTVB's Viewpoint now available online. We talk Scalia, politics, debt and more. https://t.co/tGiQ64TLTr",
"2015-10-29 ","10:32:32","Raul_Labrador","@Idahograybeard But will vote for Ryan on the floor.",
"2015-10-29 ","10:32:04","Raul_Labrador","@Idahograybeard No - I voted for Webster.",
"2015-09-29 ","15:50:08","Raul_Labrador","Conservatives fight to keep our promises to the American people. Last night, we spoke with @seanhannity. http://t.co/PzTnP7GzmG",
"2015-07-14 ","19:24:09","Raul_Labrador","With Pastor Saeed Abedini and others still captive, it's hard to trust the Iranians in nuke deal. http://t.co/lBmpeOi81v",
"2015-07-14 ","17:50:14","Raul_Labrador","Excited to co-chair Congressional Criminal Justice and Public Safety Caucus, new bipartisan reform group. 
http://t.co/OLEZRTHr3D",
"2014-10-22 ","17:16:54","Raul_Labrador","Congrats to Idaho Forest Group and Agri Beef for awards at Trade and Business Conference.#boisetradebiz http://t.co/pH5CiXi8S7","boisetradebiz"
"2014-10-22 ","15:25:13","Raul_Labrador","The American Spectator has a long profile about my efforts to help our government solve real problems. 
http://t.co/gVdXHkmrpe",
"2014-04-01 ","18:39:56","Raul_Labrador","VIDEO: ICYMI, here is my interview with @KTVB's Mark Johnson on Viewpoint: http://t.co/leDSYX6epU",
"2014-02-18 ","18:31:05","Raul_Labrador","VIDEO: Glad @KTVB was able to cover the #Idaho Delegation reception for this year's service academy nominees: http://t.co/zMwwytKOgh","Idaho"
"2013-07-24 ","21:44:26","Raul_Labrador","I'll be voting 4 #AmashConyers amendment to stop #NSA surveillance of innocent Americans. RT to show your support! @repjustinamash","AmashConyers NSA"
"2013-07-24 ","13:54:53","Raul_Labrador","Don't forget, we have Conversations with Conservatives today, starting at 11:30 AM ET. Watch live here: http://t.co/Sa5FS3aG1U  #CWC","CWC"
"2013-06-05 ","23:59:40","Raul_Labrador","I left Group of 8 #immigration talks today; after today's meeting, framework of bill had changed in a way that I could no longer support","immigration"
"2013-06-05 ","20:09:02","Raul_Labrador","@WhiteHouse: Where incompetence gets you promoted: 1st Stephen Seok at #IRS, now  @AmbassadorRice, http://t.co/yig1pQDl4y","IRS"
"2013-06-05 ","15:37:18","Raul_Labrador","9 years ago today, one of America's greatest leaders, Ronald Reagan, passed away. Let's reflect on his vision 4 America + vow 2 protect it.",
"2013-06-05 ","15:36:34","Raul_Labrador","@UNrightswire: Iran must release #Boise pastor Saeed Abedin and do it now. RT if you agree.  http://t.co/CrjnqjgnBv 
@FreePastorSaeed","Boise"
"2013-03-11 ","19:53:19","Raul_Labrador","A new study estimates that ObamaCare will increase health insurance premiums by 65% to 100% in Idaho. http://t.co/gtEiaY2U6A",
"2016-09-21 ","13:23:02","PeterRoskam","South Barrington woman's long fight for funding cancer research, wellness https://t.co/83wsFMsGWu https://t.co/bsimf0AdyT",
"2016-07-15 ","12:38:57","PeterRoskam","I'll be discussing the #Nice #France terror attack and the proposed @Boeing / #Iran sale with @JohnHowellWLS at 8:05am CT on @wlsam890","Nice France Iran"
"2016-07-05 ","23:01:04","PeterRoskam","Congrats on winning the #FBIPrimary, @HillaryClinton. https://t.co/dLUbVQVUzU https://t.co/3nssAchYRy","FBIPrimary"
"2016-07-05 ","22:51:04","PeterRoskam","A politicized Justice Department, just like a politicized IRS, undermines the founding principles of our country.",
"2016-07-05 ","22:50:17","PeterRoskam","In the US, the nation’s top law enforcement officer should not chat privately with your husband while you’re under criminal investigation.",
"2016-07-05 ","22:49:02","PeterRoskam","In countries like Russia, the justice you receive depends on your last name or your family’s relationship with those in power.",
"2016-07-05 ","22:47:55","PeterRoskam","She said “I provided the department, which has been providing you, with all of my work-related e-mails, all that I had” – that was a lie.",
"2016-07-05 ","22:47:37","PeterRoskam","She said “[t]here was nothing marked classified on my e-mails, either sent or received” – that was a lie.",
"2016-07-05 ","22:46:57","PeterRoskam","We now know @HillaryClinton lied to me and the American people, under oath, when she testified before before @HouseBenghazi",
"2016-07-05 ","22:46:22","PeterRoskam","We now know @HillaryClinton sent and received more than 100 emails that were classified at the time they were sent.",
"2016-07-05 ","22:46:04","PeterRoskam","We now know @HillaryClinton failed to turn over thousands of work-related emails.",
"2016-07-05 ","22:45:27","PeterRoskam","Today’s #FBI findings are a damning indictment of @HillaryClinton. https://t.co/dLUbVQVUzU","FBI"
"2016-07-05 ","21:30:51","PeterRoskam","House Panel to Vote on Bill Curbing IRS Civil Asset Forfeitures for Small Businesses https://t.co/lTalQvf6r5",
"2016-07-05 ","19:43:25","PeterRoskam","I'll be talking @FBI, @TheJusticeDept, and @HillaryClinton with @TeamCavuto this afternoon. Tune in to @FoxNews at 4:50 ET /  3:50 CT",
"2016-07-05 ","18:39:03","PeterRoskam","Are you following my @facebook page yet? Like https://t.co/QyAinxuTD6",
"2016-07-05 ","17:01:03","PeterRoskam","Lockheed Martin: 'Not pursuing business opportunities in Iran' https://t.co/Hn66Q6N6xl via @WAAYTV",
"2016-07-05 ","13:52:43","PeterRoskam","Roskam helps deliver Justice for IRS abuse victims https://t.co/W5yMoqImRA",
"2016-06-10 ","18:20:59","PeterRoskam","The House will be voting Tuesday on my bill to protect taxpayers and defend free speech from #IRS abuse","IRS"
"2016-06-10 ","15:49:40","PeterRoskam","Court awards #Iran’s non-diplomatic assets in Canada to terror victims in $13-million case https://t.co/5iF4VwVDyK via @nationalpost","Iran"
"2016-02-23 ","23:57:09","PeterRoskam","The @NWS has issued a winter storm warning for parts of the Chicago area. Pls exercise extra caution on the roads. https://t.co/xcmJM363FG",
"2016-02-23 ","22:57:03","PeterRoskam","I was proud to author key anti-#BDS provisions in the customs bill @SpeakerRyan signed today. https://t.co/Zv8NCKvZcj","BDS"
"2016-02-23 ","22:55:51","PeterRoskam","Make no mistake about it– this movement does not seek to steer Israel towards the negotiating table. BDS seeks to drive Israel into the sea.",
"2016-02-23 ","22:55:06","PeterRoskam","Now we’re protecting American companies doing business in Israel from the perfidious #BDS movement.","BDS"
"2016-02-23 ","22:54:42","PeterRoskam","Congress has a long and proud history of standing up to economic warfare against #Israel.","Israel"
"2016-02-23 ","22:03:12","PeterRoskam","Excited to join @SpeakerRyan to sign the new customs bill - and my anti-#BDS provisions - into law. WATCH LIVE: https://t.co/2zxNawts2o","BDS"
"2016-02-23 ","20:10:37","PeterRoskam","Here's my full statement w/ @repblumenauer &amp; @theSIDC on yesterday's @USGAO report. https://t.co/QKfSVYXWRK https://t.co/YZvwj82XGt",
"2016-02-23 ","20:07:17","PeterRoskam","Reducing fraud saves taxpayer billions of dollars, protects seniors’ identities, and improves patient care. https://t.co/QKfSVYXWRK",
"2016-02-23 ","20:06:47","PeterRoskam","I've intro'd bipartisan legislation w/ @repblumenauer to implement smart card technology like we use at the gas station or grocery store",
"2016-02-23 ","20:05:33","PeterRoskam","This @USGAO confirms what we already knew - #Medicare fraud can be prevented is by simply upgrading technology https://t.co/QKfSVYXWRK","Medicare"
"2016-02-23 ","20:04:27","PeterRoskam","#Medicare fraud, waste, and abuse are costing us a staggering one billion dollars a week.","Medicare"
"2016-02-23 ","20:03:17","PeterRoskam","Smart cards could prevent #healthcare fraud in more than 1 in 5 cases, per yesterday's @USGAO report. https://t.co/QKfSVYXWRK","healthcare"
"2016-02-18 ","21:40:32","PeterRoskam","Here's my full statement on the @NHLBlackhawks visit to the @WhiteHouse today. cc @RepBost https://t.co/vcKC73texr https://t.co/kHiNprXjwX",
"2016-02-18 ","20:10:19","PeterRoskam","Isn't that right @RepBost? #Blackhawks #RoarBacon https://t.co/4TtdbEZfwY","Blackhawks RoarBacon"
"2016-02-18 ","20:09:24","PeterRoskam","For some reason nobody could find any #RoarBacon at the ceremony. I guess you need to win a #StanleyCup before they let you choose the menu.","RoarBacon StanleyCup"
"2016-02-18 ","20:08:25","PeterRoskam","Sadly, #CarBomb couldn’t make it, though I’m glad to see he’s continuing his amazing work off the ice with the @Ch5foundation","CarBomb"
"2016-02-18 ","20:05:22","PeterRoskam","Even though we barely had #Timonen, it’s hard not to smile for a guy who won his first #StanleyCup in the final game of a 20-year career.","Timonen StanleyCup"
"2016-02-18 ","20:03:37","PeterRoskam","I even heard @shawz15er tried to head-butt his way into the Oval Office, though it was disallowed. #Blackhawks","Blackhawks"
"2016-02-18 ","20:02:17","PeterRoskam","Word is that Hjalmarsson talked to the Secret Service about blocking shots for @POTUS. #Blackhawks","Blackhawks"
"2016-02-18 ","20:00:14","PeterRoskam","#BreadMan said some really touching words, or at least that’s what @Anisimov42 tells me. #Blackhawks","BreadMan Blackhawks"
"2016-02-18 ","19:57:29","PeterRoskam","So proud of our hometown hero @SDarling_33 - Lemont is barely outside my district so I’m trying to find a way to annex his childhood home",
"2016-02-18 ","19:55:58","PeterRoskam","It’s great to see our @NHLBlackhawks at the @WhiteHouse today for the third time in six years. #StanleyCup","StanleyCup"
"2016-02-18 ","19:54:41","PeterRoskam","Today the @WhiteHouse welcomed the 2015 Stanley Cup Champion @NHLBlackhawks for a special ceremony https://t.co/XW4pFxSGjM",
"2015-10-29 ","14:57:13","PeterRoskam","@RepDavidEPrice and I just launched a new Twitter account for the House Democracy Partnership. Follow at @house_democracy.",
"2015-07-14 ","19:59:26","PeterRoskam","New #EIGIndex highlights economic distress in the U.S. and Chicago http://t.co/eKQibFRF4V. Learn more here: http://t.co/WhIdlMosfo","EIGIndex"
"2015-07-14 ","17:37:54","PeterRoskam","HAPPENING NOW: I'm live with @DLoesch discussing the Administration's #IranDeal, which paves Iran's path to a nuclear weapon.","IranDeal"
"2015-07-14 ","17:12:10","PeterRoskam","I'll be on air live with @DLoesch at 12:35pm CT to discuss why I plan to oppose this historically bad #IranDeal → http://t.co/RSmceVDUDw","IranDeal"
"2015-07-14 ","16:30:11","PeterRoskam","I plan to not only strongly oppose the #IranDeal, but urge my colleagues in the House and Senate to do the same → http://t.co/RSmceVVvv4","IranDeal"
"2015-07-14 ","16:00:18","PeterRoskam","The #IranDeal legitimizes and rewards the leading state sponsor of terrorism with international reintegration → http://t.co/RSmceVVvv4","IranDeal"
"2015-07-14 ","15:30:13","PeterRoskam","In the coming yrs, Iran will receive billions in additional sanctions relief &amp; ability to buy/sell dangerous weapons→ http://t.co/RSmceVVvv4",
"2015-07-14 ","15:00:26","PeterRoskam","The #IranDeal all but ensures Iran will become a nuclear power in our lifetime → http://t.co/RSmceVVvv4","IranDeal"
"2015-07-14 ","14:30:11","PeterRoskam","The #IranDeal marks a U-turn on economic sanctions intended to force meaningful, permanent concessions from Iran → http://t.co/RSmceVVvv4","IranDeal"
"2015-07-14 ","14:00:21","PeterRoskam","The #IranDeal marks a shift from our longstanding policy of prevention to a dangerous policy of containment → http://t.co/RSmceVVvv4","IranDeal"
"2015-07-14 ","13:40:32","PeterRoskam","I'm discussing the Iran nuclear deal and my recent trip to Georgia and Ukraine on @MorningAnswer now. LISTEN LIVE: http://t.co/6qWeQE95uh",
"2015-07-14 ","13:38:58","PeterRoskam","READ: my statement on the Obama administration's dangerous nuclear agreement on Iran → http://t.co/RSmceVDUDw",
