"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:15:03","RepDold","#RT if you think #TeamUSA athletes shouldn’t pay taxes for representing America https://t.co/nx4LrPKBRx","RT TeamUSA"
"2016-09-21 ","16:30:32","RepDold","Cost of #EpiPen prevents access to life-saving medicine. WATCH to learn what we're doing to keep families healthy: https://t.co/J7khW09GtA","EpiPen"
"2016-09-21 ","14:45:05","RepDold","#TeamUSA Olympic &amp; #Paralympic athletes shouldn’t be penalized for their success. WATCH &gt;&gt;&gt; https://t.co/nx4LrPKBRx","TeamUSA Paralympic"
"2016-07-15 ","23:00:14","RepDold","Know an exceptional #entrepreneur in the community? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","entrepreneur IL10"
"2016-07-15 ","22:00:28","RepDold","Know an amazing #educator in the community? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","educator IL10"
"2016-07-15 ","21:00:35","RepDold","Know a great advocate for #veterans in the community? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","veterans IL10"
"2016-07-15 ","20:19:02","RepDold","Passing our bipartisan bill Lali’s Law has insured increased access to life saving #naxolone.  READ MORE:  https://t.co/suwMV9kpAd","naxolone"
"2016-07-15 ","20:00:36","RepDold","Know a great young leader in the community? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","IL10"
"2016-07-15 ","19:31:06","RepDold","WATCH: Why #CARA &amp; Lali’s Law matters: https://t.co/fNrWkaTMfF","CARA"
"2016-07-15 ","19:00:41","RepDold","Know a strong advocate for the #environment? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","environment IL10"
"2016-07-15 ","18:00:41","RepDold","Want to learn more about the work we're doing for #IL10? Sign up for our newsletter! 
https://t.co/thU0tk2uev","IL10"
"2016-07-15 ","17:00:50","RepDold","Know an outstanding #community leader? Nominate them for a #IL10 Leadership Award HERE &gt;&gt;&gt; https://t.co/HACPvCQ0qc","community IL10"
"2016-07-15 ","16:31:07","RepDold","Looking for work in #IL10? Join us 7/27 in Wheeling to jump start your future! SIGN UP &gt;&gt;&gt;https://t.co/OxommEVWNU","IL10"
"2016-07-15 ","16:00:47","RepDold","We wrote Lali’s Law to save lives from #heroinaddiction.  Proud to say POTUS will soon sign into law. READ MORE: https://t.co/suwMV9kpAd","heroinaddiction"
"2016-07-15 ","13:40:20","RepDold","Our bipartisan bill Lali's Law is heading to POTUS to be signed into law: https://t.co/VqURVLj0pa #LalisLaw #IL10","LalisLaw IL10"
"2016-07-05 ","19:30:30","RepDold",".@mundelein_il police dedicate their lives to protect #IL10. We unveiled a statue to honor their sacrifices: https://t.co/3d4XgfDrwS","IL10"
"2016-07-05 ","13:19:07","RepDold","Abner Mikva dedicated his life to public service, incl. representing #IL10. My thoughts &amp; prayers are w/ his family. https://t.co/SduSjvsia5","IL10"
"2016-02-23 ","22:00:03","RepDold","Thx @RepKClark for work on Lali's Law in memory of @stevensonhs grad Alex Laliberte. Together we can save lives. https://t.co/wZUv5szxDR",
"2016-02-18 ","19:46:41","RepDold","Honored to be recognized by @Voices4Service as friend of ntl service, but real credit goes to @YouthBuildUSA et al. https://t.co/25r9cJoZgG",
"2016-02-18 ","17:54:48","RepDold","#tbt to meeting w/ @JewishWarVets. Thank you for your service! https://t.co/aanTP6NjDP https://t.co/AEWqDAhF73","tbt"
"2015-11-30 ","20:24:25","RepDold","Delay of Canada plan to store nuke waste near #GreatLakes is good decision. I'm committed to permanent solution. https://t.co/1Jyt85AZvw","GreatLakes"
