"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:34:12","RepLukeMesser","I voted to pass the #REVIEWAct today to stop fed agencies from forcing costly rules &amp; regs on hard-working Americans without review. https://t.co/FAZxQU5Bl8","REVIEWAct"
"2016-09-21 ","14:33:20","RepLukeMesser","TOMORROW @GOPpolicy will hold a hearing on empowering women in the workforce. Join via live steam https://t.co/DgHoeJegFx  #GOPWorking4Women","GOPWorking4Women"
"2016-09-21 ","13:15:59","RepLukeMesser","Watch LIVE now https://t.co/0E1SJZoIDj #bpollive https://t.co/GNNjSc6fzY","bpollive"
"2016-09-21 ","13:05:19","RepLukeMesser","Joining @bpolitics shortly to give update from Congress, key issues  https://t.co/V1Zs0Cvmgd #bpollive","bpollive"
"2016-02-23 ","20:42:49","RepLukeMesser",".@POTUS plan to close #GITMO is illegal, ignores the will of the American people and puts our national security at risk.","GITMO"
"2016-02-18 ","17:12:53","RepLukeMesser","Really enjoyed speaking on the #HouseFloor today in #Indiana.  It's always fun to visit my old stomping grounds https://t.co/xbtAQKi8Ex","HouseFloor Indiana"
"2016-02-18 ","17:11:55","RepLukeMesser","Great to visit old friends and colleagues at the #Indiana State House today https://t.co/2iT4wwEoYr","Indiana"
"2015-09-29 ","19:55:22","RepLukeMesser","Rep. Messer questions witnesses at Ed &amp; Workforce hearing on NLRB ""joint employer"" ruling effects: http://t.co/gJRVl09RgI via",
"2015-09-29 ","18:06:30","RepLukeMesser","Yesterday, we passed H.R. 1624, the Protecting Affordable Coverage for Employees Act. Here’s why I voted for it: http://t.co/XBZV91Yidf",
"2015-09-29 ","17:19:45","RepLukeMesser","Watch today's @FinancialCmte #CFPB hearing live here: http://t.co/AzrMSHTgez","CFPB"
"2015-09-29 ","13:54:41","RepLukeMesser","Tune into @GOPOversight’s hearing to investigate the use of taxpayer funding by #plannedparenthood today at 10: http://t.co/UZZvi5MELQ","plannedparenthood"
"2015-07-14 ","20:46:09","RepLukeMesser","Great to speak with Adjutant General of IN Corey Carr. Looking forward to seeing you at Muscatatuck in September! http://t.co/bBc0TjqW35",
"2015-07-14 ","11:49:57","RepLukeMesser","Getting ready to join Brian Thomas of @55KRC to discuss #IranNucleartalks listen in at 8:05","IranNucleartalks"
"2014-10-22 ","16:15:13","RepLukeMesser","RT:@StateDept says #KXL will support more jobs than there are seats @Royals stadium #WorldSeries #TimeToBuild http://t.co/xQigQhMBbD","KXL WorldSeries TimeToBuild"
"2014-10-22 ","15:09:49","RepLukeMesser","H.R. 10 would help our #charterschools grow and succeed... too bad it's #StuckInTheSenate  #charterswork http://t.co/y7QyXuHQzH","charterschools StuckInTheSenate charterswork"
"2014-05-21 ","17:30:09","RepLukeMesser","Proud to receive the AbilityOne Champion award from @Bosmaenterprise Thx 4 the wrk u do 2 improve lives of Hoosiers! http://t.co/xRxJvs9qkf",
"2013-07-24 ","14:42:34","RepLukeMesser","Yesterday I spoke on the House floor about Detroit's bankruptcy and how we have followed a different path in Indiana.
http://t.co/VLSUCyvMxA",
"2013-04-19 ","17:10:48","RepLukeMesser","Last night I had the privilege of addressing the Shelby County Academic Awards Banquet. http://t.co/UX2vguLuD1",
"2013-03-11 ","21:39:40","RepLukeMesser","Senate Dems say they are focused on raising taxes and their budget won’t balance.  GOP Budget balances in 10 years #BalanceTheBudget","BalanceTheBudget"
"2013-03-11 ","21:02:00","RepLukeMesser","For Hoosier Vets, Operation: Hire A Hoosier Vet Career Fair. Wed. April 10, 2013 10:00am - 3:00pm To apply visit: http://t.co/yyvFN0EQ4L",
