"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:37:32","RepLynnJenkins","My bill to protect rural hospitals just passed by a vote of 420 to none opposed! Read more about the legislation: https://t.co/JQ44NyHjU5",
"2016-09-21 ","17:44:28","RepLynnJenkins","National security must be a priority, not just a catchphrase. Watch my remarks about our #betterway agenda to make that happen https://t.co/7PqEp7ZQzH","betterway"
"2016-09-21 ","16:34:33","RepLynnJenkins","IMPORTANT: SE Kansans - a company has been sending scam mail asking for money - be careful! More information here: https://t.co/3vPHS2BVXp",
"2016-09-21 ","14:57:01","RepLynnJenkins","Excellent op-ed from the @nationalcouncil for Behavioral Health about why we need #MentalHealthFirstAid training: https://t.co/w5msHF3zNw","MentalHealthFirstAid"
"2016-09-21 ","13:21:13","RepLynnJenkins","I will be speaking live at 10 AM about @HouseGOP's #betterway to protect America's national security: https://t.co/PrLTGnG8xL","betterway"
"2016-07-05 ","15:34:50","RepLynnJenkins","110 emails contained classified information &amp; email account was possibly hacked. “Convenience” should never be put before national security.",
"2016-06-10 ","16:04:28","RepLynnJenkins","A Snickers ice cream bar, a choc milkshake &amp; a ticket home to KS – what more could a girl want for her birthday?! https://t.co/bNxCFLKH0i",
"2016-06-10 ","15:20:35","RepLynnJenkins",".@cathymcmorris Thanks for the bday wishes! Great pic! There's no ""udder"" job I'd rather have!",
"2016-02-23 ","22:56:27","RepLynnJenkins","Thank you to @NACBHDD for naming me a voice for #mentalhealth reform for local authorities! https://t.co/5ezEpdk8S6","mentalhealth"
"2016-02-23 ","19:53:35","RepLynnJenkins","Looking forward to seeing the @Royals take the field! #RoyalsST https://t.co/XWvzzOY8N1","RoyalsST"
"2016-02-23 ","16:30:42","RepLynnJenkins","The President’s plan to close #Gitmo is merely repackaged talking points from his seven-years-old campaign promise: https://t.co/OVCUXxcjqQ","Gitmo"
"2016-02-23 ","13:32:41","RepLynnJenkins","Obama’s incredibly shrinking chance to close Gitmo https://t.co/4c1AvIiImf via @politico",
"2016-02-18 ","21:07:05","RepLynnJenkins","Great to speak with folks at my #CoffeewithyourCongresswoman in Seneca! https://t.co/60aXeR8EwE","CoffeewithyourCongresswoman"
"2016-02-18 ","17:37:51","RepLynnJenkins","Great to see the work going on at Dr. Salazar's Cardiology practice at Lawrence Memorial Hospital! https://t.co/pWAWiOMXKl",
"2015-11-30 ","18:50:57","RepLynnJenkins","Join @RepMikePompeo &amp; I on Dec 11 in Leavenworth for a special town hall meeting on potential GTMO detainee transfer https://t.co/1njaoBGoLw",
"2015-11-25 ","23:06:19","RepLynnJenkins","The #NDAA is now the law of the land. @POTUS should drop his plans to transfer #GTMO detainees to the United States https://t.co/q0SEYdr5t6","NDAA GTMO"
"2015-11-25 ","22:36:38","RepLynnJenkins","BREAKING: The President has signed #NDAA. I'll continue to urge @POTUS to drop his plan of transferring GTMO detainees to the United States.","NDAA"
"2015-11-25 ","16:18:39","RepLynnJenkins","Great to see more than 100 Topeka businesses participating in #SmallBusinessSaturday https://t.co/Ndo0HH75qa via @CJOnline","SmallBusinessSaturday"
"2015-10-29 ","15:35:10","RepLynnJenkins","Great seat to see our new #SpeakerOfTheHouse Paul Ryan elected!! https://t.co/sudBr9W6nK","SpeakerOfTheHouse"
"2015-09-29 ","21:58:54","RepLynnJenkins","Take the extra time today to honor our veterans who protect us in foreign wars. @VFWHQ, we are grateful for your bravery &amp; service.",
"2015-09-29 ","21:58:37","RepLynnJenkins","Happy #VFWDay to our brave @VFWHQ. We appreciate your dedication &amp; service to our great nation &amp; are proud to dedicate this day to you!","VFWDay"
"2015-07-14 ","19:42:24","RepLynnJenkins","Thanks to @GOPLeader for giving great advice in life &amp; politics to 300+ interns at my #PizzaandPolitics seminar! http://t.co/bKlBXRrjG8","PizzaandPolitics"
"2015-07-14 ","16:32:47","RepLynnJenkins","Getting for #Pizza&amp;Politics w/ @GOPLeader! http://t.co/UPsB902BPy","Pizza"
"2015-07-14 ","13:52:54","RepLynnJenkins","Speaking live at 10 AM at the GOP Leadership Press Conference regarding our work to create an opportunity economy: http://t.co/uTYcUcs8yk",
"2015-06-09 ","14:40:16","RepLynnJenkins","Check out KNPN’s coverage of my recent #Coffee with your Congresswoman in Wathena! So good 2 talk w/ folks around KS https://t.co/2yWH6tM1ax","Coffee"
"2014-10-22 ","22:15:20","RepLynnJenkins","Had a great discussion &amp; tour at Crosswind Petfoods, Inc.in Sabetha this afternoon. http://t.co/mHCw5zeo3L",
