"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","13:26:37","KYComer","Campaigned at the 88 Dip in Marion early this morning with Crittenden Co Judge Perry Newcomb &amp; Rep Lynn Beckler https://t.co/aI7HLnEXEM",
"2016-06-10 ","01:43:20","KYComer","Great seeing many of my key Purchase Region organizational leaders tonight in Paducah. Thank you Paducah &amp; West KY! https://t.co/K6hTFB7dgb",
"2016-02-23 ","18:57:40","KYComer","Spoke to the Clinton Co Chamber of Commerce today about my vision for the region and how I will help as Congressman https://t.co/LGkfkf8hI2",
"2016-02-23 ","16:30:16","KYComer","Big turnout this morning in Burkesville for our Cumberland  Co organizational meeting. https://t.co/2jjzuhBEM7",
"2016-02-23 ","00:05:13","KYComer","In between meetings with biz leaders in Paducah today, I spoke to the McCracken Co Teenage Republican Society. https://t.co/XALzXXTS46",
"2015-11-25 ","21:28:58","KYComer","Met some next generation leaders from Hopkins Co today in Madisonville @NationalFFA @KYFFAAdvisor https://t.co/wuop2rMh1l",
"2015-11-25 ","15:08:17","KYComer","Spoke at the Hopkins Co Farm-City Breakfast in Madisonville to a huge crowd of family farmers &amp; biz leaders https://t.co/QASnNZGKsK",
"2015-09-29 ","16:21:56","KYComer","@judgenewcom Welcome to the great world of Twitter!  I hope you are doing well and I look forward to seeing you soon in Marion!",
"2015-07-14 ","17:59:04","KYComer","Traveled to Livingston (Rockcastle Co) today to designate the town as the first ever municipality in #KyProud. http://t.co/guY2EM3Hf8","KyProud"
"2014-10-22 ","16:20:01","KYComer","TJ &amp; I are so honored to receive the endorsement of former 2nd Dist. Congressman Ron Lewis of Elizabethtown! http://t.co/98mQ7UwaWM",
"2014-10-22 ","14:39:39","KYComer","Welcomed the KY Burley Council to the KDA this morning. Sounds like KY will have a great 2014 tobacco crop! http://t.co/pG0skyrrzZ",
"2014-10-22 ","00:19:16","KYComer","100+ tonight at our event in Elizabethtown! Thx to all the great people of Hardin Co for their support! http://t.co/hhn4e1HXTG",
"2014-05-21 ","17:53:14","KYComer","Glad to recognize @kynewsmakers (Bill Bryant) for his 30 years of service at WKYT today.  #KyProud http://t.co/7vo5SY40Ok","KyProud"
"2014-05-21 ","14:30:01","KYComer","I'll be live today at around 12:40 on Lexington WKYT Noon Show. Tune in....",
"2014-05-21 ","13:42:31","KYComer","I appreciate KDA Marketing expert Sharon Spencer for allowing me to use her farm to tape a PSA 4 2014 #FFA Convention http://t.co/nsJKSKJLLU","FFA"
"2014-02-18 ","21:40:33","KYComer","Comer unveils Appalachia Proud brand to boost agriculture in Eastern Kentucky http://t.co/6bxmQUwHRL",
"2014-02-18 ","15:25:59","KYComer","Such a packed house in Harlan Co today, Cory couldn't even get in room to take pic! #IStandWithRand http://t.co/Nh3yOzCfC3","IStandWithRand"
"2014-02-18 ","13:55:32","KYComer","Another day w Sen Paul begins. Great crowd in Corbin to hear about #AppalachiaProud &amp; Econ Freedom Zones http://t.co/Pft2jg2Su2","AppalachiaProud"
"2014-02-18 ","03:27:23","KYComer","I'll continue traveling EKY tomorrow w Sen Paul promoting #AppalachiaProud. We start in Corbin, then go to Harlan, then Pikeville.","AppalachiaProud"
"2014-02-18 ","01:55:23","KYComer","I appreciated the opportunity to speak to an energetic group of Republicans in Rockcastle Co tonight http://t.co/l1kc8up5qs",
"2016-07-05 ","20:29:43","RepAndyBarr","Just finished meeting w/ Commonwealth Council on Developmental Disabilities. Discussed my support of #ABLEAct &amp; more https://t.co/8aOtlgBI30","ABLEAct"
"2016-07-05 ","17:45:04","RepAndyBarr","Honored to help open Kentucky's first home for female veterans! Report from @LEX18News: https://t.co/pnB45UZKi4 #KY6","KY6"
"2016-02-18 ","15:52:28","RepAndyBarr","W/ @FifthThird employees in Lexington to discuss my @FinancialCmte work &amp; efforts to reduce regs on their customers https://t.co/vqqTmx2R3L",
"2015-07-14 ","17:46:50","RepAndyBarr","VIDEO: Honoring the life of Kentucky State Trooper Eric K. Chrisman of Lawrenceburg: https://t.co/8DZDB2luDf #KY6 @kystatepolice","KY6"
"2015-06-15 ","14:23:15","RepAndyBarr","June is Alzheimer’s Awareness Month – let’s spread the word. http://t.co/KQTBC5UTmD",
"2014-05-21 ","16:47:32","RepAndyBarr","The success of the 2010 Alltech FEI World Equestrian Games is undeniable. The visitors to the event generated an... http://t.co/oV6nUH0EFi",
"2014-05-21 ","12:00:03","RepAndyBarr","A member of my staff is holding mobile office hours today in Campton at the Wolfe County Courthouse, 10 Court St from 12:30-1:30PM. #KY6","KY6"
