"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","18:07:10","RepGarretGraves","...something seems to be missing.",
"2016-07-15 ","18:05:45","RepGarretGraves",".@CCALouisiana Exec Director “not surprised” by other Gulf States’ unified support of HR 3094 and asks, “What the heck is Louisiana doing?”",
"2016-07-15 ","18:03:41","RepGarretGraves","Florida Fish &amp; Wildlife Commission: “we support regional management… there's been no change in status or further discussions on it.”",
"2016-07-15 ","18:02:05","RepGarretGraves","Texas Parks &amp; Wildlife Fisheries Dept in Texas confirms Gov. Abbott’s support adding: “we don’t do the math the way” other states seem to be",
"2016-07-15 ","17:59:28","RepGarretGraves","Mississippi gov in a letter to the Speaker of the House urged passage of HR 3094, saying federal management of red snapper “not working”",
"2016-07-15 ","17:58:32","RepGarretGraves","Alabama Department of Conservation and Natural Resources: “We think state management is the best idea.”",
"2016-07-15 ","17:58:16","RepGarretGraves","Appreciate all the support for our bill to establish state management for Gulf red snapper (HR 3094)...",
"2016-07-15 ","12:11:10","RepGarretGraves","Wondering if the president is going to propose truck control now. #FranceTruckAttack","FranceTruckAttack"
"2016-07-15 ","12:05:55","RepGarretGraves","Thoughts are also with the families of some Americans we understand were also killed in the attack in #France","France"
"2016-07-15 ","12:02:53","RepGarretGraves","Praying for our friends an allies in France after yesterday's horrific attack #FranceTruckAttack #France","FranceTruckAttack France"
"2016-07-05 ","18:32:41","RepGarretGraves","""Graves Announces Historic Transportation Grant for Louisiana"" https://t.co/PuCYlhLC1y",
"2016-06-10 ","15:36:54","RepGarretGraves","Veterans deserve better and our office can help.   
https://t.co/rQOltvNq1Q https://t.co/hxtjiSDPkN",
"2016-06-10 ","15:07:13","RepGarretGraves","We have to make government work better - via @HoumaToday https://t.co/5C4YawcQlS",
"2016-06-10 ","14:44:38","RepGarretGraves","@Digital_Nash there are many learning opps for our interns, just not free chicken fingers. @OneLoveFounder https://t.co/XStLIUxhIh",
"2016-06-10 ","00:41:52","RepGarretGraves","Thank you to everyone that called in tonight! #TeleTownHall","TeleTownHall"
"2016-06-10 ","00:40:43","RepGarretGraves","Our Tele-Town Hall is wrapping up!",
"2016-06-10 ","00:38:40","RepGarretGraves","Last caller of the night is Mr. Creed #TeleTownHall","TeleTownHall"
"2016-06-10 ","00:24:00","RepGarretGraves","I do not support raising the minimum wage.  The government should not tell a business how to pay their employees.",
"2016-06-10 ","00:22:35","RepGarretGraves","Mark had a question about raising the minimum wage..",
"2016-06-10 ","00:15:22","RepGarretGraves","If you have questions, comments, or suggestions feel free to participate in our Tele Town Hall happening now!",
"2016-06-10 ","00:06:25","RepGarretGraves","We've got to provide tax relief for the middle class.",
