"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:13:04","RepAndyHarrisMD","It was great meeting Frank Underwood's COS @michaeljkellyjr on the hill today advocating for seniors. #HouseOfCards https://t.co/rgEpdfLNZI","HouseOfCards"
"2016-07-15 ","17:05:16","RepAndyHarrisMD","3 Pinocchios for @POTUS claim that it's easier for a teen to get their hands on a Glock than a book or computer. https://t.co/7Vst7e2G2w",
"2016-07-15 ","02:18:19","RepAndyHarrisMD","The attack in #Nice is sickening. My heart goes out to all of the victims &amp; their families. We must continue to stand strong with France.","Nice"
"2016-07-05 ","20:01:42","RepAndyHarrisMD","Praying for Tom &amp; his family. Hoping he makes a full recovery &amp; is able to get back on the air in the near future! https://t.co/N35jTJ2s44",
"2016-06-10 ","19:56:44","RepAndyHarrisMD","Today, we passed the legislation which will continue my pay freeze and a pay freeze for all Members of Congress. https://t.co/0iV87BBRxZ",
"2016-02-23 ","23:15:56","RepAndyHarrisMD","I'll be on @wbalradio shortly. Tune in!",
"2016-02-23 ","20:29:31","RepAndyHarrisMD","I'll be on @wbalradio talking about @POTUS and his plan to close Gitmo around 6:30 tonight. Tune in!",
"2016-02-23 ","15:19:13","RepAndyHarrisMD","President Obama is about to announce his plans to close Guantanamo Bay. Do you think this is a good decision?",
"2016-02-23 ","13:20:37","RepAndyHarrisMD","On @WGMDRadio with Mike Bradley now. Tune in!",
"2016-02-18 ","17:25:20","RepAndyHarrisMD","It is my pleasure to announce that the 2016 Congressional Art Competition is now open for submissions. --&gt; https://t.co/ALfCtw7vII",
"2015-11-30 ","22:08:32","RepAndyHarrisMD","Congrats to the Rising Sun High School Volleyball team for winning the state championship! https://t.co/f1fMZSALcb",
"2015-10-29 ","20:14:04","RepAndyHarrisMD","Overwhelming Republican Majority in House voted NO #BudgetDeal – Senate should oppose to protect Americans from irresponsibility.","BudgetDeal"
"2015-10-29 ","00:01:26","RepAndyHarrisMD","@UncleHulka6 we will be having another one next week, so make sure to register for future town halls at https://t.co/RxzgGeTMjs",
"2015-09-29 ","12:12:41","RepAndyHarrisMD","About to go on @WGMD with Mike Bradley. Tune in!",
"2015-07-14 ","18:49:49","RepAndyHarrisMD","I spoke with @BryanNehman this morning on @wbalradio about the Iran deal. If you missed it you can listen here --&gt; http://t.co/dg3lMG7x9H",
"2015-07-14 ","11:09:25","RepAndyHarrisMD","Going to be on @wbalradio around 7:35 make sure to tune in!",
"2015-06-15 ","21:06:05","RepAndyHarrisMD","Congrats to Harford Community College for being named a
National Center of Academic Excellence in Cyber Defense Education!",
"2015-06-09 ","14:29:34","RepAndyHarrisMD","Congrats again to YeJin, Madison, and Garrett for placing in the Congressional Art Competition! http://t.co/HTwvWCEv83",
"2014-05-21 ","21:17:45","RepAndyHarrisMD","Joining ""Mornings on the Mall w/ Brian &amp; Larry"" tmrw at 8:35 am to talk #VAScandal and today’s vote on VA Accountability Act. @WMALMornings","VAScandal"
"2014-05-21 ","18:21:44","RepAndyHarrisMD","@NancyPelosi announced 5 Dem members of #BenghaziSelectCommittee: Elijah Cummings, Adam Smith, Adam Schiff, Linda Sanchez &amp; Tammy Duckworth.","BenghaziSelectCommittee"
"2014-05-21 ","15:19:24","RepAndyHarrisMD","@rcrockett Those are not mutually exclusive.  We can punish those responsible and make sure vets get treatments now.",
"2014-05-21 ","15:13:02","RepAndyHarrisMD","Pres. Obama says he will not stand for these actions in the VA but does not say what punishments will be for those who did. #emptythreats","emptythreats"
"2014-05-21 ","15:05:54","RepAndyHarrisMD","Pres Obama is saying nothing new. Veterans deserve accountability today not when investigations can be swept under the rug.",
"2014-05-21 ","14:15:26","RepAndyHarrisMD","#VeteransAffairs Accountability Act is necessary. Our veterans deserve the best; now is the time to see they get it! http://t.co/CnjXrmKjS3","VeteransAffairs"
"2014-05-21 ","13:27:56","RepAndyHarrisMD","Selfie of Blue Angel during yesterday's practice session, courtesy of the Annapolis mayor @VotePantelides. #annapolis http://t.co/4KGWVKA610","annapolis"
"2014-04-01 ","22:33:50","RepAndyHarrisMD","Joining Bloomberg host Trish Regan on ""Street Smart"" tmrw at 4:15 pm to discuss dangers of marijuana legalization @trish_regan @BloombergTV",
"2014-04-01 ","21:59:31","RepAndyHarrisMD","I'll be joining WBAL Radio's @C4Show tomorrow morning at 10:05 to talk about the Maryland health exchange board's vote. @wbalradio",
"2014-04-01 ","21:22:01","RepAndyHarrisMD","Joining Tony Perkins @tperkins on FRC Radio @FRCAction at 5:32 p.m. this afternoon. Listen live at http://t.co/OoDVlHyS82!",
"2014-04-01 ","14:17:24","RepAndyHarrisMD","My op-ed in today's @baltimoresun on why any steps toward legalizing marijuana will endanger our youth:
http://t.co/ZhRNFvtB6B",
"2014-04-01 ","14:10:10","RepAndyHarrisMD","Joining Tom Marr on @WCBM680 right now.  Tune in here: http://t.co/lZHlJUz5pI",
"2014-04-01 ","13:28:15","RepAndyHarrisMD","Joining Fox News' @BillHemmer on @AmericaNewsroom at 9:38 a.m. to talk about the fate of the Maryland health exchange.",
"2014-02-18 ","14:30:12","RepAndyHarrisMD","Will be calling in to Delmarva's @wboc (WBOC-TV 16/FOX 21) at 7:30 a.m. tomorrow to talk ACA and MD Health Exchange.",
"2013-09-14 ","12:45:36","RepAndyHarrisMD","I wrote the drug manufacturer this week to get answers. We must be prepared for any such attack especially now http://t.co/phIxD3uVDQ",
"2013-09-14 ","12:41:59","RepAndyHarrisMD","The drug used to protect against sarin gas, like what was used in Syria, has manufacturing issues in the US http://t.co/phIxD3uVDQ",
"2013-07-24 ","23:56:31","RepAndyHarrisMD","For those who have been asking me, I voted in favor of the @repjustinamash amendment tonight even though it was defeated.",
"2013-07-24 ","22:00:03","RepAndyHarrisMD","Jobs programs like the #KeystoneXL Pipeline should take precedence over foreign aid http://t.co/xG2TKFTUWN ReTweet if you agree","KeystoneXL"
"2013-07-24 ","17:54:31","RepAndyHarrisMD","How is Obamacare #ABetterBargain for Marylanders? http://t.co/GF49GHzaGb http://t.co/5aut2KaAWm","ABetterBargain"
"2013-07-24 ","17:35:05","RepAndyHarrisMD","really? http://t.co/GF49GHzaGb MT @Sebelius President: Biz creating twice as many jobs w/ Obamacare in this recovery, than in last recovery",
"2013-07-24 ","15:30:30","RepAndyHarrisMD","Today the President will make another ""pivot speech"" to focus on jobs. A lot has changed since his first speech... http://t.co/eHyC8kpo4T",
"2013-06-05 ","18:50:36","RepAndyHarrisMD","Here's my interview w/ @AndyParksTWT on Sec @Sebelius raising $ to promote Obamacare. It's an abuse of power. http://t.co/UrxFAW7cZB",
"2013-06-05 ","16:54:07","RepAndyHarrisMD","Much deserved recognition by the White House for the Super Bowl champion Ravens this afternoon http://t.co/l82zWzuPbK via @Ravens",
"2013-06-05 ","14:56:29","RepAndyHarrisMD","@C4Show I signed the letter raising questions about the IRS targeting in April of 2012 as well. @RepMcClintock is a great colleague!",
"2013-06-05 ","14:44:54","RepAndyHarrisMD","I'll be on w/ @AndyParksTWT @ 11:20am re @Sebelius claims that she can raise $ from anybody for O-care. Listen &gt;&gt; http://t.co/SIGwdmDljb",
"2013-03-11 ","17:09:52","RepAndyHarrisMD","I'm on now w/ @C4Show Listen in at 1090 AM or online here http://t.co/u3gcC8wzrj",
"2013-03-11 ","16:02:57","RepAndyHarrisMD","I'll be chatting w/ @C4Show @ 1PM about my hearing vid that's at ~88 views &amp; the House Repub budget. Listen here http://t.co/u3gcC8wzrj",
