"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","23:02:03","RepPoliquin","WATCH: I speak on House floor in support of financial transparency for #Iran:
https://t.co/zQddYFmahV

The bill passed 282-143

#mepolitics","Iran mepolitics"
"2016-09-21 ","22:38:18","RepPoliquin","Proud my #Iran finance transparency bill passed w/ broad, bipartisan support: https://t.co/c2wSLe94mj #mepolitics","Iran mepolitics"
"2016-09-21 ","19:42:35","RepPoliquin","TODAY: Congress is voting on my bill to reveal Iran’s regime finances #mepolitics","mepolitics"
"2016-07-15 ","00:07:47","RepPoliquin","Terrible &amp; disturbing news from France. Our hearts go out to everyone affected",
"2016-07-05 ","22:34:07","RepPoliquin","Alarming findings from FBI today on Sec. Clinton. My full statement: https://t.co/4jdQ9JzU90 #mepolitics","mepolitics"
"2016-07-05 ","21:58:22","RepPoliquin","My full statement on the FBI’s findings today of former Sec. Clinton’s email violations: https://t.co/4jdQ9JRvxA #mepolitics","mepolitics"
"2016-02-23 ","17:31:09","RepPoliquin","The President’s plan to close #Gitmo is dangerous and illegal. https://t.co/QSUuTkgZER #mepolitics","Gitmo mepolitics"
"2016-02-18 ","20:39:31","RepPoliquin","My new bill will provide better access to electricity for Maine’s rural communities, seniors &amp; families: https://t.co/G9gO2vzamz #mepolitics","mepolitics"
"2015-11-30 ","23:59:58","RepPoliquin","Today, I introduced a bill to require state and local approval for national monument designations. https://t.co/0hQfDioFO2 #mepolitics","mepolitics"
"2015-10-29 ","15:07:32","RepPoliquin","My statement on @SpeakerRyan - https://t.co/fdJUu0ze0c #mepolitics","mepolitics"
"2015-09-29 ","15:27:37","RepPoliquin","Congrats to Minot Consolidated School on earning the @usedgov National Blue Ribbon School award! http://t.co/Ye9VmEwFqS #mepolitics #ME02","mepolitics ME02"
"2015-09-29 ","14:01:38","RepPoliquin","It’s great to see the Economic Development Administration is making such a strong commitment to #ME02 - http://t.co/KEYrPVFghT #mepolitics","ME02 mepolitics"
"2015-09-29 ","12:54:41","RepPoliquin","Happy #VFWDay to all of our Veterans! http://t.co/zxHakF4tUf #ME02 #mepolitics @VFWHQ http://t.co/6JpUh3Jcrr","VFWDay ME02 mepolitics"
"2015-07-14 ","23:51:05","RepPoliquin","A great education can help lead to more opportunities and more freedoms - http://t.co/u0bRZVDZbK #mepolitics #ME02","mepolitics ME02"
"2015-07-14 ","20:21:03","RepPoliquin","Wrapped up an interview with @WMTW on the #IranDeal. Be sure to tune in tonight. #mepolitics http://t.co/5gmHFeNxyT","IranDeal mepolitics"
"2015-07-14 ","15:14:15","RepPoliquin","Tune in to @FinancialCmte hearing - Fed Oversight: Lack of Transparency and Accountability - here: http://t.co/IxS93sNpu0 #mepolitics","mepolitics"
"2015-07-14 ","14:32:52","RepPoliquin","I remain committed in standing strong with Israel - http://t.co/eVfzIeKVRt #mepolitics #IranDeal","mepolitics IranDeal"
"2015-07-14 ","14:04:06","RepPoliquin","Be sure to read my view here - http://t.co/eVfzIeKVRt #mepolitics https://t.co/6LWHYax8xn","mepolitics"
"2015-07-14 ","13:53:35","RepPoliquin","I will not support any deal that leads to the likelihood of nuclear weapons for Iran – ever. http://t.co/eVfzIeKVRt #mepolitics #IranDeal","mepolitics IranDeal"
"2015-06-15 ","13:17:31","RepPoliquin","Happy National #LobsterDay Mainers! #mepolitics http://t.co/WcpFRi2hIO","LobsterDay mepolitics"
"2015-06-09 ","15:04:36","RepPoliquin","Happy National #StrawberryRhubarbPieDay! If you're in Houlton, stop by the Elm Tree Diner for a slice. #mepolitics http://t.co/RBThzmdtsZ","StrawberryRhubarbPieDay mepolitics"
