"Date","Time","screen_name","text","hashtags"
"2015-10-29 ","16:02:01","RepMoolenaar","Congratulations, @SpeakerRyan! I look forward to working with you! https://t.co/OKZt7ultmC",
"2015-09-29 ","21:44:54","RepMoolenaar","Thanks to Dr. Buhler of @michiganstateu for accepting my invitation and testifying today! https://t.co/eQWCD8afOK",
"2015-09-29 ","20:45:31","RepMoolenaar","Thanks for coming by today! https://t.co/88FDhC3Ee1",
"2015-09-29 ","20:44:40","RepMoolenaar","Happy #NationalCoffeeDay! Hope you enjoyed your favorite cup of joe today! http://t.co/R9LncLt0Co","NationalCoffeeDay"
"2015-06-15 ","23:20:59","RepMoolenaar","Back home in Michigan, Amir’s father is gravely ill. He deserves to see his son again. Iran must #FreeAmirNow. http://t.co/vJSkvvre20","FreeAmirNow"
"2015-06-15 ","23:19:30","RepMoolenaar","Iran must also provide the United States with all the information it has on other Americans who have gone missing in Iran. #FreeAmirNow","FreeAmirNow"
"2015-06-15 ","23:19:17","RepMoolenaar","Today, the House unanamiously passed House Resolution 233 calling on Iran to #FreeAmirNow and other American prisoners.","FreeAmirNow"
"2015-06-15 ","23:17:03","RepMoolenaar","Amir is a MI resident &amp; he served our country as a Marine. Iran has imprisoned him since August of 2011. #FreeAmirNow http://t.co/ONGnV4dpiE","FreeAmirNow"
"2015-06-15 ","23:12:55","RepMoolenaar","I was honored to meet her and to introduce her to other representatives, including @GOPLeader, during her time in Washington. #FreeAmirNow","FreeAmirNow"
"2015-06-15 ","23:12:01","RepMoolenaar","In April, @RepDanKildee introduced me to Amir Hekmati’s sister, Sarah, &amp; I heard Amir’s inspiring story. #FreeAmirNow http://t.co/ueDQBMZ2ik","FreeAmirNow"
"2016-06-10 ","14:01:39","repdavetrott","Very sad to learn of the passing of Detroit legend Gordie Howe. https://t.co/8qvKoSMXCZ",
"2016-02-18 ","15:13:53","repdavetrott","Ouch → Americans against #IranDeal by 2-1 margin. #BadDeal https://t.co/HYADqn8Ql6","IranDeal BadDeal"
"2015-09-29 ","16:37:57","repdavetrott","Check it out → My column in @chaldeannews #MI11 http://t.co/kdGe8K7myo","MI11"
"2015-07-14 ","14:22:15","repdavetrott","President's #IranDeal is a mistake. http://t.co/NkuJmaCGgq   https://t.co/YYTVQE8Xlj","IranDeal"
"2016-09-21 ","17:48:16","justinamash","https://t.co/fTDChWGvLl https://t.co/SR0v5Xe6Od",
"2016-09-21 ","17:18:09","justinamash","'Member when passing a ""clean"" spending bill to avoid a shutdown was supposedly a moral imperative for the president and Democratic leaders?",
"2016-09-21 ","14:45:32","justinamash","It's a great time of year to visit us in Grand Rapids! #ArtPrize8 https://t.co/85kzdzYJzk","ArtPrize8"
"2016-07-15 ","03:31:44","RepHuizenga","What a horrible tragedy (and likely terrorist attack) that has hit our friends and allies in #NiceFrance. Praying for all of the victims.","NiceFrance"
"2016-06-10 ","14:40:47","RepHuizenga","Gordie Howe made the game come alive for fans around the globe. Thank you for all the memories Mr. Hockey! #9RIP https://t.co/rMo1vxf38M","9RIP"
"2016-02-23 ","13:14:11","RepHuizenga","@SpeakerRyan doing a great job on @SquawkCNBC laying out the House Republican vision. ""We as conservatives need to unify"". Amen!",
"2016-02-18 ","22:09:57","RepHuizenga","Great #PureMichigan news! The @SSBadgerFerry has been named a National Historic Landmark! https://t.co/gjMFy5UToM https://t.co/XTMpZjkXAS","PureMichigan"
"2016-02-18 ","17:31:36","RepHuizenga","great story in the @HollandSentinel - Holland woman tracking down Dutch family who took in her father during #WWII https://t.co/t4HCsYvblI","WWII"
"2015-11-25 ","16:50:18","RepHuizenga","@rtfJim my pleasure Jim. It was a great discussion!",
"2015-11-25 ","14:44:22","RepHuizenga","WATCH: Great video from @GOPLeader detailing how Democrats are questioning President Obama's strategy on ISIS https://t.co/nwXykSPXgK #tcot","tcot"
"2015-10-29 ","18:04:29","RepHuizenga","Thrilled to vote for my friend @SpeakerRyan today! He will do a phenomenal job as we advance freedom and prosperity! https://t.co/R6QZ4HZ6bT",
"2015-10-29 ","01:10:38","RepHuizenga","And now for the important part... The check presentation to the Cap Hill Police fund for $5K! @congFB https://t.co/6PQIporc2X",
"2015-10-29 ","00:55:40","RepHuizenga","Let's say I probably cannot not match your NFL career, Mitch! But it was fun and for charity! @CongFBGame  https://t.co/gvNS8BeIzY",
"2015-10-29 ","00:40:10","RepHuizenga","So I'm not the only one injured... Former pro, Billy McMullen has his hand wrapped after splitting it open on a @RepDold pass. @CongFBGame",
"2015-10-29 ","00:31:50","RepHuizenga","OK, injury update... Left calf strain as I was rushing the passer. It is always bad when you hear a ""pop"".  https://t.co/ZdVxbfUxlW",
"2015-07-14 ","02:09:25","RepHuizenga","Fantastic @ussoccer_wnt video of the @SInow covers featuring the #USWNT #WorldCupChamps https://t.co/tpFjBFqIih  #TeamUSA","USWNT WorldCupChamps TeamUSA"
"2015-07-14 ","01:39:23","RepHuizenga","Be sure to follow me on @instagram to get a behind the scenes look at my work  in #WestMI &amp; Washington #tcot http://t.co/ELifefVPTm","WestMI tcot"
"2015-06-15 ","22:42:24","RepHuizenga","#MadeInMichigan gets a bump as Ranir brings jobs back to Kentwood http://t.co/MqfqVvb10p #WestMI #4jobs","MadeInMichigan WestMI 4jobs"
"2015-06-09 ","19:07:24","RepHuizenga","Incredible that Senate D's are calling 4 a budget summit when they have failed to pass a budget how many times?http://t.co/FVRqKZiEwY #tcot","tcot"
"2015-06-09 ","13:32:54","RepHuizenga","Thanks for having me on today Frank! Always a lively convo... But I wish you weren't so shy w your opinions! @fbtalk http://t.co/CofYyF5Mm5",
"2015-06-09 ","13:17:33","RepHuizenga","Frank Beckman peeks from behind the mic as we start our interview on @WJR. http://t.co/d2Ee07tjgr",
"2014-10-22 ","15:02:20","RepHuizenga","Our thoughts and prayers are with our friends in Canada. We are all hoping no one was seriously injured.  http://t.co/Eb6CliTrvI",
"2014-10-22 ","00:31:50","RepHuizenga","At Holland Area Right to Life dinner w Ryan Bomberger who is sharing an amazing story of adoption into a family of 13 kids! @lifehaspurpose",
"2014-05-21 ","20:28:18","RepHuizenga","VIDEO: Private investment in Detroit is critical to the city's future. Glad to see @JPMorgan @Chase #InvestinDetroit http://t.co/ZgD9H9DEmp","InvestinDetroit"
"2014-05-21 ","17:56:57","RepHuizenga","Had a great time this AM at @the_uso Service Project  helping assemble Warrior Care Packs for our troops http://t.co/4MySGuNLym #USOmoments","USOmoments"
"2014-05-21 ","15:33:46","RepHuizenga","Glad to see a bipartisan/bicameral #SKILLSAct agreement has been reached. Today's workforce requires a modern jobs training system #tcot","SKILLSAct tcot"
"2014-05-21 ","00:51:39","RepHuizenga","Thanks for the follow @TazWZZM. hope all is well at @wzzm13",
"2014-04-01 ","18:12:09","RepHuizenga","RT @RepFredUpton: NOW: #SubOversight begins hearing on #GMrecall. WATCH LIVE: http://t.co/f4zWhMF9iX","SubOversight GMrecall"
"2014-04-01 ","18:00:59","RepHuizenga",".@WOODTV - free student heart screening set for April 23 in Muskegon - Get checked out #SaveALife http://t.co/hvIunJEjmS #HealthyHeart","SaveALife HealthyHeart"
