"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:25:48","repjohnkline","Our greatest heroes are coming to MN next month for @MOHTwinCities. #MedalOfHonor #HonorOurHeroesMN2016 https://t.co/N7VqF9oK5E","MedalOfHonor HonorOurHeroesMN2016"
"2016-02-23 ","16:24:32","repjohnkline","Transferring known terrorists to U.S. soil is dangerous. I will continue to fight against such a move that would weaken our nat'l security.",
"2015-11-30 ","20:02:14","repjohnkline","In @WSJ: No Child Left Behind Successor is ""largest devolution of federal control to the states in quarter-century."" https://t.co/W91PVD7QbN",
"2015-11-25 ","17:45:07","repjohnkline","Wishing America's heroes serving around the globe, our sons &amp; daughters in uniform, a happy and safe Thanksgiving. We are grateful for you!",
"2015-10-29 ","15:50:36","repjohnkline","My friend @SpeakerRyan is a visionary leader &amp; champion of commonsense reform that will help restore opportunity &amp; prosperity families need.",
"2015-10-29 ","14:28:19","repjohnkline","Championing opportunity for all Americans. https://t.co/j3AAk1MA9q",
"2015-09-29 ","20:08:28","repjohnkline","Sunday was Gold Star Mother's Day to honor sacrifices of these moms. I appreciated the chance to get American flags for MN Gold Star Moms.",
"2015-07-14 ","14:39:58","repjohnkline","I'll be reviewing the agreement, but no deal is better than a bad deal &amp; I won't support a deal bad for Americans. http://t.co/cMQ3zW9gJ9",
"2015-06-15 ","20:34:38","repjohnkline","A lot of misinformation on TPA and TPP is circulating. Check out this important CATO doc to sort myth v fact: http://t.co/j3eRvJOJs3",
"2015-06-09 ","00:33:06","repjohnkline","Great conversation tonight. Nice to hear from so many Minnesotans. #KlineTTH","KlineTTH"
"2015-06-09 ","00:26:43","repjohnkline","Lakeville resident wants America to return to an education system with local control. #KlineTTH","KlineTTH"
"2015-06-09 ","00:22:28","repjohnkline","Eagan woman concerned about water quality of individual communities in metro area. #KlineTTH","KlineTTH"
"2015-06-09 ","00:13:51","repjohnkline","West St. Paul man calls #ObamaCare costs ""absurd"" and concerned about President's over-reach. #KlineTTH","ObamaCare KlineTTH"
"2015-06-09 ","00:11:51","repjohnkline","TTH Survey results: No. 1 source for news? TV - 45%; Newspaper - 20%; Radio - 18%; Internet - 15%; Twitter/Facebook - 1%. KlineTTH",
"2015-06-09 ","00:07:08","repjohnkline","TTH Survey question: What's your no. 1 source for news? TV; Radio; Newspaper; Internet; Twitter/Facebook; or other. #KlineTTH","KlineTTH"
"2015-06-09 ","00:02:23","repjohnkline","West St. Paul woman and husband have 4 children &amp; are saving money for college but still concerned about rising cost of college. #KlineTTH","KlineTTH"
"2014-10-22 ","00:17:44","repjohnkline","I enjoyed my visit today @WernerElectric in Cottage Grove. Nice facility from another #MNCD2 job creator. http://t.co/5v73mW0xIE","MNCD2"
"2014-05-21 ","13:52:18","repjohnkline","Our Veterans deserve better. My op-ed: http://t.co/xOzvYGaYEZ http://t.co/8I2L7FliO4",
"2014-04-01 ","23:59:52","repjohnkline","Eagan resident wants #ObamaCare to be fixed. #KlineTTH","ObamaCare KlineTTH"
"2014-04-01 ","23:45:37","repjohnkline","About to start a #KlineTTH with thousands of constituents. Looking fwd to hearing from them! Staff will live-tweet.","KlineTTH"
"2013-04-19 ","15:26:04","repjohnkline","Enjoying coffee with @tomscheck @RachelSB and @Stowydad at Key's Cafe in St. Paul. #stribpol #polanimal #mnleg #mncd2","stribpol polanimal mnleg mncd2"
"2013-03-11 ","22:59:49","repjohnkline","Looking fwd to hosting the 7th annual #StaroftheNorth ceremony honoring Minnesotans' acts of kindness. #stribpol http://t.co/mIiJssymdG","StaroftheNorth stribpol"
"2013-03-11 ","12:26:01","repjohnkline","Tune into @wccoradio where I will be joining Dave Lee momentarily. #mnleg #mncd2","mnleg mncd2"
"2012-08-03 ","16:53:51","repjohnkline","My reaction to today's disappointing #4jobs report &amp; a 'very scary tax environment.' http://t.co/rs4NHrrz #StoptheTaxHike #stribpol @mncd2","4jobs StoptheTaxHike stribpol"
"2012-08-03 ","16:08:55","repjohnkline","Jobless rate is 8.3% ""discouraged workers"" (CNN); ""slow recovery"" (USA Today); ""not enough to satisfy 12.8 mil unemployed Americans."" (AP)",
"2016-07-15 ","18:15:45","RepErikPaulsen","In this week's Correspondence Corner, I talk about improving FAFSA and higher education transparency https://t.co/Wn5c6ddA1i #MN03","MN03"
"2016-07-15 ","17:08:30","RepErikPaulsen","Welcome back to Minnesota, @colea45! Looking forward to seeing you on the #Twolves next season    https://t.co/rRg9m32f1M","Twolves"
"2016-07-15 ","15:24:34","RepErikPaulsen","We stand with the people of #France after yesterday's attack in #Nice. My deepest sympathies to the families and loved ones of the victims","France Nice"
"2016-07-05 ","19:53:38","RepErikPaulsen","My anti-sex trafficking bill works to combat this horrible practice. Today's Strib editorial highlights MN's efforts https://t.co/lgQEinLFo8",
"2016-07-05 ","00:03:01","RepErikPaulsen","To everyone in Minnesota, and across the entire country, enjoy the #IndependenceDay fireworks tonight!","IndependenceDay"
"2016-06-10 ","20:33:27","RepErikPaulsen","Excited to see Britt Hulne from Maple Grove High School have her painting, Samuel, on display at the @uscapitol https://t.co/EYMZsGvwYl",
"2016-06-10 ","17:43:26","RepErikPaulsen","Be sure to check out my remarks to the Nobel Peace Prize Forum from on the need to combat sex trafficking.

https://t.co/RFcRB46JeW",
"2015-11-30 ","20:00:57","RepErikPaulsen","Read my piece on adoption, foster care, and protecting the vulnerable from trafficking for #NationalAdoptionMonth. https://t.co/Lg21nW25xZ","NationalAdoptionMonth"
"2015-10-29 ","17:28:25","RepErikPaulsen","Also, thank you to @SpeakerBoehner for his years of service and leadership. https://t.co/21GFymnNIp",
"2015-10-29 ","17:04:49","RepErikPaulsen","I'll try not to hold his Packers fandom against him. (2/2)",
"2015-10-29 ","17:01:38","RepErikPaulsen","Congrats to my friend, @SpeakerRyan. He is the right person at the right time to lead the House. (1/2) https://t.co/2TehK6SE2N",
"2015-09-29 ","22:18:52","RepErikPaulsen","#Notonecent to Iran until they pay the victims of their terror. $43 billion still needs to be paid.  http://t.co/mRw3s7u0m5","Notonecent"
"2015-07-14 ","22:50:25","RepErikPaulsen","Very happy the Hse is voting on the Steve Gleason Act tmrw to protect access to speech generating devices. @TeamGleason is a great advocate.",
"2015-07-14 ","20:43:48","RepErikPaulsen","When votes are called, it's time to go! #hustle #workout #takingcareofbusiness @ United States Capitol https://t.co/07cu1Dlcp3","hustle workout takingcareofbusiness"
"2015-07-14 ","18:40:29","RepErikPaulsen","Students at our Bureau of Indian Education schools deserve better than the deplorable conditions they… https://t.co/sZkZ9oIRCw",
"2015-07-14 ","16:21:26","RepErikPaulsen","Read my statement in response to the Administration's announcement of an agreement with #Iran: http://t.co/ok8IWvNfGV","Iran"
"2015-06-09 ","18:19:15","RepErikPaulsen","Debunking Top 9 Myths About #Trade: http://t.co/0scDfpjqno. Excellent piece by @scottlincicome on #TPA4USjobs","Trade TPA4USjobs"
"2014-10-22 ","22:53:59","RepErikPaulsen","Spoke with @10News in San Diego about the need for @US_FDA to approve a MenB vaccine that can save lives. http://t.co/kdZ0R6vVa2",
"2014-10-22 ","21:25:33","RepErikPaulsen","Heartbroken to hear of the death of SDSU student Sara Stelzer from MenB. The @US_FDA can drag its feet no longer: http://t.co/ENcGK6eGRu",
"2014-10-22 ","20:56:05","RepErikPaulsen","Ribbon cutting for another important transportation project in Rogers - 101/144 interchange http://t.co/EUn1b9bdE0",
"2014-10-22 ","18:08:14","RepErikPaulsen","Thoughts with those in Ottawa and throughout Canada today. Praying for the family of the soldier who gave his life in the line of duty.",
"2014-05-21 ","23:17:32","RepErikPaulsen","VA leadership needs accountability for the mistreatment of our vets. The House took action today to fix the problem: http://t.co/ovIulbMdAO",
"2014-05-21 ","02:55:03","RepErikPaulsen","Great to hear that Super Bowl LII will be held in Minnesota! #Vikingshomegame?","Vikingshomegame"
"2014-05-21 ","00:36:41","RepErikPaulsen","Talking with the media about the passage of my bill, the Stop Exploitation Through Trafficking Act http://t.co/xbFCQKSjTq",
"2014-04-01 ","18:43:09","RepErikPaulsen","Congrats to http://t.co/6Qsf20rBhd 2014 Military Employer of the Year Finalist @xcelenergy. Great seeing companies that hire our veterans!",
"2014-04-01 ","15:00:29","RepErikPaulsen","Listen to my interview this morning with @WCCO's @RadioDaveLee about the STEM comp. and my anti-sex trafficking work.http://t.co/PdwxUsQXd5",
"2014-02-18 ","22:29:17","RepErikPaulsen","Great roundtable w/ volunteers and families of volunteers who have served communities abroad via @PeaceCorps http://t.co/fT7ssQsXVs",
"2014-02-18 ","18:54:22","RepErikPaulsen","10% of respondents to @AdvaMedUpdate survey say they have relocated or expanded manufacturing abroad due to medical device tax.",
"2014-02-18 ","18:52:35","RepErikPaulsen","New @AdvaMedUpdate survey shows 1/3 of med tech companies have cut R&amp;D, and 14k jobs have been cut as a direct result of the device tax.",
"2014-02-18 ","18:06:28","RepErikPaulsen","Just attended a Naturalization Ceremony where 444 people from 79 countries became American citizens. Inspirational. http://t.co/58wng4AfRH",
"2014-02-18 ","16:34:57","RepErikPaulsen","Good time at Normandale Hills. Students are visiting DC this spring so I brought them gallery passes. cc @District271 http://t.co/sEIZnxocfJ",
"2013-07-24 ","21:37:55","RepErikPaulsen","Congrats to Minnesota @Twins Star Joe Mauer &amp; his wife Maddie on their twin girls! #MN03 #stribpol #TwinsBaseball #JoeMauer","MN03 stribpol TwinsBaseball JoeMauer"
"2013-07-24 ","13:35:56","RepErikPaulsen","READ via @MarineTimes: proud co-sponsor of @repjohnkline's bill to protect our service members from sexual assault. http://t.co/thNhMYUt27",
"2013-07-24 ","13:26:09","RepErikPaulsen","Time to ""Dump Medical Device Tax"" http://t.co/qJr4WNEFj2 Repeal #MedDeviceTax #4jobs, #4Innovation. #MN03 #stribpol","MedDeviceTax 4jobs 4Innovation MN03 stribpol"
"2016-09-21 ","01:46:36","MicheleBachmann","The amazing, incomparable Phyllis Schlafly who created the pro-family movement. Her weapons? Prayer and truth. 
https://t.co/d7jLvsSRC5",
"2016-07-05 ","22:20:29","MicheleBachmann","Paul Ryan:  Focus on the House. Refuse to comment to the press on Trump. That's not your job. 
https://t.co/aMx8ue9lf5",
"2016-07-05 ","22:19:28","MicheleBachmann","Hillary should be in jail.  Giving her a pass will make her more lawless, like Obama. Defeat her. 
https://t.co/DG2KPc683A",
"2016-06-10 ","21:37:22","MicheleBachmann","Isn't Target in the business of making money rather than enemies?
https://t.co/UPdFIPAk4A",
"2016-06-10 ","00:21:00","MicheleBachmann","US taxpayers paid $1.7 billion of Iran's 2017 military budget!  Terrorist financing, which is blatantly criminal. 
https://t.co/cpiKTW35ie",
"2016-02-23 ","18:51:07","MicheleBachmann","Rubio straightforward about granting legalization status to illegal aliens. 
https://t.co/r045LMF4lC",
"2016-02-18 ","18:02:49","MicheleBachmann","It's the issues, alright! https://t.co/ColNhIxh3p",
"2015-11-30 ","16:19:05","MicheleBachmann","Bringing terrorists 'out of the shadows?'
https://t.co/u2b0weVsvr",
"2015-11-30 ","15:26:47","MicheleBachmann","As MS says: trying to solve a problem that doesn't exist, ignoring the one that does. 
https://t.co/4fjZu4ASdI",
"2015-11-30 ","15:25:49","MicheleBachmann","More proof for the previous tweeted statement. https://t.co/lK7SWiormD",
"2015-11-30 ","15:16:36","MicheleBachmann","Refugees are 70% gang-age males. No more in the US. https://t.co/ekuiRTUAtp",
"2015-11-25 ","23:05:47","MicheleBachmann","Public housing recipients making $100k+. Obamaworld.
https://t.co/0Nkda05THZ",
"2015-11-25 ","05:19:43","MicheleBachmann","This is Obama's thinking for the US. Stop ALL immigration: legal, illegal, refugee. 
https://t.co/ZYyU5w2oN2",
"2015-07-14 ","21:40:27","MicheleBachmann","This is absolutely disgusting. How can the media NOT run this story around the clock? http://t.co/cZs55KG8xj",
"2015-07-14 ","17:11:53","MicheleBachmann","O knows exactly what he's doing with the Iran deal. Empowering Iran as a world player w/ nukes was his #1 foreign policy from the beginning",
"2015-07-14 ","17:09:23","MicheleBachmann","Remember that photo of Obama bowing to Islamic leaders? This deal represents Obama bowing to the Iranian mullahs.",
"2015-07-14 ","17:00:23","MicheleBachmann","Obama's enabling of Iranian nuclear weapons is the most important national security event of my lifetime.",
"2015-07-14 ","15:37:42","MicheleBachmann","To my followers: set aside 5 minutes to read this column to understand the Iran deal. Andy McCarthy gets it right. 
http://t.co/DpJaEsXhta",
"2015-06-15 ","22:06:49","MicheleBachmann","Always a pleasure to talk with @gretchencarlson and to chat about our hometown! #bestbabysitter https://t.co/fnNsRvfgaL","bestbabysitter"
"2015-06-15 ","18:15:50","MicheleBachmann","Tune in now, I'm on @GretchenCarlson on @FoxNews!",
"2015-06-15 ","17:57:33","MicheleBachmann","Praise God as we celebrate the 800th anniversary of the Magna Carta-the foundation of western democracy and the rights of mankind.",
"2015-06-15 ","10:42:09","MicheleBachmann","This is serious. China is creating this weapon to knock out US aircraft carriers.
http://t.co/5u6aucZb9b",
"2015-06-15 ","01:02:22","MicheleBachmann","Happy #FlagDay!","FlagDay"
"2015-06-09 ","09:49:44","MicheleBachmann","No tolerance for the sincerely held beliefs of committed Christians. One more step towards criminalizing Christianity?http://t.co/3iduzPtZoE",
"2014-05-21 ","20:58:31","MicheleBachmann","Congrats to Youa Vang of Blaine HS for winning #mn06 art competition. Check out the other talented finalists here: http://t.co/RNFpHNQeWf","mn06"
"2014-05-21 ","19:04:21","MicheleBachmann","Tens of millions of dollars later, Nevada joins growing list of states scrapping beyond-repair Obamacare exchanges http://t.co/U1zNJWf3XS",
"2014-05-21 ","01:18:10","MicheleBachmann","@AshPratte Enjoyed meeting you and keep up the great work @yaf!",
