"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","18:05:52","RepRyanZinke","Always proud to support permanent reauthorization of #LWCF https://t.co/v8AAjWQmGB","LWCF"
"2016-02-23 ","19:53:55","RepRyanZinke","@ToniTagliarino @MumpusWumpus @RepRaulGrijalva Public lands are a huge part of our shared heritage. Gotta protect that.",
"2016-02-23 ","16:33:29","RepRyanZinke","Obama’s plan to bring terrorists to US soil is absurd, illegal &amp; falls short of the conduct of Commander in Chief https://t.co/KOwTVziwen",
"2015-11-30 ","16:01:29","RepRyanZinke","Good column in the Belgrade News about the EPA carbon regs and how it will hurt Montana econ by @SteveDaines     https://t.co/s6vvsfbdPI",
"2015-09-29 ","19:40:29","RepRyanZinke","House Holds First Hearing for Little Shell Federal Recognition in Years https://t.co/GBfpSNfXBq",
"2015-07-14 ","16:36:09","RepRyanZinke","The verification parameters of the #IranDeal are not robust enough to ensure Iran plays by the rules.  #mtpol https://t.co/TxqBfYGYzA","IranDeal mtpol"
"2015-07-14 ","11:34:14","RepRyanZinke","POTUS is allowing #Iran to take control in Iraq. Now he is making ""their prayers come true"" with the #BadDeal. This is a dangerous precedent","Iran BadDeal"
"2015-07-14 ","11:26:58","RepRyanZinke","Any #IranDeal that allows Iran a pathway to a nuclear weapon is a #BadDeal Mr. President. #StandWithIsrael","IranDeal BadDeal StandWithIsrael"
"2015-06-15 ","14:49:58","RepRyanZinke","Great to see #Whitefish on the list! http://t.co/okVM7yKpio via @countryliving cc @whitefishpilot","Whitefish"
"2015-06-09 ","20:19:43","RepRyanZinke","The #NDAA strengthens national defense, bars GITMO transfers, maintains @341MissileWing ICBMs &amp; protects our troops abroad.","NDAA"
"2015-06-09 ","16:06:22","RepRyanZinke","Tomorrow @NatResources Committee will begin hearing opening statements on my forest reform plan via @HavreDaily http://t.co/2VJBTTVzsc",
