"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","12:44:55","RepDavidRouzer","Met with Allison Ellenberger, a rising junior at Cleveland High School in Clayton, while she was… https://t.co/TqdkzQN9Yb",
"2016-06-10 ","15:24:27","RepDavidRouzer","Proud to represent #SampsonCounty https://t.co/Yj3NZBpSoM","SampsonCounty"
"2015-09-29 ","13:20:06","RepDavidRouzer","Today, we honor all the brave men and women who sacrificed their lives to protect our nation in foreign wars.  #VFWDay #veterans","VFWDay veterans"
"2015-09-29 ","12:54:12","RepDavidRouzer","RT if you agree our intelligence gathering process should remain #nonpartisan &amp; senior officials should not alter or disturb this process.","nonpartisan"
"2015-09-29 ","12:52:23","RepDavidRouzer","Joined 33 colleagues to write Sec Carter re:reports of altered #ISIS intel reports from senior level #DoD staff on #Syria antiterror efforts","ISIS DoD Syria"
"2015-07-14 ","19:42:13","RepDavidRouzer","Rolling back sanctions on Iran means they will have more money to fund acts of terrorism and build nuclear weapons.  http://t.co/Xr5uPK9nUJ",
"2015-07-14 ","16:07:23","RepDavidRouzer","Great news for NC- deactivation of the 440th Airlift Wing has been delayed! @FtBraggNC @fayobserver #ncpol http://t.co/aiWjfgIV7e","ncpol"
"2015-11-30 ","18:53:40","RepHolding","Iran continues to promote terror throughout the world – and according to the New York Times, more aggressively... https://t.co/E0aW5UdCKR",
"2014-10-22 ","17:57:09","RepHolding","There’s no room for gov’t waste in today’s struggling economy: http://t.co/gZBdNdpC4m",
"2014-05-21 ","19:22:41","RepHolding","It is crucial that the U.S. stand with Nigeria against the threat of Boko Haram. Read my statement here: http://t.co/m0WGmlkzKG",
"2014-05-21 ","13:59:07","RepHolding","Ending human trafficking is crucial to protecting our nation’s children: http://t.co/hJ6Bd8reWZ #endtrafficking","endtrafficking"
"2014-02-18 ","16:53:47","RepHolding","Proud to see that Raleigh has been recognized for its positive growth on Forbes’ list of Fastest-Growing Cities: http://t.co/JEjuuydU8P",
"2013-07-24 ","19:55:09","RepHolding","(CONT.) @RepDougCollins @RepJasonSmith and @RepLaMalfa for cosponsoring the ALERT Act. #ALERTAct #smallbusiness #Regulation","ALERTAct smallbusiness Regulation"
"2013-07-24 ","19:54:19","RepHolding","Thank you @BachusAL06 @HowardCoble @RepTrentFranks @RepSteveChabot @RepTomMarino (CONT.) #ALERTAct","ALERTAct"
"2013-07-24 ","19:48:58","RepHolding","I introduced the “All Economic Regulations are Transparent (ALERT)” Act to ease regulatory burdens on businesses: http://t.co/WjHNnJs21a",
"2013-06-05 ","16:26:47","RepHolding","Please drop by my new Fremont office tomorrow, Thursday, June 6, to meet my staff. We’re located in the Fremont... http://t.co/gAtddju0ny",
"2013-06-05 ","14:47:11","RepHolding","We need a transparent gov't with less regulation to support small business and #jobs. Watch Reg Reform hearing now: http://t.co/7dlXLOGo50","jobs"
"2013-06-05 ","14:27:56","RepHolding","The current effective unemployment rate among young people is a staggering 16.1%. http://t.co/2w5q7PWZjO It's time #4Jobs","4Jobs"
"2013-06-05 ","13:41:41","RepHolding","ICYMI, yesterday I spoke on the House Floor about the positive economic impact of recreational sporting. In North... http://t.co/bsfL66lYnW",
"2014-05-21 ","19:09:09","RepMarkMeadows","Obama says he's 'upset' over the VA scandal, yet continues to defend #Shinseki. It's time for accountability. http://t.co/lSLq2bf8h9 #vets","Shinseki vets"
"2014-05-21 ","16:11:01","RepMarkMeadows","HJRes. 50, the #ParentalRightsAmendment, has reached 76 co-sponsors--contact your Member to sign on! http://t.co/z21pXJE7dz @ParentalRights","ParentalRightsAmendment"
"2014-05-21 ","12:45:40","RepMarkMeadows","The problems with the VA are not isolated incidences, but systemic problems that must be corrected. http://t.co/v2fDkawaf6 #Veterans","Veterans"
"2016-09-21 ","22:28:19","PatrickMcHenry","Proud to vote FOR my friend @RepPoliquin's bill to limit #Iran's financing of terror which just passed. LEARN MORE-&gt; https://t.co/UeFsWMF2RO https://t.co/Eb1ev8KhRz","Iran"
"2016-07-15 ","16:33:03","PatrickMcHenry","ICYMI my floor speech from earlier this week remembering recently passed Ellenboro Alderman Mike Rhyne: https://t.co/hAt31qF7sJ #NC10 #ncpol","NC10 ncpol"
"2016-07-15 ","14:13:03","PatrickMcHenry","1 year since the disastrous nuclear deal w/ Iran was agreed to, we continue to hold the regime &amp; Admin accountable: https://t.co/S3QGSS7GcJ",
"2016-07-05 ","23:48:05","PatrickMcHenry","#Crowdfunding has tremendous potential to help small biz &amp; entrepreneurs. #HR4855 will help make that possible.  https://t.co/KHAqo6ldIR","Crowdfunding HR4855"
"2016-07-05 ","23:36:34","PatrickMcHenry","My bill to provide small biz &amp; entrepreneurs w/ greater access to angel investing has passed. #InnovationInitiative https://t.co/Ja6MZz05HM","InnovationInitiative"
"2016-07-05 ","20:15:23","PatrickMcHenry","Later this evening, the House will debate my bills on #crowdfunding &amp; angel investing. Learn more about the bills--&gt; https://t.co/eIFBB9Z5zp","crowdfunding"
"2016-07-05 ","16:19:10","PatrickMcHenry","Informative visit to the Collider in #Avl last week. Good recap here from @newsUNCA--&gt; https://t.co/uGxkfQaXBO #avlnews #NC10 #ncpol","Avl avlnews NC10 ncpol"
"2016-07-05 ","14:02:24","PatrickMcHenry","This week's email update recapped a busy week back home in #NC10. Take a few moments to read about my visits: https://t.co/ImPVfSsYhX #ncpol","NC10 ncpol"
"2016-06-10 ","20:20:48","PatrickMcHenry","Honored &amp; proud to see eight #NC10 students accept service academy appointments--&gt; https://t.co/2tGprVXEVC https://t.co/lXyGSOSRa0","NC10"
"2016-06-10 ","15:54:51","PatrickMcHenry","ICYMI- my tribute to fallen Newton &amp; Sherrills Ford-Terrell Firefighter, Captain Bradley Long from yesterday--&gt;  https://t.co/XuBpkIPqpx",
"2016-02-23 ","22:11:08","PatrickMcHenry","Spoke to @NCACC's annual legislative conference this AM. Enjoyed my meeting w/ commissioners in from #NC10 after. https://t.co/1LIbgV8aqw","NC10"
"2016-02-23 ","19:00:41","PatrickMcHenry","#OnThisDay in 1945 US Marines raised Old Glory at Mt. Suribachi during the Battle of #IwoJima--&gt; https://t.co/nKO5YovxIg","OnThisDay IwoJima"
"2016-02-23 ","17:29:34","PatrickMcHenry","On the day @POTUS announces plans to close #Gitmo, a former detainees is arrested for ties to the Islamic State--&gt; https://t.co/Ctkz2ysXOM","Gitmo"
"2016-02-23 ","17:14:45","PatrickMcHenry","President Obama's plan to close #Gitmo is illegal &amp; makes Americans less safe. My full statement on a bad idea--&gt; https://t.co/7nOgRT4IyU","Gitmo"
"2016-02-18 ","16:40:06","PatrickMcHenry","Are you on @instagram? Be sure to follow my account for photo updates of my work for #NC10: https://t.co/RbU9WrYyZb https://t.co/vxIe4cSQGu","NC10"
"2015-10-29 ","15:14:43","PatrickMcHenry","#SpeakerRyan is a proven, conservative leader committed to leading the People's House in an inclusive, open manner-&gt; https://t.co/YsGdkjzyRH","SpeakerRyan"
"2015-10-29 ","15:02:20","PatrickMcHenry","Proud to support my good friend @SpeakerRyan as he was elected Speaker of the House. Congratulations! #SpeakerRyan https://t.co/pttyaIOo9s","SpeakerRyan"
"2015-09-29 ","13:38:16","PatrickMcHenry","Starting at 10 AM, @GOPoversight investigates #PlannedParenthood's taxpayer funding. Watch live--&gt; http://t.co/vmwDMuwo2X #PPAccountability","PlannedParenthood PPAccountability"
"2015-07-14 ","21:16:42","PatrickMcHenry","Disturbing news today on #PlannedParenthood. The details of this story are simply awful &amp; disgusting: http://t.co/BzUBMleM0W.","PlannedParenthood"
"2015-07-14 ","13:03:49","PatrickMcHenry","#IranDeal risks our security &amp; security of allies like Israel. My statement on a #BadDeal Congress must disapprove: http://t.co/p611FZTl54.","IranDeal BadDeal"
"2015-06-15 ","16:01:40","PatrickMcHenry","Don't forget to sign up to receive the weekly #NC10 update directly to your inbox each Sunday http://t.co/w3STbprgl3 http://t.co/jaFCN3vnFc","NC10"
"2015-06-15 ","16:01:16","PatrickMcHenry","#NC10 Weekly recap is posted http://t.co/wGVDd1Vsq1. I explain support of #TPA, a vote for #oversight &amp; #transparency http://t.co/5AlcgepTEd","NC10 TPA oversight transparency"
"2015-06-09 ","21:06:28","PatrickMcHenry","Awesome gesture by @Panthers to name Denver's Braylon Beam coach for the day #KeepPounding Braylon! #JustKeepDancing https://t.co/8JuKCjuQ3L","KeepPounding JustKeepDancing"
"2015-06-09 ","20:34:20","PatrickMcHenry","Great story from @shelbystar on Makensie McDaniel, a local teen doing good work for multiracial families in #NC10: http://t.co/eSZrJZmGes.","NC10"
"2014-10-22 ","20:01:12","PatrickMcHenry","Yesterday Gastonia &amp; all of NC lost one of our greatest sons. My statement on the passing of Duke Kimbrell: http://t.co/a8ck4FiL6d.",
"2014-10-22 ","17:15:19","PatrickMcHenry","Horrible news from Ottawa this morning. My thoughts and prayers are w/ our Canadian friends on this tragic day. #PrayForOttawa","PrayForOttawa"
"2014-10-22 ","16:00:43","PatrickMcHenry","@AAUWPolicy @AAUW Thanks!",
"2014-10-22 ","14:47:37","PatrickMcHenry","Thanks Steve! RT @SteveScalise: Happy Birthday to @PatrickMcHenry – a great friend and a great chief deputy whip! http://t.co/JfcTSZM9p4",
"2014-10-22 ","14:46:57","PatrickMcHenry","@RepSinema Thank you!",
"2014-05-21 ","22:09:51","PatrickMcHenry","Proud to support #HR4031 to provide real #VAaccountability. Never again should our brave vets be subjected to such horrific treatment.","HR4031 VAaccountability"
"2014-05-21 ","13:57:56","PatrickMcHenry","WATCH at 10: @FinancialCmte Oversight Subcomm continues its investigation into #CFPB discrimination &amp; retaliation: http://t.co/xmH5uJS7Nx","CFPB"
"2014-05-21 ","00:00:00","PatrickMcHenry","Good luck to Asheville native @CalebPJohnson tonight in the @AmericanIdol finale! #avl #IdolFinale","avl IdolFinale"
"2014-04-01 ","21:32:24","PatrickMcHenry","ICYMI: My recent op-ed for the Lincoln Times-News on the constituent services offered by my office http://t.co/NCjv6VlIVe #NC10","NC10"
"2014-02-18 ","23:27:22","PatrickMcHenry","Rev. Graham in 1971 on the Johnny Cash Show. http://t.co/jrkDjaUwrQ",
"2014-02-18 ","23:27:03","PatrickMcHenry","Billy Graham's briefcase. Wonderful tour of Rev. Graham's library in Charlotte. What a gift Christ has… http://t.co/nioiWeIRC2",
"2014-02-18 ","16:51:12","PatrickMcHenry","See my questioning of Fed Chair Yellen and my thoughts on another #Obamacare delay in this week's email update: http://t.co/UdlUIwTjVm #NC10","Obamacare NC10"
"2013-07-24 ","21:07:27","PatrickMcHenry","Looking forward to it @StewartHaasRcng! RT @SpeakerBoehner: Good to see NASCAR’s return to dirt track racing tonight @EldoraSpeedway",
"2013-06-05 ","14:56:31","PatrickMcHenry","9 years ago today we lost one of America's greatest leaders, President Ronald Reagan. Join me today in remembering the #GreatCommunicator.","GreatCommunicator"
"2013-04-19 ","21:35:21","PatrickMcHenry","#crowdfunding is at work to help the victims and families in Boston. http://t.co/VrLHeDz9T9 RT to spread the word #prayforboston","crowdfunding prayforboston"
"2013-03-11 ","20:39:25","PatrickMcHenry","Is your pension at risk? @GOPoversight investigated last yr &amp; found that many gov't pensions are overstating returns.
http://t.co/xXgeLYQdmz",
"2012-12-12 ","18:00:12","PatrickMcHenry","Yesterday I spoke w/ @MariaBartiromo and @SullyCNBC about #FiscalCliff talks.  POTUS needs to get serious. #CutSpending http://t.co/HtHzhKH4","FiscalCliff CutSpending"
"2012-12-12 ","14:58:48","PatrickMcHenry","RT @GOPWhip: VIDEO: Is the President even listening to middle class Americans like Linda? http://t.co/CR0RJuJ2 #FiscalCliff #Taxes","FiscalCliff Taxes"
"2014-05-21 ","18:54:47","HowardCoble","Rockingham student wins Coble art contest     http://t.co/loKmewmRcZ",
"2014-05-21 ","16:18:14","HowardCoble","At the #USO Service Project on Capitol Hill  #CookieMonster http://t.co/YMSEEbokqu","USO CookieMonster"
"2014-02-18 ","16:45:03","HowardCoble","My district schedule http://t.co/oIXOYSyFy6",
"2013-07-24 ","21:23:25","HowardCoble","Coble to remain in hospital until tomorrow http://t.co/JGFQYKyXLq",
"2013-07-24 ","17:28:17","HowardCoble","Coble resting comfortably following surgery http://t.co/HqbDZtmKzG",
"2012-08-03 ","14:14:07","HowardCoble","Congratulations to Greensboro natives &amp; #TeamUSA athletes @carolinelind12 &amp; @JohnIsner! #NC6 is proud of you!","TeamUSA NC6"
"2012-07-18 ","20:11:57","HowardCoble","Great to have @elonuniversity SGA Exec. President Darien Flowers visit our DC office yesterday. Check out the pic: https://t.co/uFTZ3K4r",
"2012-07-18 ","19:20:28","HowardCoble","Welcome #jobs MT @WalmartAction Proud to create 50 New Jobs in Greensboro w/ expansion of Walmart on Battleground Ave http://t.co/bnZQ7oKQ","jobs"
"2012-07-18 ","14:13:26","HowardCoble","Watch Now: Sbcmte on #IP, Competition &amp; the Internet hrg on ""The International Trade Commission and Patent Disputes"" http://t.co/60A2CYma","IP"
"2012-05-18 ","19:54:04","HowardCoble","#FF this #tcot RT @RepReneeEllmers Only 2 hours left in New Media Challenge. ""Like"" my Facebook page now! http://t.co/psFE9M1C #GOPNMC","FF tcot GOPNMC"
"2012-05-18 ","19:06:15","HowardCoble","Congratulations to Briana Carter, #NC6 winner of the Congressional Art Competition! http://t.co/srVlb8RR","NC6"
"2012-05-18 ","13:43:37","HowardCoble","Talking health care consolidation &amp; competition in this morning's Subcommittee on IP, Competition &amp; the Internet hrg. http://t.co/VfLf7npp",
"2012-05-18 ","12:21:58","HowardCoble","@Caplea44 Name calling is unnecessary. Also, you are misinformed - I voted in support of VAWA.",
"2016-09-21 ","18:59:02","RepReneeEllmers","Join us tomorrow for a hearing to discuss empowering women in the workforce. Watch live here -&gt; https://t.co/TxFKTX7VT7 #GOPWorking4Women https://t.co/tXTDjANj9W","GOPWorking4Women"
"2016-09-21 ","15:44:12","RepReneeEllmers","Save the Date for my Recruit-A-Vet Job Fair -- October 11 at @FAYTECHCC! Register here: https://t.co/eLee3La2b2 https://t.co/LxgDcGYCjN",
"2016-07-15 ","00:29:37","RepReneeEllmers","Angered &amp; saddened by news of #BastilleDay terrorist attack in #Nice. Standing with &amp; praying for #France tonight. https://t.co/4YjILpuR8w","BastilleDay Nice France"
"2016-07-05 ","19:20:39","RepReneeEllmers","Excited to welcome our second session 2016 summer #interns, Christina and Dylan, to #TeamEllmers! https://t.co/jDdE1YbjQt","interns TeamEllmers"
"2016-07-05 ","19:18:18","RepReneeEllmers","It was our pleasure! https://t.co/FaZxoDt43u",
"2016-02-23 ","21:02:30","RepReneeEllmers","ICYMI: ""Ellmers Thanks Dunn Police Officers For Their Bravery"" https://t.co/6ktY7fiM96 #NC02","NC02"
"2016-02-23 ","17:13:39","RepReneeEllmers","We cannot stand for this. Congress must do everything within our power to hold strong against the president’s reckless decision. #GITMO","GITMO"
"2016-02-23 ","17:13:22","RepReneeEllmers","#GITMO is not just a prison—it’s a military facility serving as our eyes and ears to monitor dictators, thugs and drug traffickers alike.","GITMO"
"2016-02-23 ","17:13:01","RepReneeEllmers","Closing a base in a communist country rife with human rights violations signals a full retreat to every country around the world.  #GITMO","GITMO"
"2016-02-23 ","17:12:37","RepReneeEllmers","With his proposal to close #GITMO, the president continues to misjudge the threat of Islamic extremism.","GITMO"
"2016-02-23 ","17:12:06","RepReneeEllmers","See my statement on the president's reckless decision to close #GITMO here: https://t.co/6kpJQ3aNtn","GITMO"
"2016-02-23 ","16:15:20","RepReneeEllmers","Enjoyed speaking w/ NC County Commissioners @NCACC Congressional Breakfast about issues of interest to them. #NC02 https://t.co/0n7wX0nMHT","NC02"
"2016-02-18 ","20:06:37","RepReneeEllmers","See my statement on @FCC unnecessary #SetTopBox rules &amp; letter w/ @RepMcNerney &amp; @RepJoeBarton to Chairman Wheeler: https://t.co/9BDtD7ikS9","SetTopBox"
"2015-11-30 ","17:06:05","RepReneeEllmers","See the letter I signed in opposition to the president's proposed spending on the Green Climate Fund. https://t.co/UiCiAAVJ4a",
"2015-11-25 ","17:03:31","RepReneeEllmers","See my message for a safe and Happy Thanksgiving! VIDEO:  https://t.co/7XVNeRD7Q8 #happythanksgiving","happythanksgiving"
"2015-09-29 ","18:53:40","RepReneeEllmers","Looking forward to @POLITICOEvents policy discussion on baby boomers, chronic health conditions &amp; addressing them. http://t.co/4n6FnuZ263",
"2015-07-14 ","22:00:41","RepReneeEllmers","See my statement on the president's so-called ""Iran Deal"" - http://t.co/p8HUu6G6W7 #nationalsecurity #IranDeal","nationalsecurity IranDeal"
"2015-07-14 ","21:52:25","RepReneeEllmers","I spoke w/ @LadiesGOP on House floor about #nationalsecurity, #IranDeal, #ISIS &amp; need to fund #military. WATCH here: https://t.co/IJqIMWQxTd","nationalsecurity IranDeal ISIS military"
"2015-07-14 ","18:54:46","RepReneeEllmers","Joining @LadiesGOP in Special Order today to talk #nationalsecurity. WATCH (around 4 pm) on http://t.co/UTMqxn2kre. http://t.co/TVeRgnd94k","nationalsecurity"
"2015-07-14 ","17:28:32","RepReneeEllmers","Please read my op-ed in the @fayobserver about why I will continue to fight to save the #440th AL Wing.http://t.co/9DWNWA4ACY #FtBragg #NC02","440th FtBragg NC02"
"2015-07-14 ","15:59:58","RepReneeEllmers","This afternoon following the conclusion of votes, Members of the Republican Women’s Policy Committee… https://t.co/77l39w98Tl",
"2015-06-15 ","19:31:51","RepReneeEllmers","Take a moment to listen to my interview w/ @TeamCavuto on @FoxBusiness, where we discussed #TPA. https://t.co/FT2tlE4SZ7 #TPA4USjobs","TPA TPA4USjobs"
"2015-06-09 ","19:57:31","RepReneeEllmers","Talking w/ Charter Communications about fight to save #FtBragg 440th, new law to #endtrafficking &amp; #Medicare reform! http://t.co/YsXfP01ZlQ","FtBragg endtrafficking Medicare"
"2015-06-09 ","17:39:13","RepReneeEllmers","#Trade is integral to North Carolina's economy -- supporting 1.2 million jobs in NC. #NC02","Trade NC02"
"2015-06-09 ","15:11:40","RepReneeEllmers","Take a look at this @FayObserver article about how my anti-trafficking  amendment will help to #EndTrafficking: http://t.co/thKZhqQfui #NC02","EndTrafficking NC02"
"2014-10-22 ","19:21:49","RepReneeEllmers","BCBS #Obamacare plan for 45-yr-old male non-smoker in Raleigh will rise about $57/mo. http://t.co/f40cfwtyK2 #BrokenPromises","Obamacare BrokenPromises"
"2014-10-22 ","19:13:57","RepReneeEllmers","See my statement re call w/ NC state representatives and local health officials about addressing the #Ebola threat. http://t.co/7RW85C3YQz","Ebola"
"2014-10-22 ","18:05:49","RepReneeEllmers","North Carolinians don't deserve even higher #Obamacare premiums next yr. We've had enough #BrokenPromises already. http://t.co/f40cfwtyK2","Obamacare BrokenPromises"
"2014-10-22 ","18:05:20","RepReneeEllmers","NC's largest health insurer says rates will rise more than 13% next yr for individual #ACA policies. More #Obamacare #BrokenPromises","ACA Obamacare BrokenPromises"
"2014-10-22 ","16:21:36","RepReneeEllmers","The #KeystoneXL pipeline is still #StuckInTheSenate. We need to say #Yes2Energy. http://t.co/vKGSiknAmj","KeystoneXL StuckInTheSenate Yes2Energy"
"2014-10-22 ","15:22:27","RepReneeEllmers","Remember October is #BreastCancerAwarenessMonth. http://t.co/OySYg7iorg","BreastCancerAwarenessMonth"
"2014-10-22 ","15:07:19","RepReneeEllmers",".@RepPittenger joined me in ltr to @DrFriedenCDC re process for travelers entering US from #Ebola-plagued countries. http://t.co/zGAPYq4Xaw","Ebola"
"2014-10-22 ","13:09:52","RepReneeEllmers","If you missed my interview on @CNN about the response to the U.S. #Ebola cases, watch it here: http://t.co/gRu4ZeVmmc","Ebola"
"2014-05-21 ","19:54:29","RepReneeEllmers","New poll shows 47% of unemployed ""completely given up"" looking for work. http://t.co/UWbCviitPY See our plan #4jobs: http://t.co/Ge4NPzY92d","4jobs"
"2014-05-21 ","17:29:32","RepReneeEllmers","I cosponsored #HR4031 to hold the #VA accountable because our #veterans deserve better. #NC02 http://t.co/lxLgbBPK8C","HR4031 VA veterans NC02"
"2014-05-21 ","17:01:27","RepReneeEllmers","In yesterday's @HouseCommerce #SubHealth hearing I asked about new technologies &amp; medicines to treat #vets with PTSD. http://t.co/uzJUt2HEVK","SubHealth vets"
"2014-05-21 ","15:40:56","RepReneeEllmers","I cosponsored #HR4031, the Veterans Administration Accountability Act, because our heroes deserve only the best care. #Veterans","HR4031 Veterans"
"2014-05-21 ","15:10:16","RepReneeEllmers","Yesterday I spoke about a number of bills introduced in the House to combat sex trafficking. VIDEO: http://t.co/wqS1A1Zc3P #EndTrafficking","EndTrafficking"
"2014-05-21 ","13:20:56","RepReneeEllmers","Today is National Golf Day! Golf is a $68.8B/yr industry w/ $3.9B charitable impact. Which #NC02 golf course is your favorite? #NGD14","NC02 NGD14"
"2014-04-01 ","18:28:25","RepReneeEllmers","WATCH LIVE: GM CEO Mary Barra testifying in #SubOversight hearing on the @GM ignition switch recall http://t.co/c244HH2nJd  #GMrecall","SubOversight GMrecall"
"2014-04-01 ","15:39:16","RepReneeEllmers","WATCH the #SubOversight hearing on the @GM ignition switch recall beginning at 2pm today: http://t.co/w7Oy0fAXUo #GMrecall","SubOversight GMrecall"
"2014-04-01 ","14:08:53","RepReneeEllmers","This #AprilFools joke is just another one of #Obamacare's #brokenpromises. http://t.co/wQW8JxRNht","AprilFools Obamacare brokenpromises"
"2016-09-21 ","14:56:21","virginiafoxx","Assembling @the_USO care packages for our troops on Capitol Hill today. #USOconnects https://t.co/qNQQKNrwBV","USOconnects"
"2016-07-15 ","16:28:56","virginiafoxx","We mourn those whose lives were lost in Nice and pray for the people of France as they confront this terrible tragedy.",
"2016-07-05 ","15:26:53","virginiafoxx","Fantastic turnout at the 30th annual Christmas in July festival in West Jefferson. Had a great time @cijfestival. https://t.co/YaKNWxe2hi",
"2016-06-10 ","20:07:41","virginiafoxx","Check out this week's edition of the Foxx Report. https://t.co/4Ke8v2KWoo",
"2016-02-23 ","20:33:31","virginiafoxx","Great to see Wilkes County Commissioners Eddie Settle and Greg Minton as well as County Manager… https://t.co/MgEps8z3zP",
