"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:12:02","RepKevinCramer","Rural areas need reliable phone service. H.R. 2566 increases accountability for telephone providers. @HouseCommerce
https://t.co/mwAiB09Ifz",
"2016-09-21 ","15:56:54","RepKevinCramer","Great visiting with Lt Gen Jack Weinstein to discuss the @usairforce’s nuclear modernization efforts. https://t.co/zRINE8IJn0",
"2016-09-21 ","02:19:57","RepKevinCramer","HR 5944 updates FAA policies, strengthens local airports &amp; Air National Guard missions. @HouseCommerce  https://t.co/utYdENw17E via @YouTube",
"2016-07-15 ","23:27:25","RepKevinCramer","Heading to Mor-Gran-Sou Coop Annual Mtg. Good friends &amp; food await us @TSECooperatives @NDAREC https://t.co/fbmW5Q0jOR",
"2016-07-15 ","21:30:19","RepKevinCramer","H.R. 5588, the Vets COLA Act, gives vets financial peace of mind. It's the least we can do for them.@HouseCommerce  https://t.co/OkY3bbbWsh",
"2016-07-15 ","18:28:29","RepKevinCramer","New GMO labeling standards will give consumers uniform laws in all states. @HouseCommerce   https://t.co/EwAkl8SrdS https://t.co/93PLJOFrB4",
"2016-07-15 ","14:30:08","RepKevinCramer","1 year since Iran nuclear deal - 3 House bills address concerns w Tehran having more concessions. @HouseCommerce https://t.co/ZAt3yMosyV",
"2016-06-10 ","18:40:06","RepKevinCramer","@HouseGOP passed today H.Con.Res. 89 &amp; 112, opposing two energy taxes that hurt families, job growth &amp; the economy. https://t.co/ZmUCiRdtKr",
"2016-02-23 ","20:44:21","RepKevinCramer","What part of illegal doesn't the President understand? - My comments on @POTUS plan to close #Gitmo - https://t.co/nTTtSNKM9w #ndpol","Gitmo ndpol"
"2016-02-23 ","20:24:18","RepKevinCramer","I joined 203 members of #Congress in signing amicus brief asking federal court to throw out #EPA's #CleanPowerPlan https://t.co/Ii4AItRB7b","Congress EPA CleanPowerPlan"
"2016-02-23 ","19:34:22","RepKevinCramer","Happy National #FFAweek! Thank you to our young leaders for their dedication to the future of Agriculture https://t.co/oHq6fI3ZdE","FFAweek"
"2016-02-23 ","17:09:05","RepKevinCramer","Apply for a Summer Internship in my office in DC or in North Dakota - https://t.co/zJ5s1qHI6p #NDPOL #internship https://t.co/8ZxEWI6uB3","NDPOL internship"
"2015-11-25 ","22:04:01","RepKevinCramer","#Thanksgiving Tradition.  Picking up pies at the Tower Travel Center in Tower City  #yummy https://t.co/AKjcRjC3NA","Thanksgiving yummy"
"2015-10-29 ","17:26:03","RepKevinCramer","@SpeakerRyan is the most qualified and prepared person to become Speaker. https://t.co/ypjAtNEVBT #NDPOL #housespeaker","NDPOL housespeaker"
"2015-10-29 ","01:47:37","RepKevinCramer","@SpeakerBoehner returned portrait of Cando, ND native &amp; my friend @DickArmey to Richard K Armey Room @uscapitol . https://t.co/A7BkSluwqo",
"2015-09-29 ","20:42:26","RepKevinCramer","States should have the flexibility to determine if taxpayers should support #PlannedParenthood - http://t.co/pw586hxwmt","PlannedParenthood"
