"Date","Time","screen_name","text","hashtags"
"2016-06-10 ","13:05:43","RepFrankGuinta","This bill did very little to guarantee public sector spending reform on PR @AlexisinNH What's needed to help our fellow citizens",
"2016-02-23 ","22:10:42","RepFrankGuinta","Spanish arrest former #Guantanamo detainee on terror charges, same day Admin presents plan to close military prison https://t.co/4hILpRnKjJ","Guantanamo"
"2016-02-23 ","16:59:01","RepFrankGuinta","See you then @NHBroadcasters",
"2015-11-30 ","19:39:16","RepFrankGuinta","Of course. Our elderly in rural districts especially need the help @VoteHome",
"2015-11-30 ","19:38:25","RepFrankGuinta","If you missed my talk w/ @TuckerCarlson on @fox it's at @YouTube here: https://t.co/ZGAopwmxZA We discuss solutions to NH #heroin crisis","heroin"
"2015-11-30 ","14:53:01","RepFrankGuinta","Thanks to @TuckerCarlson for having me on @foxandfriends yesterday. We talked abt solving #heroin epidemic. Big problem in NH and nationwide","heroin"
"2015-11-30 ","14:50:00","RepFrankGuinta","Appreciate that @Linda_DeFilippo My Bipartisan Task Force is holding a briefing in DC this wk. We'll hear from more experts abt solutions",
"2015-11-25 ","17:58:39","RepFrankGuinta","Greeting new #American citizens in Concord NH w/ @KellyAyotte. Thrilling ceremony. https://t.co/SVILBw18Sw","American"
"2015-11-25 ","17:54:59","RepFrankGuinta","Great @nytimes column by @arthurbrooks @AEI Be grateful! Even if it takes some effort sometimes. 
https://t.co/RS2TcfsUfn",
"2015-10-29 ","14:48:28","RepFrankGuinta","Congratulations, @PRyan, the 54th speaker of the House. Thank you, @SpeakerBoehner, for your service to the House and our nation.",
"2015-09-29 ","19:23:14","RepFrankGuinta","Honored to be the keynote speaker at @NADAUpdate's conference, I spoke on H.R.1731, my #bipartisan CFPB Indirect Auto Financing Guidance Act","bipartisan"
"2015-09-29 ","14:00:23","RepFrankGuinta","This is a disturbing reminder of how crucial it is to reform the @DeptVetAffairs. We must do better for those who have sacrificed so much.",
"2015-09-29 ","13:47:12","RepFrankGuinta","Good read this morning from @MilitaryTimes. The simple truth is that our #Veterans deserve better → http://t.co/8yf0JW7NMG #VAcorruption","Veterans VAcorruption"
"2015-07-14 ","22:01:36","RepFrankGuinta","The #FederalReserveBank is known for its lack of responsiveness and #transparency to #Congress.… https://t.co/kJmIRgfzli","FederalReserveBank transparency Congress"
"2015-07-14 ","21:23:15","RepFrankGuinta","I'm concerned the #IranDeal relieves #economic #sanctions with very little in return, which could result in increased #terrorist activity.","IranDeal economic sanctions terrorist"
"2015-07-14 ","21:22:03","RepFrankGuinta","RT if you agree #nuclear inspectors should have unfettered access to verify #Iranians are comporting with #IranDeal.","nuclear Iranians IranDeal"
"2015-07-14 ","21:19:45","RepFrankGuinta","#IranDeal provides for a ‘where necessary, when necessary’ inspection of #Iran’s #nuclear sites rather than an ‘anytime, anywhere’ access.","IranDeal Iran nuclear"
"2015-07-14 ","21:19:07","RepFrankGuinta","THOUGHTS ON #IranDeal --&gt; raises major concerns for not only our #nationalsecurity; but, also the overall stability of the #MiddleEast.","IranDeal nationalsecurity MiddleEast"
"2015-07-14 ","15:48:39","RepFrankGuinta","Heading to the floor now to discuss my new Initiative, #WethePeople. Call/text leg ideas at 603-250-6850 or email wethepeople@mail.house.gov","WethePeople"
"2015-07-14 ","15:14:54","RepFrankGuinta","Did you know 1 in 8 are affected by #breastcancer?  The House is acting today to help #FindaCure, increase research &amp; #breastcancerawareness","breastcancer FindaCure breastcancerawareness"
"2015-07-14 ","15:13:15","RepFrankGuinta","RT if you agree we must strengthen our efforts to find a cure for #breastcancer to help the millions of brave women fighting to overcome it.","breastcancer"
"2015-07-14 ","14:56:10","RepFrankGuinta","Today, the House will vote on a #bipartisan bill to make commemorative #BreastCancer coins, advance #breastcancerawareness.","bipartisan BreastCancer breastcancerawareness"
"2015-06-15 ","13:58:08","RepFrankGuinta","This week, the House will vote on multiple bills to return #healthcare decisions back to you &amp; your family. MORE --&gt; http://t.co/iSn24tox33","healthcare"
"2011-01-11 ","22:55:51","RepFrankGuinta","Met with wounded military personnel on my first visit to Walter Reed today. Thanks to all that serve!! #tcot #nh01 #tpp http://tiny.cc/ovt1y","tcot nh01 tpp"
