"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","16:41:51","RepLanceNJ7","House Urges 'National Strategy' for IoT Development | Multichannel: https://t.co/7NdQx6WCYB",
"2016-09-21 ","16:38:38","RepLanceNJ7","Bridgewater Patch: Lance Bill to Crack Down on Scammers Advances https://t.co/HZY2o8Oofn",
"2016-09-21 ","15:46:46","RepLanceNJ7","Great working across the aisle on this issue with my friend @RepJoeKennedy  https://t.co/5jPrww0EDG",
"2016-09-21 ","15:33:27","RepLanceNJ7","Meeting constituents in Mine Hill  -   https://t.co/aoqaJIfeQJ",
"2016-09-21 ","14:56:04","RepLanceNJ7","Showing my support for our troops at today's @the_USO service project on Capitol Hill. #USOconnects https://t.co/QCEyk7a49S","USOconnects"
"2016-07-15 ","11:33:53","RepLanceNJ7","""Congressman Leonard Lance, who has attended more than 1,600 such festivities as state and federal legislator.."" https://t.co/EY8qXi604O",
"2016-07-15 ","01:45:41","RepLanceNJ7","America stands united with our ally France in what appears to be another horrific act of terror. We pray for the victims &amp; their loved ones.",
"2016-02-23 ","22:37:05","RepLanceNJ7","Congress will not compromise with the President on this matter.  The detainees should remain at Guantanamo Bay. https://t.co/kmvFY8El7x",
"2016-02-23 ","20:46:18","RepLanceNJ7","Rep. Leonard Lance speaks to Morris County Chamber, ELC https://t.co/TdGQaYoNUB via @HunterdonReview",
"2016-02-23 ","20:45:20","RepLanceNJ7","Congressman Lance talks pension system, Scalia's death, presidential race https://t.co/z1eGsIK3Mq via @MtOliveChron",
"2016-02-23 ","20:42:21","RepLanceNJ7","A great pleasure meeting Mrs. Do Alvaro &amp; spending time with her&gt;&gt;&gt;NJ woman, 106, given flag flown over U.S. Capitol https://t.co/h8Qqk20AHn",
"2016-02-23 ","20:21:14","RepLanceNJ7","Congressman combats 'silent killer' in Liberty Corner https://t.co/5K6cJvg6Hi via @Bville_News",
"2015-10-29 ","14:54:35","RepLanceNJ7","Congratulations to my friend @RepPaulRyan. I was proud to support Speaker Ryan today &amp; look forward to working with him in the days ahead.",
"2015-07-14 ","17:55:52","RepLanceNJ7","I oppose the President's Iran nuclear agreement.  Read my full statement:  http://t.co/MuV3yZAGG6",
"2014-10-22 ","19:29:08","RepLanceNJ7","Lance to visit Clinton Township company on the frontlines of the Ebola outbreak http://t.co/81NIQfO991 via @njdotcom",
"2014-05-21 ","19:03:42","RepLanceNJ7","The recent allegations of VA misconduct are alarming &amp; outrageous. Our Veterans deserve better. My full statement:  http://t.co/uHIxkpSUI6",
"2014-05-21 ","18:33:54","RepLanceNJ7","Kudos to Peter Foltz &amp; Brendan Law. I am proud to have participated in more than 1,200 Eagle Scout award ceremonies. http://t.co/GpsiIN5cDS",
"2014-05-21 ","15:07:18","RepLanceNJ7","@srfinger Your story &amp; others like it is why I introduced MODDERN Cures. If you keep fighting, I'll keep fighting. http://t.co/GhQgr5PoPJ",
"2014-05-21 ","02:38:14","RepLanceNJ7","@nunya_biznas I am a cosponsor of the bipartisan H.R. 3361, the USA Freedom Act.  http://t.co/i5v5LPTpVU",
"2013-07-24 ","14:05:18","RepLanceNJ7","I agree w/ WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting Americans. http://t.co/k8kfWOIf9H",
"2013-07-24 ","14:01:35","RepLanceNJ7","@KirkM0rris  I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.",
"2013-07-24 ","14:01:24","RepLanceNJ7","@sjlombardo  I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.",
"2013-07-24 ","14:00:57","RepLanceNJ7",".@tmorbs I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.",
"2013-07-24 ","13:52:34","RepLanceNJ7",".@Nunya_Biznas I will vote later this afternoon to prohibit the NSA from targeting U.S. citizens or acquiring/storing data on U.S. citizens.",
"2013-07-24 ","09:43:09","RepLanceNJ7","Berkeley Heights Fire Co. Receives $100K Grant http://t.co/HcKWnWSet9 via @CranfordPatch",
