"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:21:49","RepStevePearce","At the @NatResources Oversight Hearing on fed govt's management of wolves. Room is packed! https://t.co/y8pqt6DB7D",
"2016-09-21 ","16:57:04","RepStevePearce","The #IRS Commissioner testified under oath that he'd turn over all of Lois Lerner's emails, knowing thousands had been destroyed. #Impeach","IRS Impeach"
"2016-09-21 ","16:15:19","RepStevePearce","#TeamPearce was honored to help make care packages for our troops abroad this AM w/ @the_USO #USOconnects #NM02 https://t.co/tTvtdFBJib","TeamPearce USOconnects NM02"
"2016-09-21 ","14:19:28","RepStevePearce","Thanks to the Hedin and Warren families for stopping by this morning! Enjoy your #Capitol tour! #NMinDC https://t.co/4iibVfJoYa","Capitol NMinDC"
"2016-09-21 ","13:10:30","RepStevePearce","Don't forget: Inauguration 2017 is just around the corner! If you will be in DC, let me know! https://t.co/CfAIAYRXW0",
"2016-07-15 ","14:51:41","RepStevePearce","Nice death toll now 84 - saddened about this cowardly act of terror. Prayers are w/ those that lost their loved ones https://t.co/ekG6ODPjZM",
"2016-07-05 ","17:23:01","RepStevePearce","This should not be the kind of precedent government sets. We need accountability. We need transparency.  https://t.co/i6V124WkDm",
"2016-07-05 ","16:42:09","RepStevePearce","BREAKING -  Comey admits Clinton was ""extremely careless"" in how she handled emails - still refuses to prosecute. https://t.co/pbnbM9Dw0a",
"2016-07-05 ","01:30:19","RepStevePearce","So blessed I could watch the Capitol Fourth Fireworks with the love of my life! https://t.co/hsbItolQgT",
"2016-07-05 ","00:08:50","RepStevePearce","Quote from my granddaughter: ""Great, my first time on national TV and this is what I look like."" https://t.co/0J3xWxgZnE",
"2016-02-23 ","22:14:34","RepStevePearce","It's National FFA week! Retweet to celebrate farmers who help grow our country - here I am, a young man at 4-H https://t.co/Fu5bXzD2JP",
"2015-10-29 ","23:53:15","RepStevePearce","I congratulate him &amp; his family &amp; look forward to working together to create a healthy economy and rebuild our nation one step at a time.",
"2015-10-29 ","23:51:26","RepStevePearce","With his experience as a committee chairman, I'm confident that @SpeakerRyan can kick-start the legislative process &amp; restore effectiveness.",
"2015-10-29 ","23:48:17","RepStevePearce","I supported the nomination of Mr. Webster (R-Fla.) in yesterday’s Conference vote.  #NMPOL https://t.co/2x1geEOrFP","NMPOL"
"2015-10-29 ","23:46:50","RepStevePearce","Today’s election marks a transition. My hope is that it will be a turning point toward transparency and away from brinkmanship. #NMPOL","NMPOL"
