"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:25:04","RepHardy","#OvertimeRule must not go into effect. Watch my speech from this morning on @HouseFloor. ---&gt; https://t.co/0nWAStLkHi #NV04","OvertimeRule NV04"
"2016-09-21 ","18:07:13","RepHardy","Joined @jdcrouch2 and @the_USO on Capitol Hill today to fill care packages for our troops. #GivingBack https://t.co/iTz8iov0BR","GivingBack"
"2016-09-21 ","17:55:08","RepHardy","#OvertimeRule could result in lost hours, lost wages, lost benefits or worse, lost #jobs.","OvertimeRule jobs"
"2016-09-21 ","17:23:32","RepHardy","I’ve heard from countless #smallbiz, universities, nonprofits &amp; public sector that recent @USDOL #OvertimeRule is not sustainable.","smallbiz OvertimeRule"
"2016-09-21 ","16:15:18","RepHardy","My team will be at Sun City Aliante located at 7394 Aliante Pkwy. today from 10am-Noon to assist you with navigating federal agencies. #NV04","NV04"
"2016-09-21 ","16:09:50","RepHardy","Will be speaking momentarily on @HouseFloor about the overtime rule.",
"2016-09-21 ","16:07:38","RepHardy","Thank you to @SpeakerRyan for asking me to lead the pledge this morning on the @HouseFloor.",
"2016-09-21 ","16:00:22","RepHardy","Today my team will be at my Pahrump Office located at 321 S Highway 160 Ste 4B, 9am-Noon to help you find solutions to federal issues. #NV04","NV04"
"2016-07-15 ","17:47:49","RepHardy","We will get to the bottom of this at @NatResources field hearing on 7/26. #NV04 Learn more &gt; https://t.co/G1J8Q69zNv https://t.co/DqvAopCqaA","NV04"
"2016-07-15 ","03:30:46","RepHardy","The House today passed Interior &amp; Environment spending bill to fund conservation programs &amp; prevent fed overreach. https://t.co/K3ZY9yF7P3",
"2016-07-15 ","02:46:58","RepHardy","Learn how the #ExtraCredit for Working Students Act will help working students offset the cost of their #education. https://t.co/NAGgvJrZ4V","ExtraCredit education"
"2016-07-05 ","22:30:16","RepHardy","Tomorrow my team will be at my #Pahrump Office located at 1321 S Highway 160, Ste 4B from 9 AM-noon to help you solve federal issues. #NV04","Pahrump NV04"
"2016-02-23 ","23:56:47","RepHardy","Tomorrow my team will be at the #Pahrump Senior Center at 1370 W. Basin Ave. from 10 a.m.-noon to help you solve federal problems. #NV04","Pahrump NV04"
"2016-02-18 ","22:47:31","RepHardy","I learned so much talking to our #vets in Pahrump. Thanks for bringing up issues I can tackle in Washington. #NV04 https://t.co/wYQb3XL6iE","vets NV04"
"2015-11-30 ","23:30:13","RepHardy","Tomorrow my team will be at Desert Shores from 10 a.m.-noon &amp; Sun City Summerlin from 10:30-12:30 p.m. to help you w/ federal issues. #NV04","NV04"
"2015-07-14 ","18:20:49","RepHardy","Iran is one of the primary threats to regional stability. We should question their long-term intentions. https://t.co/G7RhdFkZm1 #IranDeal","IranDeal"
"2015-07-14 ","13:23:54","RepHardy","Important @NatResources Committee hearing this morning on @RepMcClintock's draft Lake Tahoe Restoration Act of 2015: http://t.co/CNYyPRWdXc",
"2015-06-15 ","21:33:06","RepHardy","Save the date for June 19th! #SmallBiz Procurement Workshop from 10 AM-12 PM at @CSNCoyote Cheyenne Campus. https://t.co/HsVY0lwnZ6 @KTNV","SmallBiz"
"2015-06-15 ","16:20:02","RepHardy","Join me for my #SmallBiz Procurement Workshop on June 19th at @CSNCoyote Cheyenne Campus. Details: https://t.co/HsVY0lwnZ6 @UrbanChamber","SmallBiz"
"2015-06-15 ","02:29:43","RepHardy","A good reminder from the men and women of the @DeptofDefense, who proudly wear the Flag on their uniforms: https://t.co/NOCrTGrPAy #FlagDay","FlagDay"
"2015-06-15 ","00:19:03","RepHardy","Connect with me on @Facebook! Click on the following link to like my page: https://t.co/3YIbBtwP1r #NV04","NV04"
"2015-06-09 ","23:18:50","RepHardy","Learn about procurement/contracting opportunities w/the government at my #SmallBiz Procurement Workshop! https://t.co/HsVY0lNZnG #NV04","SmallBiz NV04"
"2016-09-21 ","16:36:45","MarkAmodeiNV2","Tune in at 1 PM ET (10 AM PT) to hear my interview with @KevinWallRadio on Live &amp; Local: https://t.co/MMclUlSd0O",
"2016-07-15 ","21:45:22","MarkAmodeiNV2","As a coach and educator, Tom Andreasen is part of the fabric of the @CarsonSenators, I'm pleased to see him honored: https://t.co/HXR3apFah9",
"2016-06-10 ","19:09:35","MarkAmodeiNV2","Enjoyed visiting with students from the College of Southern #Nevada this week. Thanks for stopping by! @CSNCoyote https://t.co/A4f5ruazHR","Nevada"
"2016-06-10 ","14:41:00","MarkAmodeiNV2","Congrats to @AF_Academy students &amp; Amodei appointees on receiving their class rings: https://t.co/9INpQ0Tzge https://t.co/SoL5CK4Wvt",
"2015-07-14 ","17:56:27","MarkAmodeiNV2","I testified today before @NatResources Subcommittee on Federal Lands re: #LakeTahoe Restoration Act &amp; wildland fire https://t.co/osWgezSrp5","LakeTahoe"
"2015-06-15 ","16:01:18","MarkAmodeiNV2","Good to celebrate #FlagDay and 240th #ArmyDay in Reno. May the flag &amp; Army who defends it stand tall for another 240. http://t.co/yaP4h9qDrz","FlagDay ArmyDay"
"2014-05-21 ","22:44:34","MarkAmodeiNV2","VA culture that would allow some of the practices that have come to light is in dire need of accountability #HR4031 http://t.co/GKZzyrwLHQ","HR4031"
"2014-04-01 ","13:54:07","MarkAmodeiNV2","Today is April 1st. Guess what that means for the #ACA. http://t.co/iCrdn8L181","ACA"
"2012-07-18 ","18:34:15","MarkAmodeiNV2","@EYnews: Nationally, the President's plan to raise taxes would cost 710,000 #jobs and reduce economic output by $200.9 billion","jobs"
"2012-07-18 ","18:32:09","MarkAmodeiNV2","@EYnews: President's plan to raise taxes would cost Nevadans 6,100 #Jobs and reduce Silver State's economic output by $1.7 billion","Jobs"
