"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:00:38","RepChrisCollins","Honored to receive the @NFIB's #GuardianofSmallBusiness award. We must continue to help small business owners grow &amp; hire new employees. https://t.co/1E926nKNsy","GuardianofSmallBusiness"
"2016-07-05 ","14:43:20","RepChrisCollins","Welcomed friends from @ACSCAN to the office today. Grateful for their advocacy for #PCHETA @AmericanCancer #NY27 https://t.co/8AeKxIMFYn","PCHETA NY27"
"2016-02-23 ","17:18:00","RepChrisCollins","Obama's legacy cannot come before our security. His plan to close #Gitmo &amp; move detainees to US soil must be stopped https://t.co/Q1RBAruaa7","Gitmo"
"2016-02-18 ","19:09:14","RepChrisCollins",".@FCC rule making today on #AllVid makes no sense. The online TV market is already embracing apps. FCC bureaucrats think they know better.","AllVid"
"2015-09-29 ","20:01:40","RepChrisCollins","The closure of health provider Health Republic due to costs associated w/ #Obamacare will affect more than 12K WNYers http://t.co/VFq0jZnIXA","Obamacare"
"2015-09-29 ","18:53:13","RepChrisCollins","We pause today to remember Barry Miller, an invaluable and beloved member of the Genesee County community. http://t.co/FeLzaCjuRT",
"2015-09-29 ","15:24:08","RepChrisCollins","Today is #NationalVFWDay. My REVAMP Act will provide funding for needed improvements so our veterans can continue utilizing these posts.","NationalVFWDay"
"2015-07-14 ","19:41:30","RepChrisCollins","The Obama Admin put its delusional hopes for Iranian friendship ahead of American security interests with #IranDeal","IranDeal"
"2015-07-14 ","14:05:05","RepChrisCollins","LIVE: @HouseCommerce #OversightSub hearing titled Medicare Part D: Measures Needed to Strengthen Program Integrity http://t.co/zUqY7zovDL","OversightSub"
"2015-06-15 ","17:43:16","RepChrisCollins","ICYMI: my op-ed in @TheBuffaloNews on what I am doing to help improve the treatment of rare diseases http://t.co/l5u38xeced #Cures2015","Cures2015"
"2015-06-15 ","16:12:05","RepChrisCollins","I had the opportunity to visit the traveling Vietnam Memorial Wall  &amp; thank Vietnam veterans in Lockport this weekend http://t.co/Fl1tcnDcn8",
"2015-06-09 ","20:43:14","RepChrisCollins","Check out Chm. @RepFredUpton's op-ed on how our 21st Century Cures Act will help change the way we treat diseases https://t.co/XylHQYMVjz",
"2015-06-09 ","19:42:57","RepChrisCollins","Led a letter to FCC Chairman: pirate radio operations threaten public safety &amp; hurt radio listeners &amp; broadcasters http://t.co/jnpncgxM0n",
"2014-10-22 ","14:26:04","RepChrisCollins","Tomorrow my staff will be at York Town Hall located on 2688 Main St. from 3-4:30. Stop by if there is anything my staff can do for you.",
"2014-05-21 ","19:19:00","RepChrisCollins","I support the House NDAA bill because it supports programs that are vital to upholding our national security.",
"2014-05-21 ","16:59:01","RepChrisCollins","WATCH LIVE: Committee on Small Business Hearing on “Oversight of SBIR/STTR Programs” http://t.co/Rjf6bCW8zj.",
"2014-05-21 ","14:45:01","RepChrisCollins","The problems reported about the #VA are not isolated incidents but are indications of how the entire Agency is managed as a whole.","VA"
"2014-04-01 ","18:46:21","RepChrisCollins","Tomorrow at 1 PM the @SmallBizGOP cmte will hold a hearing on the benefits and risks associate with the Bitcoin.",
"2014-04-01 ","17:34:21","RepChrisCollins","Have you had hours cut due to #Obamacare’s definition of a full-time employee as working 30-hrs? Share your story: http://t.co/puTLHzHrzv.","Obamacare"
"2014-04-01 ","16:22:21","RepChrisCollins","This week the House will vote to repeal #Obamacare’s 30-hr full-time employment definition and restore it to 40-hrs.","Obamacare"
"2014-04-01 ","15:13:36","RepChrisCollins","The House is in session this week. Take a look at this week’s legislative business here http://t.co/3RRr1z0mxk. http://t.co/PrFzJ8zWiY",
"2014-04-01 ","14:22:21","RepChrisCollins","Happy to hear that @MullerQuaker has become the 5th largest yogurt manufacturer in the U.S. Proud to have them in #NY27.","NY27"
"2014-02-18 ","18:16:19","RepChrisCollins","Application period for FEMA Fire Prevention &amp; Safety grants is now open. I encourage all fire companies to apply: http://t.co/9OOfKBoGVU.",
"2014-02-18 ","15:43:02","RepChrisCollins","Tomorrow, February 19th, from 2-3:30 PM my staff will host satellite office hours at the Livonia Town Hall. http://t.co/s7MNbxaRCX",
"2013-09-14 ","15:57:52","RepChrisCollins","In Cheshire unveiling the plaque celebrating the Knights of Maccabees Hall being added to Nat'l Historic Registry. http://t.co/eU9stkIsp0",
"2013-09-14 ","14:40:07","RepChrisCollins","TY to everyone who joined me on a tour Cadence Sq. in Canandaigua. Going to be a great resource for area #Veterans http://t.co/S7TaLanhpV","Veterans"
"2013-07-24 ","20:33:48","RepChrisCollins","This @SmallBizGOP video, #PartTimeEconomy, shows the economic facts associated with #Obamacare http://t.co/lPKYtf3rJs.","PartTimeEconomy Obamacare"
"2013-07-24 ","19:12:34","RepChrisCollins","Since President #Obama took office, the average duration of unemployment has almost doubled from 19.8 weeks to 35.6 weeks","Obama"
"2013-07-24 ","18:03:34","RepChrisCollins","I am a cosponsor of HR 1891, to establish a U.S. Science Laureate position  You can become a #CitizenCosponsor here http://t.co/RJ1vYs1UGs.","CitizenCosponsor"
"2013-07-24 ","17:03:34","RepChrisCollins","Today I honored Helen Silliman and Flossie Bragg, who made history as the 1st female volunteer firefighters in #WNY http://t.co/TaHsSLuXcH.","WNY"
"2013-07-24 ","16:19:34","RepChrisCollins","To order a U.S. Flag through my office, visit my website for information on price and shipping costs http://t.co/FWH9pheQlQ. #NY27","NY27"
"2013-07-24 ","15:02:34","RepChrisCollins","Small businesses need regulatory relief. Today at 1 PM @SmallBizGOP will hold a hearing on agencies' efforts to reduce #RedTape.","RedTape"
"2013-07-24 ","14:06:34","RepChrisCollins","Today President #Obama is set to speak on economic recovery, yet #Obamacare is expected to cause 74% of #smallbiz to fire workers.","Obama Obamacare smallbiz"
"2013-06-05 ","21:37:01","RepChrisCollins","Watch me question the #SBA IG at today's @SmallBizGOP hearing aimed at promoting efficiency at the SBA http://t.co/wIrtBN6tPQ. #SmallBiz","SBA SmallBiz"
"2013-06-05 ","20:46:31","RepChrisCollins","Did you know that the #IRS will be in charge of implementing 47 new provisions within #Obamacare? http://t.co/j5i6Oxeizy.","IRS Obamacare"
"2013-06-05 ","19:42:31","RepChrisCollins","“Conservative groups targeted by the #IRS testify that agency demanded they curtail activities” via @washingtonpost http://t.co/A82IUoisf5.","IRS"
"2013-06-05 ","18:37:31","RepChrisCollins","You can now become a Citizen Cosponsor of any bill at http://t.co/xm8NYUU8QZ. What legislation will you cosponsor?",
"2013-06-05 ","17:05:32","RepChrisCollins","The @SmallBizGOP hearing on reducing duplication and promoting efficiency at the #SBA is starting. Watch live here http://t.co/csIvElQYCg.","SBA"
"2013-06-05 ","16:27:31","RepChrisCollins","Thank you for following me on Twitter. For more updates and information, “like” me on Facebook http://t.co/nm9gzMFa42.",
"2013-06-05 ","15:33:32","RepChrisCollins","ICYMI: “Almost half of Americans say #Obama untruthful about #IRS” via @BloombergNews http://t.co/SJ9HKSqqDs.","Obama IRS"
"2013-06-05 ","14:41:09","RepChrisCollins","I'm a of co-sponsor of HR 1281,to reauthorize the NIH newborn screening program. You can be a citizen cosponsor here http://t.co/lriB7YEhOT.",
"2013-06-05 ","13:33:00","RepChrisCollins","4.4 million Americans have been unemployed for more than 6 months. #Americans deserve better http://t.co/9gUxGWrLzt.","Americans"
"2016-09-21 ","22:45:08","RepStefanik","#NY21 Farmers: Have your operations be affected by the drought? Find links to state &amp; federal resources on @Medium https://t.co/glhNYn5jPg","NY21"
"2016-09-21 ","19:46:57","RepStefanik","Do you like apples? Spoke on the House floor today to recognize the importance of agriculture and apples to our region. #NY21 WATCH: https://t.co/iPQSuyEfBA","NY21"
"2016-09-21 ","15:30:26","RepStefanik","Read my OpEd in the @WDTnews  on my work to bolster and protect @drum10thmtn https://t.co/lxf2Dk6mq1",
"2016-09-21 ","13:40:56","RepStefanik","Met w/ a great group of young women yesterday from @SkillsUSA to discuss my support for strengthening career &amp; technical education #NY21 https://t.co/dKZik2YQyd","NY21"
