"Date","Time","screen_name","text","hashtags"
"2016-02-18 ","22:14:35","RepRussell","Watch @OKCFOX tonight for my comments on #WasteWatch4, and my concerns on the Middle East and Iran sanctions relief. https://t.co/ydwQwpu8xG","WasteWatch4"
"2015-09-29 ","21:15:29","RepRussell","I personally questioned the President of Planned Parenthood about the abuse of tax dollars. Watch my closing remarks https://t.co/brdS2i55pe",
"2015-07-14 ","23:43:49","RepRussell","We're talking about trade agreements and Country of Origin labeling. If you live in #OK5, dial (405) 415-2085 to be part of the conversation","OK5"
"2015-07-14 ","23:07:05","RepRussell","We're live on the air! Ask me a question &amp; listen to my thoughts about what's happening on Capitol Hill and in #OK5. Call 405-415-2085 now!","OK5"
"2015-07-14 ","22:49:49","RepRussell","If you live in #OK5, call me with a question during my Tele-Town Hall meeting between 6-7pm tonight! Dial (405) 415-2085 to contact me!","OK5"
"2015-07-14 ","19:37:34","RepRussell","Congress can respond to the #IranDeal one of three ways: ratify, ratify with changes or reject. Read my thoughts: https://t.co/3f4RDhrLyq","IranDeal"
"2015-07-14 ","16:40:56","RepRussell","The #IranDeal is over 150 pages &amp; I'm reading it word-for-word. We have to know what's in the deal to know its impact on the US.","IranDeal"
"2015-06-15 ","19:28:25","RepRussell","It is time to Pivot to America. My speech this morning from the @HouseFloor https://t.co/mO5svRZOjD",
"2015-06-15 ","17:53:08","RepRussell","It is time to Pivot to America. We must hold firm against #TPA/#FastTrack http://t.co/6wVJbVTXSA","TPA FastTrack"
"2015-06-15 ","17:35:49","RepRussell","Happy 800th birthday to the document that inspired American liberty and democracy! #MagnaCarta800th http://t.co/YkEkVQIbxg","MagnaCarta800th"
"2015-06-09 ","23:11:09","RepRussell","I stand w/@SenatorSessions in asking @POTUS about secret TPP details, and w/@Rep_Hunter asking for TPP transparency. http://t.co/u3bZQzVINe",
"2016-07-15 ","18:36:06","RepMullin","Big thanks to my second session summer interns for their hard work for #OK2 over the past few weeks! https://t.co/DPGoh2PnJ3","OK2"
"2016-07-15 ","14:42:59","RepMullin","Happy 11th birthday to my son, Andrew! #HBD https://t.co/FrnaCq3dqK","HBD"
"2015-09-29 ","21:44:16","RepMullin","We must act fast to protect hardworking Americans and job creators while respecting states’ rights to determine their small-group markets.",
"2015-07-14 ","14:10:57","RepMullin","Full house in @HouseCommerce #SubOversight hearing on fraud in #Medicare Part D http://t.co/kcFBfmgTAZ","SubOversight Medicare"
"2015-07-14 ","13:04:29","RepMullin","Higher Costs for #Obamacare’s new #Medicaid patients? Not surprised, @CNBC : http://t.co/Z8wH2dbZ4a","Obamacare Medicaid"
"2015-06-15 ","14:43:43","RepMullin","#MensHealthWeek &amp; tip #3: I try to make fitness fun for my kids! http://t.co/Kr37jiMtKv","MensHealthWeek"
"2015-06-15 ","13:32:17","RepMullin","Every day is Father's Day 4 me &amp; having my family w/ me in DC is the best present. @WomansDay http://t.co/i27GPBo4Uh http://t.co/05hFlHMFew",
"2014-10-22 ","20:54:11","RepMullin","I had the privilege of joining my colleagues @RepFrankLucas and @RepLankford at @GovMaryFallin's Water Conference! http://t.co/xoUYoSoaX0",
"2014-10-22 ","17:47:35","RepMullin","Combat joblessness: Rein in overregulation. Grow the energy sector. Approve the #KeystoneXL Pipeline. http://t.co/TuobMFt79p","KeystoneXL"
"2014-05-21 ","16:41:51","RepMullin","Happy to have had the chance to support our troops at the USO Service Project today #USOmoments http://t.co/mxFjU39Pr4","USOmoments"
"2014-05-21 ","14:00:40","RepMullin","Great visit with students from Hartshorne High School this morning! http://t.co/LjNcFTFPg7",
"2014-04-01 ","19:37:03","RepMullin","As you prepare your taxes, be aware of tax scams designed to take advantage of you: http://t.co/9auoTTjd4C.",
"2013-07-24 ","22:58:58","RepMullin","Thanks to all former and current Capitol Police Officers who keep us safe as we work to serve the people of this great nation.",
"2013-07-24 ","22:58:29","RepMullin","Today we mark 15 years since two Capitol Policemen lost their lives protecting those at our nation’s Capital.",
"2013-07-24 ","21:24:51","RepMullin","House Republicans are glad the President is returning his focus to jobs—we never left.",
"2013-07-24 ","20:07:54","RepMullin","Daily Data: 14.3% - last month's measure of discouraged workers who've settled for part-time jobs or given up altogether. #Jobs","Jobs"
"2013-07-24 ","19:28:03","RepMullin","More bad news for the #IRS? http://t.co/Eg2opX40V3","IRS"
"2013-07-24 ","18:20:09","RepMullin","The real June jobs report leaves much to be desired. http://t.co/UckfDqUG0I",
"2013-07-24 ","00:23:12","RepMullin","Listen to my comments in Highways &amp; Transit Subcommittee hearing today regarding future of transportation funding. (http://t.co/A1YkXKaizc)",
"2013-06-05 ","19:13:59","RepMullin","Thank you Norval Bassford of McAlester for serving your country with honor and bravery. #HonorFlights http://t.co/ls92IjVLV8","HonorFlights"
"2013-06-05 ","19:02:23","RepMullin","Welcoming 84 Oklahomans who served in WWII. Thank you for the sacrifices you made, ensuring we would live in freedom. http://t.co/Fk9rxXbISp",
"2013-06-05 ","14:43:30","RepMullin","RT @Transport: #WaterResource Prehearing dialogue with @RepMullin - Chief's Reports over 9000 pages http://t.co/1qE0MdVaRq","WaterResource"
"2013-06-05 ","14:20:40","RepMullin","“You can’t be for big government, big taxes, and big bureaucracy and still be for the little guy.” –Ronald Reagan",
"2013-06-05 ","13:25:34","RepMullin","Today is 9th anniversary of Pres. Reagan passing. A man of great wit/wisdom, his legacy lives on. Today we remember The Great Communicator.",
"2013-04-19 ","14:51:30","RepMullin","18 years ago our state was #ForeverChanged. Join me as we remember the 168 victims of the OKC bombing, and send our prayers to Boston.","ForeverChanged"
"2013-03-11 ","11:53:34","RepMullin","Thank you, Frank “@frankiefedora: @RepMullin Best wishes to you and yours. Fight the good fight for Oklahoma and America.”",
"2016-02-23 ","15:30:10","RepJBridenstine","Obama wants to spend half-a-billion to violate a law he signed in December and bring terrorists into the U.S. #GITMO https://t.co/QvnjD79KAT","GITMO"
"2015-09-29 ","19:00:46","RepJBridenstine","RT this MUST WATCH 1-min video exposing the extreme dangers of #PlannedParenthood! #WhyAreWePayingForThis #DefundPP http://t.co/6NNEVjw3eQ","PlannedParenthood WhyAreWePayingForThis DefundPP"
"2015-07-14 ","15:00:59","RepJBridenstine","I will not be complicit in paving Iran's way to a nuclear weapon #IranDeal #tcot http://t.co/lykXfBCzyu","IranDeal tcot"
"2014-04-01 ","21:15:32","RepJBridenstine","Excited to announce my bipartisan bill, the Weather Forecasting Improvement Act, just passed the House. #tcot http://t.co/q9mO2M54tH","tcot"
"2013-07-24 ","14:00:52","RepJBridenstine","We must stop Obama's DOD from institutionalizing godlessness. #pjnet #tcot http://t.co/R5DuYxcMPE","pjnet tcot"
"2013-06-05 ","19:45:14","RepJBridenstine","@CattyPatriot Thank you for your support!",
"2013-06-05 ","01:48:06","RepJBridenstine","Tonight I was interviewed by @marklevinshow. Please listen to the full interview here: https://t.co/9EKxeMSpIZ #tcot","tcot"
"2013-04-19 ","20:25:40","RepJBridenstine","Today is the 18th anniversary of the OKC Bombing, join me in saying a prayer for the victims and their families. http://t.co/a2GQ9F49Lf",
"2013-03-11 ","15:07:26","RepJBridenstine","Does Ben Bernanke go to the grocery store? My interview with The Daily Caller: http://t.co/BfGjZKliDq",
