"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:25:59","repgregwalden","Stopped by the @the_USO Congressional Service Project today to assemble care packages for our brave men and women in uniform. https://t.co/DVPPZ9JifZ",
"2016-07-15 ","21:12:56","repgregwalden","House OKs prohibiting monument in Malheur County https://t.co/E7Ov8qATET",
"2016-07-05 ","23:57:39","repgregwalden","I’m holding telephone town hall meetings July 6 at 9:30amPST &amp; July 7 at 9:30amPST. Sign up here to be called: https://t.co/9a3RxGKUif",
"2016-06-10 ","20:30:29","repgregwalden",".@RepPeterDeFazio &amp; I are calling on @USDOT to do more to improve rail safety https://t.co/qVwaui5XLy https://t.co/HXsC6pDLnl",
"2016-02-23 ","20:13:06","repgregwalden","Happy National #FFAweek to @OregonFFA and all those who have worn the blue jacket! https://t.co/HaB7bWj51J","FFAweek"
"2015-09-29 ","20:24:41","repgregwalden","At @HouseCommerce hearing, I asked what steps can be taken to ensure failure like Cover Oregon never happens again http://t.co/YEj2vZl2ZD",
"2015-09-29 ","14:18:37","repgregwalden","Watch live: @HouseCommerce hearing looks into Cover Oregon failure
http://t.co/CGfJZUiz1B",
"2015-07-14 ","19:41:26","repgregwalden","I will do all I can to stop a bad deal that threatens the safety of our troops, our allies, and the American people. http://t.co/3d3qdcrKFC",
"2015-06-15 ","23:13:57","repgregwalden","#OnThisDay in 1215 the Magna Carta–“the Great Charter”–was sealed, helping lay the groundwork for the rule of law. http://t.co/gTkMVzrLUg","OnThisDay"
"2015-06-15 ","19:40:47","repgregwalden","Hope you're able to join me tomorrow at 9am PST for another telephone town hall. Sign up here: https://t.co/h8U2z8LBSK",
"2014-10-22 ","16:27:49","repgregwalden","Read the latest edition of my e-newsletter about meetings from Grants Pass to La Grande last week: http://t.co/7bJkv6JAW0",
"2014-05-21 ","22:14:17","repgregwalden","House passes bill to bring accountability to the VA http://t.co/wfc3ZqO5m5",
"2014-04-01 ","16:03:47","repgregwalden","RT if you wish spending $134 million of your money on a broken website was an #AprilFoolsDay prank http://t.co/N7lcN8kVQ9","AprilFoolsDay"
"2014-02-18 ","21:58:16","repgregwalden","John Boehm, from the Klamath Falls VFW post, received the NCOA WWII Veterans Medallion. RT to #ThankaVeteran   http://t.co/ohXz6lkY09","ThankaVeteran"
"2013-07-24 ","18:19:42","repgregwalden","The committee approving this common-sense bill is an important step forward towards finally getting this done for Central Oregon.",
"2013-07-24 ","18:18:45","repgregwalden","Good news! The Central Oregon Jobs and Water Security Act was unanimously approved by the Natural Resources Committee http://t.co/lPuY96zPyf",
"2013-03-11 ","19:44:33","repgregwalden","State Dept. on Keystone XL:""would potentially support approximately 42,100 average annual jobs across the [U.S.]"" http://t.co/kT3HHNGgMc",
"2013-03-11 ","19:39:11","repgregwalden","Do you think the Administration should move #ForwardOnKeystone for middle class jobs? Vote here --&gt; http://t.co/Hxw0KRp6lI #TimeToBuild","ForwardOnKeystone TimeToBuild"
"2012-12-12 ","15:10:12","repgregwalden","The new law has the potential to unleash new tech, create thousands of jobs, and fund new public safety network for police and firefighters",
"2012-12-12 ","15:07:31","repgregwalden","Watch our subcommittee's hearing with all 5 FCC commissioners on the new broadband spectrum law I helped write http://t.co/0YYSiGmj",
"2011-01-12 ","18:56:29","repgregwalden","The bipartisan congressional prayer service pictured here honoring the victims of saturday's attack just finished http://twitpic.com/3pfgi4",
"2011-01-10 ","21:25:26","repgregwalden","Proof I was there! Me, UO President Lariviere and @SenJeffMerkley at the rally. #bcs #goducks #quack http://yfrog.com/gygrurj","bcs goducks quack"
"2011-01-10 ","20:17:45","repgregwalden","Stage view of @SenJeffMerkley intro’ing me and @repblumenauer at the pep rally. #bcs #goducks #quack http://yfrog.com/h7eypqj","bcs goducks quack"
"2011-01-08 ","23:12:26","repgregwalden","Please keep Congresswoman Giffords, her family, and the innocent civilians involved in this senseless tragedy in your prayers.",
"2011-01-06 ","16:14:51","repgregwalden","Members of the US House are reading the US Constitution on the House floor.  First time this has happened.  Part of our transition reforms.",
"2011-01-06 ","12:52:46","repgregwalden","On cspan's washington journal set getting ready. Tune in now! http://yfrog.com/gy841fvj",
