"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:39:48","KeithRothfus","Honored to receive the Guardian of Small Business award from @NFIB. https://t.co/0ljRKqGlVe",
"2016-07-05 ","19:22:28","KeithRothfus","The FBI’s decision not to prosecute Sec. Clinton sends message that the powerful &amp; well-connected are above the law. https://t.co/YxnYPaktkU",
"2016-06-10 ","19:18:22","KeithRothfus","A #carbontax would harm American businesses &amp; consumers – the House took action today to block this misguided policy https://t.co/jDxoXDN1vz","carbontax"
"2016-02-23 ","22:14:56","KeithRothfus","#OTD in 1945 US Maines captured Mount Suribachi while fighting on #IwoJima. Thank you @USMC https://t.co/zfGZokOqBs https://t.co/4upc8fiD2S","OTD IwoJima"
"2016-02-23 ","20:37:47","KeithRothfus","The law requires the President to provide a plan to defeat ISIS. Instead, he has provided a plan to close #Gitmo. Priorities?","Gitmo"
"2015-11-25 ","16:55:22","KeithRothfus","It is #NationalAdoptionMonth and Thanksgiving Eve. Let’s all be thankful for the gifts of family and #adoption. https://t.co/uBNFYGJnD2","NationalAdoptionMonth adoption"
"2015-10-29 ","20:15:49","KeithRothfus","Earlier today I spoke with @WTAJnews about @SpeakerRyan's election and a new vision for the House - airing @ 11pm https://t.co/ORCT3lMRQi",
"2015-10-29 ","20:13:46","KeithRothfus","Earlier today, I spoke with @WPXI about @SpeakerRyan's election and the expected change coming in the House https://t.co/hMV2wayanC",
"2015-10-29 ","15:07:47","KeithRothfus","Congratulations to newly elected @SpeakerRyan. I look forward to the beginning of a new era in the House.",
"2015-09-29 ","14:09:49","KeithRothfus","Excited to watch the @penguins at Cambria County War Memorial Arena, winner of #HockeyvilleUSA #LetsGoPens http://t.co/wbTwtaGNbE","HockeyvilleUSA LetsGoPens"
"2015-06-09 ","15:40:04","KeithRothfus","""Judge to #IRS: Details please"" http://t.co/WCm25V3UUN Watchdog group says: Obama IRS obstructed &amp; lied to a federal judge...","IRS"
"2015-06-09 ","15:32:20","KeithRothfus","Congrats Gary Makosy @tribunedemocrat 29 yr. veteran officer picked as new Chief ""He does it right. He’s a leader..."" http://t.co/dOUkQtbvoy",
