"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:25:18","RepTomRice","As hard as we try, 2+2 won't equal 5. We need political courage to fix Social Security &amp; make it work for the future https://t.co/vBioZa1KkR",
"2016-07-15 ","13:37:49","RepTomRice","Sickened to wake to the news of yet another terror attack. I stand with France against radical terrorists who threaten our freedoms.",
"2016-07-05 ","23:14:17","RepTomRice","Hillary Clinton: lied. This is most damaging blow to US gov since Watergate yet she won’t be held accountable https://t.co/WcqnQlNerI [2/2]",
"2016-07-05 ","23:14:07","RepTomRice","Eric Holder: lied. Lois Lerner: lied. VA Officials: lied. John Koskinen: lied. Kathleen Sebelius: lied. Susan Rice: lied. [1/2]",
"2016-07-05 ","17:59:28","RepTomRice","With the GOP #BetterWay for tax reform, America would add 1.7 million jobs &amp; be more competitive says @taxfoundation https://t.co/dYioaseoe2","BetterWay"
"2015-10-29 ","19:42:36","RepTomRice","My statement on the Speaker of the House Election --&gt; https://t.co/DS7McSBX0h",
"2015-10-29 ","12:35:36","RepTomRice","My statement on the Bipartisan Budget Act --&gt; https://t.co/gtRnaM7lnc",
"2015-09-29 ","18:43:14","RepTomRice","Congrats to Forestbrook Middle, Lakewood Elementary, &amp; Myrtle Beach I for being named National Blue Ribbon Schools! http://t.co/VNGRz5X3zV",
"2015-07-14 ","16:42:31","RepTomRice","Happening now: I'm speaking with Fox Business Network on ""Cavuto Coast to Coast"" about my long-term… https://t.co/6JnbF2ddPn",
"2013-07-24 ","23:35:10","RepTomRice","Our troops must have the resources needed to be successful both on the frontlines and back at home... http://t.co/CbbhNNmjSJ #sctweets","sctweets"
"2013-06-05 ","14:29:40","RepTomRice","Watch T&amp;I Army Corps Prehearing dialogue with @RepMullin - Chief's Reports over 9000 pages http://t.co/GLECTpTF5h #sctweets #WaterResource","sctweets WaterResource"
"2013-04-19 ","18:37:46","RepTomRice","Today’s SC unemployment numbers give job seekers some hope but there is still much room for improvement. http://t.co/MNAtsrOjHF #sctweets","sctweets"
"2013-03-11 ","21:56:56","RepTomRice","ICYMI: Here is my discussion w/ @timmcginniswpde about #sequestration and how the House plans to #CutWaste  http://t.co/U4s7vDt8DQ #sctweets","sequestration CutWaste sctweets"
"2013-03-11 ","21:48:10","RepTomRice",".@RepPaulRyan is right, we owe the American people a balanced #budget. RT if you agree. #sctweets #gop http://t.co/6cqTYPNUen","budget sctweets gop"
"2016-09-21 ","12:49:26","TGowdySC","Today @ 10 AM -&gt; @HouseJudiciary will examine allegations of misconduct &amp; articles of impeachment filed against IRS Commissioner Koskinen",
"2016-09-21 ","01:15:19","TGowdySC","Happy... ummmm well the number isn't important. Happy Birthday @SenatorTimScott!! https://t.co/YuDNN1oWup",
"2016-07-15 ","03:05:44","TGowdySC","My prayers are with the people of France following the news of this horrific attack #PrayForNice","PrayForNice"
"2016-07-05 ","20:36:31","TGowdySC","In case you missed it: spoke w/ @carmenlaberge about the #BenghaziReport, oversight and accountability. https://t.co/zb9Knfxl5B","BenghaziReport"
"2016-02-23 ","18:33:08","TGowdySC","Statement on President Obama's plan to close Guantanamo: https://t.co/kDoExROx6S",
"2016-02-23 ","17:52:46","TGowdySC","President Obama must put our national security first, follow the law, and halt all plans to transfer Gitmo detainees to the United States.",
"2016-02-23 ","17:52:21","TGowdySC","Attorney General Lynch and Defense Sec. Ash Carter have confirmed the law “currently does not allow” Gitmo detainee transfers to the U.S.",
"2016-02-23 ","17:49:27","TGowdySC","President Obama’s plan to relocate dangerous terrorists to United States soil is not only reckless, but against the law.",
"2015-10-29 ","14:11:32","TGowdySC","Paul Ryan is uniquely gifted to lead. He is smart, strategic, selfless &amp; a brilliant communicator. I am proud to support him for Speaker.",
"2015-07-14 ","17:00:15","TGowdySC","VIDEO: Questions at @HouseJudiciary hearing to DHS Sec. Johnson regarding sanctuary cities: https://t.co/1ITg83pZO0",
"2015-07-14 ","14:38:47","TGowdySC","The @housejudiciary oversight hearing of DHS with Secretary Jeh Johnson is now underway. https://t.co/0XM017ZRT8",
"2015-07-14 ","13:45:08","TGowdySC","Today at 10 AM the @HouseJudiciary is holding an oversight hearing of DHS w/ Sec. Jeh Johnson. Watch live on @cspan http://t.co/I9LTYVRg7e",
"2013-06-05 ","13:50:04","TGowdySC","Tune in: I'll be on @FoxNews with @BillHemmer to discuss President Obama's decision to promote Susan Rice to National Security Advisor",
"2012-12-12 ","17:37:14","TGowdySC","ICYMI- today's @GOPoversight hearing on HGH testing in the NFL http://t.co/s9qaH2Tt",
"2012-12-12 ","15:30:21","TGowdySC",". @GOPoversight going on now. HGH Testing in the #NFL: Is the Science Ready? WATCH HEARING LIVE http://t.co/6DFX6sYy","NFL"
"2012-09-25 ","19:56:31","TGowdySC","RT @GrahamBlog Just wrote letter with @TGowdy requesting DOJ documents on opposition to South Carolina’s VOTER ID LAW. http://t.co/EhBEuXII",
"2012-09-25 ","14:04:04","TGowdySC",". @GreenvilleNews article on the milestone celebration of @GreenvilleTech 50th anniversary in our community. http://t.co/KA1j4tpu",
"2012-07-18 ","20:37:46","TGowdySC","Congratulations to Wofford and the students involved in the amazing find! http://t.co/keHg2R5y",
"2012-07-18 ","14:02:31","TGowdySC","Tune in at 10. RT @GOPOversight: ""Is Abound Solar the next Solyndra?"" WATCH LIVE http://t.co/huBfKjAR #GreenJobs #Solyndra","GreenJobs Solyndra"
"2012-07-18 ","13:28:05","TGowdySC","Join @GOPoversight at 10 am for our hearing on the administration's energy programs and the cost to American taxpayers. http://t.co/82fQznnd",
"2012-05-18 ","14:14:23","TGowdySC","RT @RepDennisRoss: GOP freshmen press Leadership for Holder contempt vote http://t.co/5f63bini @RepSandyAdams @bquayle @RepTomMarino",
"2009-04-01 ","20:11:50","RepBarrett","TEA Act Fact #5: Restricts the growth of government to the rate of inflation.",
"2009-03-27 ","15:39:05","RepBarrett","Looking forward to the Greenwood Chamber of Commerce’s Luncheon today.",
"2016-09-21 ","21:57:22","RepJoeWilson","@the_USO Done!",
"2016-09-21 ","15:50:48","RepJoeWilson","Enjoyed partnering with @the_USO today to make care packages for our brave men and women in uniform. #USOconnects #sc02 https://t.co/eBAzkDWHcG","USOconnects sc02"
"2016-07-15 ","20:39:50","RepJoeWilson","This was quite the Week With Wilson. Watch more here: https://t.co/fAf0LNWM3T #sctweets","sctweets"
