"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:17:02","RepKristiNoem","Proud to see my #HEALTTHAct get unanimous approval from @WaysandMeansGOP today. Here's where it goes next &gt;&gt;&gt; https://t.co/pbeiqXjIiI","HEALTTHAct"
"2016-07-15 ","15:37:02","RepKristiNoem","Last day to apply for an internship in our office! It only takes a few minutes to apply. Learn more &gt;&gt;&gt; https://t.co/RmxbGZ0pOl",
"2016-07-15 ","03:24:30","RepKristiNoem","Starting this book tonight on my flight home....the title spoke to me. https://t.co/VpwPFA4HSZ",
"2016-07-15 ","00:36:38","RepKristiNoem","Unbelievable what has happened in France. Praying for God's peace in the face of tragedy. #PrayForNice","PrayForNice"
"2016-07-05 ","21:44:57","RepKristiNoem","Meet Julia - one of our DC office interns! Check out her quick tour of the National Botanical… https://t.co/wnSUq5RJx0",
"2016-07-05 ","00:10:56","RepKristiNoem","The point during the parade when we found out Robb, Bryon, and Rick can run.... #bigmoment https://t.co/VgkYr6itm2","bigmoment"
"2016-07-05 ","00:03:36","RepKristiNoem","Golf cart broke down and Robb and Rick drive up looking like princesses waving to the… https://t.co/b5nRq645nK",
"2016-06-10 ","20:19:13","RepKristiNoem","@gopwhip Making more dreams come true! It's no secret that my favorite movie is Predator and… https://t.co/KfzHYWhxGL",
"2016-02-23 ","15:00:07","RepKristiNoem","Tune in to @keloradio / AM1320 at 10AM today.  I'll be on with the @SDFarmBureau talking #WOTUS, #FarmBill, #Trade and more!","WOTUS FarmBill Trade"
"2016-02-23 ","02:11:52","RepKristiNoem","I think Pearl and Birdie are going to be friends..... https://t.co/6yNQuSQzR2",
"2016-02-18 ","16:05:36","RepKristiNoem","He is one of my favorites. Happy trails Mr Allen!  https://t.co/k6ZyHSMQqx",
"2015-11-25 ","20:07:25","RepKristiNoem","This seems a little backwards. Kid on the floor...dog on the chair. https://t.co/BZXJ36uklP",
"2015-11-25 ","03:58:31","RepKristiNoem","My text exchange with Kennedy tonight. She sure loves her dog ... https://t.co/5i1iHPuwoX",
"2015-10-29 ","18:01:54","RepKristiNoem","John was one of their favorite people this week. Thanks John! #BookerandNatetakeDC https://t.co/KRxH3WxEb8","BookerandNatetakeDC"
"2015-10-29 ","18:00:55","RepKristiNoem","The DC crew says good bye to Booker and Nate today. They are headed home to SD. It was a great week.… https://t.co/HYugCQR27i",
"2015-10-29 ","01:22:14","RepKristiNoem","Play 60 clinic with NFL players. #BookerandNatetakeDC https://t.co/pNb6gvY8yv","BookerandNatetakeDC"
"2015-10-29 ","01:20:21","RepKristiNoem","We the Pizza! #BookerandNatetakeDC https://t.co/9BwTwqtHNK","BookerandNatetakeDC"
"2015-10-29 ","00:32:19","RepKristiNoem","My workout team..  repjasonsmith @repjoekennedy markwaynemullin   Let's play some football!… https://t.co/RuJRP1UJE6",
"2015-09-29 ","22:47:45","RepKristiNoem","Sat down w these South Dakotans today to talk abt how we can continue to support efforts to fight cancer. @acscan http://t.co/KLgkoAlCnZ",
"2015-09-29 ","17:17:03","RepKristiNoem","Gov Miller led our state through a tragedy to a time of healing &amp; growth. I appreciated his friendship over the years. He will be missed.",
"2015-07-14 ","23:04:06","RepKristiNoem","Some great opportunities in the Nat'l Extension #Leadership Development program. Talked to Kenny abt those today. http://t.co/zQCbLmosby","Leadership"
"2015-07-14 ","21:50:27","RepKristiNoem","Spoke w Dakota Turkey Growers' Cindy &amp; Jeff today abt what can be done to better address the bird flu in the future. http://t.co/EaHglMhyr6",
"2015-06-09 ","21:30:06","RepKristiNoem","Loved talking w Shala today. She was out here from Webster with Bread for the World talking abt global food security. http://t.co/LbNJwWKnjP",
"2014-10-22 ","22:33:13","RepKristiNoem","Great to visit Cigna in Sioux Falls today. Had a great tour &amp; a good discussion on healthcare policy. http://t.co/8ZFa1tLEup",
"2014-10-22 ","21:21:01","RepKristiNoem","I'm currently accepting applications from students interested in U.S. service academies. Deadline:11/1/14. Learn more:http://t.co/4YfgB0Pxfn",
"2014-10-22 ","14:37:28","RepKristiNoem","YOU'RE INVITED: Join my staff in Platte at 9:45am (CT) today to talk about issues important to you. Learn more: http://t.co/F4CPfVkE03",
"2014-10-22 ","01:25:44","RepKristiNoem","Great to meet these wonderful ladies while at Flatlanders today! Can't beat their burgers! http://t.co/709t272kTR",
