"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:44:28","RepDianeBlack","The best days in DC are the days I get to visit with our #TN06 #HonorFlight veterans. #Heroes https://t.co/vN2aY8xyB2","TN06 HonorFlight Heroes"
"2016-09-21 ","16:21:46","RepDianeBlack","Wouldn't have missed it! Appreciated chance to discuss my #Adoption Tax Credit Refundability Act. #HR2434 https://t.co/5M6wSx50IA","Adoption HR2434"
"2016-07-15 ","14:58:18","RepDianeBlack","This is why I voted against lst yr's Boehner-Obama budget &amp; $1.1T omnibus. This runaway spending cannot continue! https://t.co/lGIiSTEgex",
"2016-07-05 ","18:52:53","RepDianeBlack","Remember how Hillary Clinton said she never sent or received emails marked classified at the time? https://t.co/BBqqiJhNyX #Lies","Lies"
"2016-07-05 ","02:01:39","RepDianeBlack","Today we also mark the 24th anniversary of the commissioning of the @USNavy's USS George Washington! @GW_CVN73 https://t.co/diD6odKpqj",
"2016-06-10 ","20:45:31","RepDianeBlack","Thank you to the @ERLC for inviting me to help kickoff their #ProLife workshop today! https://t.co/0MJc4JuqAW","ProLife"
"2016-06-10 ","18:55:27","RepDianeBlack","A #carbontax would raise costs and hurt consumers. Today, the House took a stand against it. VIDEO: https://t.co/a7AGVDKMek","carbontax"
"2016-06-10 ","13:17:45","RepDianeBlack","I'm on the House floor right now leading debate against a #carbontax. Watch live: https://t.co/GRZZu2p8kT #HConRes89","carbontax HConRes89"
"2016-02-23 ","18:20:02","RepDianeBlack","ICYMI: I joined @FoxNashville last night to discuss the latest #Obamacare waste &amp; how I'm working to stop it --&gt; https://t.co/HCewG85IT8","Obamacare"
"2016-02-23 ","17:06:52","RepDianeBlack",".@POTUS' plan to transfer #Guantanamo detainees will remain just that: a plan. One that won't be enacted. https://t.co/kksNh9Np0N","Guantanamo"
"2016-02-23 ","02:44:54","RepDianeBlack","I'll be on @FOXNashville tonight at around 9:45 PM CT discussing my fight against #Obamacare subsidies for illegal immigrants. Tune in!","Obamacare"
"2016-02-18 ","23:22:37","RepDianeBlack","Joined Mayor Nesbitt &amp; Mayor Wheeler for a tour of #Carthage Pavilion today in Smith County. #TN06 https://t.co/vabFTsa100","Carthage TN06"
"2016-02-18 ","21:28:01","RepDianeBlack","Mom turned 91 years young today. She is the anchor of our family &amp; a blessing to everyone she knows. #Grateful https://t.co/9KZ964aRTB","Grateful"
"2016-02-18 ","18:45:57","RepDianeBlack","Excited to learn of Bradford's expansion in #Gallatin. 25 new #jobs headed to #TN06! https://t.co/T0D0HeckB6","Gallatin jobs TN06"
"2016-02-18 ","18:20:06","RepDianeBlack","Obama Admin spent $750M on #Obamacare subsidies for illegal immigrants. @POTUS must fix this. I explained how --&gt; https://t.co/aIRz3I3upn","Obamacare"
"2016-02-18 ","16:35:56","RepDianeBlack","It's true: #Obamacare subsidies are flowing to illegal immigrants. I wrote in @TheBlaze about how we can stop it:  https://t.co/aIRz3I3upn","Obamacare"
"2016-02-18 ","15:29:02","RepDianeBlack","Did you know #TN06 is home to a new #GRAMMY winner? Congrats to Wilson County's Joe Thompson on your #gospel win! https://t.co/LMzN4xEy60","TN06 GRAMMY gospel"
"2015-10-29 ","16:04:52","RepDianeBlack","Congratulations to my friend @SpeakerRyan. I shared more of my thoughts on today's election here: https://t.co/lDMmuanDFZ",
"2015-10-29 ","10:49:05","RepDianeBlack","Look forward to joining @RalphBristol on @997WTN at 6:05 AM CT. Listen here: https://t.co/DcMvC1cQlI",
