"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","21:24:30","HerreraBeutler","SW WA rural clinics that provide care to rural communities are at risk. Read abt my efforts to protect access. https://t.co/goGXJwCapu",
"2016-07-05 ","21:40:26","HerreraBeutler","Proud to receive the pro-business US Chamber Spirit of enterprise award at Mill Creek Pub, Battle Ground on Fri! https://t.co/Sd4le0x8yJ",
"2016-06-10 ","21:11:43","HerreraBeutler","SWWA #Vets deserve quality, timely care. Read more from @gldsentinel abt my work to shorten VA wait times https://t.co/X0x9x8xosl","Vets"
"2016-02-23 ","22:23:02","HerreraBeutler","Just sent a letter to the FDA urging them to help reduce birth defects in the Hispanic community. https://t.co/ykviQwtlKC",
"2016-02-23 ","21:29:12","HerreraBeutler","Congrats to the WF West High School Knowledge Bowl team! They’ve advanced to the state Knowledge Bowl tourny on 3/19 . Good Luck at state!",
"2016-02-18 ","22:00:45","HerreraBeutler","Awesome news for Ridgefield!  https://t.co/ZYNjgkHUW9",
"2015-09-29 ","23:02:45","HerreraBeutler","Today my female colleagues and I celebrated 25 years of the Office of Research on Women’s Health at NIH #WPIHealth http://t.co/7v4BvSkMZv","WPIHealth"
"2015-07-14 ","22:02:44","HerreraBeutler","Public safety needs to paramount for oil-by-rail in SW WA  - read about my effort to improve spill response prep: 
http://t.co/uVWtQhbHnm",
"2014-10-22 ","21:20:26","HerreraBeutler","Help me honor SW WA veterans by sharing their stories on my website. Here’s more info to submit your stories &amp; photos.http://t.co/tmPTSzS8zo",
"2016-02-23 ","19:20:58","davereichert","Pleased that fallen Washington State Trooper Tony Radulescu is receiving the recognition he deserves @wastatepatrol https://t.co/W3I4tSxET0",
"2016-02-23 ","18:43:47","davereichert","It was a pleasure to meet w/ @IAFF2878 new chief, Jeff Clark. Thanks for keeping our communities safe! https://t.co/29jJrbw1p5",
"2016-02-18 ","19:43:41","davereichert","Had a great time speaking w/ Eatonville HS's AP history class. What a smart group of students! @EatonvilleSD https://t.co/1P3sUb50nw",
"2016-02-18 ","17:09:30","davereichert","Great meeting w/ Louis Garcia the CEO &amp; President of @BBBSPS Strong mentors can make all the difference. https://t.co/9zhTnZY0vn",
"2015-11-30 ","22:09:54","davereichert","My heart is with the Tenaruiz family. We must make our roads safer regarding unsecured load laws. https://t.co/WdMU34zIZy",
"2015-09-29 ","18:57:46","davereichert","Thank you @NEHgov for supporting the humanities and enriching the lives of so many over these past 50 years. Happy Birthday! #NEHturns50","NEHturns50"
"2015-09-29 ","15:24:26","davereichert","There is no state with more clout when it comes to a good cup of Joe than Washington State. Happy #NationalCoffeeDay !","NationalCoffeeDay"
"2015-06-09 ","23:59:21","davereichert","Congratulations to the WA-8th service academy appointees! They’ve truly earned this honor http://t.co/9XVDAtcugO http://t.co/uGvTilh4Wc",
"2014-10-22 ","20:52:20","davereichert","In the last 10 yrs, WA exports to FTA partners increased by 125%. Nationally, this trade supports over 17.5 million #USjobs. #TPA4USJobs","USjobs TPA4USJobs"
"2014-05-21 ","21:55:32","davereichert","Great to see the @seahawks honored at the White House today! #Superbowlchamps #GoHawks #12thMan http://t.co/Rs9CpdraJA","Superbowlchamps GoHawks 12thMan"
"2014-05-21 ","18:09:50","davereichert","Read my article about why passing my #endtrafficking legislation is so important for foster children: http://t.co/Ro6GKJmW8o","endtrafficking"
"2014-02-18 ","21:51:42","davereichert","Read Rep. Reichert’s statement on the @Boeing announcement about 777X wing production: http://t.co/iDiND7ZiEI",
"2013-07-24 ","19:45:02","davereichert","Today we honor J.J. Chestnut and John Gibson - Capitol Police officers who sacrificed their lives serving others 15 years ago today.",
"2013-06-05 ","19:58:42","davereichert","ICYMI: Rep. Reichert spoke with @varneyco this morning to discuss the ongoing #IRS scandal fallout.  Click to watch: http://t.co/ekpfKjI1p3","IRS"
"2013-06-05 ","18:48:01","davereichert","Watch Rep. Reichert urge support for continued funding for @usfire in the Homeland Security Appropriations Bill: http://t.co/wWZowIitHZ",
"2013-04-19 ","16:53:12","davereichert","Today’s the last chance to send in submission for the Congressional Art Competition! http://t.co/4VRGUzDUv7",
"2013-04-19 ","14:09:06","davereichert","Next week is #NationalParksWeek – check out all the free parks, like Mt. Rainier, with @NatlParkService!  http://t.co/z8qK6O97bl","NationalParksWeek"
"2013-03-11 ","18:49:24","davereichert","In March we honor the American @RedCross - an organization that has served the suffering of our nation since 1881 and continues to do so.",
"2012-05-18 ","23:25:36","davereichert","Rep Reichert introduced the “Housing for Heroes Act” today because no U.S. Veteran should be homeless. http://t.co/BQ5z7WQj #veterans","veterans"
"2011-10-10 ","15:04:35","davereichert","Eastside Month of Concern for Hungry is half over – Share What You Can – Donation locations and more info here: http://t.co/6xfYdomb",
"2011-01-14 ","16:44:33","davereichert","Have good photos taken in the 8th district? I'd like to display them on my website. Please submit here: http://tinyurl.com/2fapfje",
"2011-01-12 ","17:15:07","davereichert","Meeting with my counterparts in Korean National Assembly was productive. We share the common goal of economic recovery through trade.",
"2011-01-08 ","21:05:15","davereichert","I am saddened to learn of today's vicious attack on @Rep_Giffords and others in Tucson this AM. They are all in our thoughts and prayers.",
"2014-05-21 ","23:20:25","DocHastings","Our veterans deserve better treatment for protecting our nation and our freedoms. #VAaccountability http://t.co/5BbP5EVbuO","VAaccountability"
"2014-04-01 ","20:42:26","DocHastings","On Thursday, Interior Secretary Sally Jewell will testify before @NatResources https://t.co/GAYon2epKe http://t.co/isOzbSbdOu",
"2013-07-24 ","16:32:49","DocHastings","If you would like to join me in my next telephone town hall, please provide your full telephone number here: http://t.co/wwqTp5s0pr #wa04","wa04"
"2013-06-05 ","21:45:54","DocHastings","PHOTO: I was pleased to join @RepLaMalfa and @RepKevinCramer at today's @aga_naturalgas #Energy Policy Roundtable http://t.co/bAqzwLwxKA","Energy"
"2013-06-05 ","17:04:00","DocHastings","The #unemployment rate among young Americans is 16.1% http://t.co/FN4P9aASv8 It's time #4Jobs. #ObamaEconomy","unemployment 4Jobs ObamaEconomy"
"2013-04-19 ","17:43:14","DocHastings","Congratulations to Zillah High School teacher Jeffrey Charbonneau for becoming a finalist for the National Teacher of the Year Award! #wa04","wa04"
"2013-03-11 ","20:31:43","DocHastings","VIDEO: Hastings presents Pasco veteran with Bronze Star more than 60 years after he served in the Army http://t.co/D5SeRa6QkG",
