"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:01:27","JimPressOffice","Rep. Sensenbrenner questioned @IRSnews John Koskinen during a @HouseJudiciary hearing. You can watch here via @cspan https://t.co/XiFqjLCTwu",
"2016-09-21 ","15:06:46","JimPressOffice","Rep. Sensenbrenner's floor speech on ICANN via @cspan https://t.co/heqVlvZhBp",
"2016-07-05 ","15:34:04","JimPressOffice","ICYMI: The Better GOP Agenda via @SpeakerRyan @WSJ  https://t.co/lG2xhJ7qXv",
"2016-07-05 ","14:41:14","JimPressOffice","ICYMI: Tax Foundation touts House GOP plan as expanding economy via @thehill https://t.co/M5INaJFOZx",
"2016-07-05 ","13:32:55","JimPressOffice","ICYMI: Preserve America's Promise by Rep. Sensenbrenner https://t.co/TfRbq5F13m",
"2016-06-10 ","14:22:06","JimPressOffice","ICYMI: The DUE PROCESS Act was introduced yesterday in the Senate by @SenatorLeahy &amp; @ChuckGrassley https://t.co/n6US5vO1dw",
"2015-11-30 ","16:54:58","JimPressOffice","ICYMI: Statement on Implementation of the #USAFreedomAct via @HouseJudiciary https://t.co/0lJR39w6mt https://t.co/HzWFBQOxMt","USAFreedomAct"
"2015-11-25 ","16:44:58","JimPressOffice","Rep. Sensenbrenner's column is out early this week in preparation for #Thanksgiving. It's up right now at https://t.co/jkMAqpPnx7.","Thanksgiving"
"2015-10-29 ","15:47:04","JimPressOffice","@RepPaulRyan's installment as Speaker gives me confidence &amp; optimism in the direction of our party &amp; country https://t.co/Sxojxfzi4T",
"2015-10-29 ","15:29:14","JimPressOffice","Congratulations to my friend and colleague @RepPaulRyan as he enters into this exciting and challenging new role. #SpeakerRyan","SpeakerRyan"
"2015-07-14 ","17:45:01","JimPressOffice","Rep. Sensenbrenner with @repbobbyscott &amp; @CoryBooker, testifying before the @GOPoversight Committee on criminal justice reform #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:53:15","JimPressOffice","Rep FJS: Now is the time for criminal justice reform #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:52:04","JimPressOffice","Rep FJS: Our system cannot continue on its current trajectory. It’s not only fiscally unsustainable, but morally irresponsible #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:49:52","JimPressOffice","Rep FJS: The system is broke, and it’s our job to fix it. #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:49:16","JimPressOffice","Rep FJS: We’re spending more, getting less, and destroying communities in the process #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:47:12","JimPressOffice","Rep FJS: More than 40% of released offenders return to prison within 3 years of release #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:46:01","JimPressOffice","Rep. FJS: Prison spending has increased by 595 percent, a staggering figure that is both irresponsible and unsustainable. #SAFEJustice","SAFEJustice"
"2015-07-14 ","14:45:29","JimPressOffice","Rep. FJS: America's federal prison system population has more than quadrupled- from 500k in 1980 to more than 2.3 million today #SAFEJustice","SAFEJustice"
"2015-07-14 ","13:25:48","JimPressOffice","Rep. Sensenbrenner will testify on criminal justice reform today at 9:45am ET. Watch it live: https://t.co/aOEzwEY9Sh #SAFEJustice","SAFEJustice"
"2012-12-12 ","17:53:53","JimPressOffice","The Obama Administration's NASA policy threatens America’s preeminence in not just space, but also science and tech http://t.co/4S9JFY27",
"2012-12-12 ","17:27:46","JimPressOffice","Sensenbrenner Questions Administration’s Shortsighted NASA Policy http://t.co/4S9JFY27",
"2012-12-12 ","16:24:28","JimPressOffice","If we cannot lead the world in space, China and Russia will inevitably fill the void we left behind. @SciSpaceTechCmt",
"2012-12-12 ","15:17:29","JimPressOffice","HAPPENING NOW: @SciSpaceTechCmt Examines NASA's Strategic Direction http://t.co/jgIsSwcQ",
"2012-12-12 ","14:48:27","JimPressOffice","Small Business Voices: tax hikes hurt small businesses and workers http://t.co/NcFxkCNj",
"2012-12-12 ","14:26:37","JimPressOffice","Happy Aaron Rodgers Day to all!",
"2012-12-12 ","14:14:47","JimPressOffice","If you are a small business owner, make your voice heard. How would a tax hike affect you? http://t.co/NcFxkCNj",
"2016-09-21 ","15:42:41","RepRibble","Met today with Doug Jones and Cindy Chandler, who lost both her husband and father to Idiopathic Pulmonary Fibrosis https://t.co/hQo4CIvsyO",
"2016-09-21 ","13:46:20","RepRibble","Congratulations to the Vander Veldens--excited there will be an Oconto Christmas tree in the White House this year! https://t.co/WJ3wwUoCTx",
"2016-07-15 ","22:57:11","RepRibble","U..S citizens in turkey should shelter in place   Do not attempt to go to U.S embassy or consulates at this time.",
"2016-07-15 ","01:42:07","RepRibble","And violence expresses itself. With a gun, a bomb, a truck. Mostly, it expresses itself in the heart of man. Pray for #Nice.","Nice"
"2016-07-15 ","00:31:04","RepRibble","@YoginUCS  the ""no"" vote was to prevent an amendment that would strip the power of the ESA and FWS that was already in the underlying bill.",
"2016-07-05 ","14:17:54","RepRibble","Praying for this young man and his family.
https://t.co/qGQ0kW8th8",
"2016-02-18 ","18:40:07","RepRibble","Discussing strategy for moving our #IranDeal Implementation &amp; Accountability Act   https://t.co/4qM5GLVdkn #Iran https://t.co/bsfQGYfjhO","IranDeal Iran"
"2015-11-30 ","23:37:13","RepRibble","Via the Milwaukee @journalsentinel: It's time for states to manage wolf populations https://t.co/93bh2tzhkf",
"2015-10-29 ","18:59:12","RepRibble","Had to save this @dietcoke for my better half! #dietcoke https://t.co/3ByY8cDUby","dietcoke"
"2015-10-29 ","15:19:36","RepRibble","We are not settling scores, we are wiping the slate clean -@SpeakerRyan",
"2015-10-29 ","14:45:08","RepRibble","Congratulations to my friend @PRyan for his election to Speaker of the House #SpeakerRyan","SpeakerRyan"
"2015-09-29 ","20:13:39","RepRibble","I joined @robertsmsnbc to discuss a path forward on government funding/defunding #PlannedParenthood. Check it out: https://t.co/1nZWEtHMFD","PlannedParenthood"
"2015-09-29 ","17:48:19","RepRibble","Joining @robertsmsnbc at 2 pm ET today to discuss Planned Parenthood and our path forward! Be sure to tune in!",
"2015-09-29 ","15:26:11","RepRibble","#Iran shouldn't get $100 billion in sanctions relief--victims of its terrorism still await compensation. #NotOneCent https://t.co/BbFLTi8Tq3","Iran NotOneCent"
"2015-07-14 ","15:38:34","RepRibble","#POTUS says the American people and Congress get to weigh in on #IranDeal then threatens veto if they disagree??","POTUS IranDeal"
"2015-07-14 ","14:42:18","RepRibble","""Iran must decide if it is a country or a cause."" --Gen. Hayden on #IranDeal in a @HouseForeign Affairs Committee hearing this morning.","IranDeal"
"2015-07-14 ","14:40:12","RepRibble","In a @HouseForeign Affairs Committee hearing reviewing the details of the #IranDeal this morning. http://t.co/lB3LMqw3RU","IranDeal"
"2015-07-14 ","12:16:29","RepRibble","#POTUS lacks confidence his #IranDeal can withstand scrutiny when he threatens a #veto ahead of the scrutiny.","POTUS IranDeal veto"
"2015-07-14 ","11:35:44","RepRibble","Concerned that the President led this morning with #IranDeal announcement and a veto threat for Congress -- review of any deal is vital.","IranDeal"
"2015-07-14 ","11:32:08","RepRibble","After significant delays, we finally have an #IranDeal. Interested to see the final terms when they are available  http://t.co/2idlSXxKpP","IranDeal"
"2015-06-15 ","21:49:26","RepRibble","Let's #EndAlzheimers!  #alzheimers #AlzheimersAwareness http://t.co/F1DQvS4IKY","EndAlzheimers alzheimers AlzheimersAwareness"
"2015-06-15 ","02:57:51","RepRibble","The U.S. #Army was founded today in 1775, and has been protecting our nation ever since. #ArmyBirthday #thankyou http://t.co/9qxYIodTRn","Army ArmyBirthday thankyou"
"2015-06-15 ","01:04:52","RepRibble","Happy #FlagDay2015 ! #FlagDay http://t.co/mhResf5itz","FlagDay2015 FlagDay"
"2015-06-09 ","18:43:18","RepRibble","Great! Hoping to see you all at the Capitol tomorrow! @600elm  https://t.co/usAcE6c5gQ",
"2014-10-22 ","15:01:11","RepRibble","Check out my column in @thehill with @RepSchrader highlighting National Forest Products Week! #wi08
http://t.co/bppubWord1","wi08"
"2013-07-24 ","21:50:53","RepRibble","Sent a ltr to the Surface Transpo Brd to help promote rail competition and lower energy costs for WI families. http://t.co/fw3IcHDBrJ #WI08","WI08"
"2013-04-19 ","20:02:57","RepRibble","Great news! 95 employers have signed up for the Apr 29th #JobFair, which is the most we've ever had. http://t.co/vvK51Ck4Cy #WI08","JobFair WI08"
"2012-12-12 ","17:38:46","RepRibble","Happy Aaron Rodgers Day, WI!",
"2012-09-25 ","22:47:52","RepRibble","Talked to roughly 200 ppl at a #townhall in GB. Answered a lot of great questions on #jobs #taxreform #economy #HC http://t.co/ZGqJ61Hn","townhall jobs taxreform economy HC"
"2012-09-25 ","20:45:12","RepRibble","Met w/ group of start up #smallbiz in NE WI. Biggest hurdle they face is the 10,000-pg tax code #taxreform","smallbiz taxreform"
"2012-08-03 ","19:03:34","RepRibble","My statement on Congress adjourning for August Recess. http://t.co/iy5LDDGA",
"2011-01-14 ","22:28:37","RepRibble","Congrats to my friend @ReincePriebus on his victory! #RNC #GOP","RNC GOP"
"2011-01-14 ","14:21:01","RepRibble","All my best to @ReincePriebus in preparation for the RNC Vote today. #RNC #GOP","RNC GOP"
"2011-01-13 ","14:35:33","RepRibble","My wife DeaNa and I are looking forward to the GOP retreat this weekend. We'll hear from past GOP and agency... http://fb.me/RTxgzCro",
"2011-01-11 ","21:53:04","RepRibble","Thanks so much! RT @joanrsafford Watching @RepRibble being interviewed on Fox News. What a great Congressman!!",
"2011-01-11 ","19:28:24","RepRibble","I talked a little about Congressional Security today on @FoxNews. http://fb.me/NDdTzYgp",
"2011-01-11 ","15:27:15","RepRibble","Couple of stories here from @WBAY on security in our Congressional offices. http://tinyurl.com/4pyga8w http://fb.me/D9u0I9PA",
"2011-01-10 ","21:36:06","RepRibble","I'll be on @foxnews tomorrow around 9:45 am EST. Hope you can tune in.",
"2011-01-10 ","21:28:29","RepRibble","@tjmarcy7 - thanks for the note! We all need your prayers. Please pray for Congresswoman Giffords and her family, too.",
"2011-01-10 ","21:03:17","RepRibble","""On behalf of my wife DeaNa and our entire congressional office, our thoughts and prayers go out to Congresswoman... http://fb.me/zS8fREcH",
"2011-01-07 ","17:42:43","RepRibble","Follow my Congressional Twitter page @RepRibble for updates on my activities in DC!",
"2011-01-07 ","15:14:32","RepRibble","Couple of nice stories on my first week in office from @WBAY today...check them out here! http://tinyurl.com/382vt3j #Ribble #Congress","Ribble Congress"
"2011-01-06 ","21:45:31","RepRibble","Was thrilled to vote to cut Congress' budget by 5% today - fulfilling our promise to cut spending starts here. #Congress #GOP","Congress GOP"
"2016-09-21 ","20:16:38","RepGrothman","Tune into our @GOPoversight hearing on #EpiPen prices here: https://t.co/fcqx62wdpl https://t.co/totVa8rWPx","EpiPen"
"2016-09-21 ","15:52:24","RepGrothman","No better way to start my day than by making care packages for our troops as part of @the_USO service project. https://t.co/gMkJrdvtfD",
"2015-11-30 ","23:44:27","RepGrothman",".@WSJ: No Child Left Behind’s Successor https://t.co/PGHy1SNUM8 #ESEA","ESEA"
"2015-10-29 ","21:49:28","RepGrothman","ICYMI: I joined @DeirdreBolton on @FoxBusiness to discuss newly elected @SpeakerRyan. Watch the clip here: https://t.co/gkoFgPY5of",
"2015-10-29 ","20:55:51","RepGrothman","Talking Speaker Paul Ryan with @FoxBusiness shortly. https://t.co/ji2sOrD8U7",
"2015-10-29 ","15:21:24","RepGrothman",".@SpeakerRyan a proven conservative. I look forward to working with him to get our nation’s fiscal house in order. https://t.co/bs0itlolXO",
"2015-07-14 ","18:08:26","RepGrothman","Lifting sanctions on Iran is dangerous &amp; proves that Pres. Obama and his administration negotiated from a position of weakness. #IranDeal","IranDeal"
"2015-07-14 ","16:28:26","RepGrothman","Israel and our allies were counting on the United States to not back down, &amp; now we’re left with a bad deal and broken promises. #IranDeal","IranDeal"
