"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","21:40:26","CynthiaLummis","Bill would return #Wyoming #graywolf to state management, protect state’s uranium miners, &amp; roll back @EPA overreach https://t.co/tdsqXN4PJt","Wyoming graywolf"
"2016-07-15 ","21:40:20","CynthiaLummis","To ensure #Wyoming voice was heard, I worked as Chairman of @WesternCaucus for Wyoming priorities in the legislation https://t.co/tdsqXN4PJt","Wyoming"
"2016-07-15 ","21:39:54","CynthiaLummis","The bill is critical for #Wyoming covering @Interior, @EPA, @BLMNational, @NatlParkService, @ForestService &amp; others https://t.co/tdsqXN4PJt","Wyoming"
"2016-07-15 ","21:39:46","CynthiaLummis","We in the House completed &amp; passed the 1st DOI, Environment, &amp; Related Agencies Appropriations Act in 7 years https://t.co/tdsqXN4PJt",
"2016-06-10 ","21:23:42","CynthiaLummis","We voted to condemn proposals to tax carbon &amp; hike taxes on oil that would raise costs for food, healthcare &amp; transportation. #Wyoming","Wyoming"
"2015-09-29 ","16:15:39","CynthiaLummis","I love the humanities because I know preserving the past will benefit future generations #NEHturns50 @NEHgov","NEHturns50"
"2015-09-29 ","16:15:27","CynthiaLummis","I love the humanities because ‘the humanities belong to all the people of the United States’ #NEHturns50 @NEHgov","NEHturns50"
"2015-06-09 ","20:29:56","CynthiaLummis","@EPA WOTUS overthrows county &amp; state management, forces people to deal w/ federal bureaucrats to use their own water: http://t.co/W96sZ08drk",
"2015-06-09 ","20:29:35","CynthiaLummis","@EPA WOTUS rule is unnecessary. Local people better understand smaller waters traditionally under state jurisdiction: http://t.co/W96sZ08drk",
"2015-06-09 ","20:25:07","CynthiaLummis","@EPA finalized their WOTUS rule despite concerns of Governors, state officials, &amp; stakeholders http://t.co/W96sZ08drk",
"2015-06-09 ","20:24:05","CynthiaLummis","@EPA’s Waters of the US rule (WOTUS) is nothing short of a federal seizure of state waters: http://t.co/W96sZ08drk",
"2014-05-21 ","22:21:49","CynthiaLummis","This week I met with the Director of Cheyenne #VA and here is some of my interview with #ktwo on the meeting. http://t.co/zqU7F2BDO3","VA ktwo"
"2013-07-24 ","20:51:55","CynthiaLummis","Photo: Had a great time meeting with Emily Beagle. She is a student from the University of Wyoming, Emily is... http://t.co/rEABu2977c",
"2013-06-05 ","14:06:03","CynthiaLummis","RT: @DarrellIssa .@GOPoversight hearing on #IRS lavish conference spending this Thursday. Details --&gt; http://t.co/CN8WZnl0uL","IRS"
"2013-06-05 ","14:01:45","CynthiaLummis","ICYMI: My interview this morning with Brian Scott on @K2RadioWyo : http://t.co/L8onnN6Phz",
"2013-06-05 ","13:05:36","CynthiaLummis","Going on with @K2RadioWyo Brian Scott. Listen live: http://t.co/sWldzvaBo6",
"2012-05-18 ","17:06:54","CynthiaLummis","Video: This morning Rep. Denny Rehberg (MT) and my amendment to block the New START Treaty preventing... http://t.co/BfXCiScH",
"2012-05-18 ","17:03:30","CynthiaLummis","GOP: Real part of U.S. women - The following is an Op/Ed I coauthored with 13 other women House Republican... http://t.co/kp3IqMpH",
"2011-01-11 ","22:38:18","CynthiaLummis","I think Jon Stewart provides some good insights in his monologue on the AZ tragedy. Watch from 2:29 here: http://ow.ly/3C8Tr",
"2011-01-10 ","15:15:42","CynthiaLummis","Please join me in taking a moment of silence for the victims of the AZ tragedy this morning at 11 ET, 9 MT.",
"2011-01-09 ","03:14:00","CynthiaLummis","I encourage all Americans 2 pray for those killed in the incident, for the recovery of Rep. Giffords & others injured, & for our country.",
"2011-01-09 ","03:12:41","CynthiaLummis","I am deeply saddened by the horrific attack on Rep. Giffords, her staff, Judge John Roll, & the residents of Arizona’s 8th district.",
"2011-01-08 ","21:10:29","CynthiaLummis","My thoughts and prayers go out to Rep. Giffords and all the victims of this unconscionable attack.",
"2009-11-03 ","22:01:08","CynthiaLummis","My interview with Greg Corombos with Radio America on Pelosi's health care bill. http://tinyurl.com/yhrtl5g",
"2009-11-03 ","21:27:25","CynthiaLummis","Republicans’ Common-Sense Reforms Will Lower Health Care Costs - Below is a summary of the health care... http://tumblr.com/xpv3u8bn5",
"2009-11-03 ","21:16:41","CynthiaLummis","http://twitpic.com/o5zwf - Reading Pelosi's 2,000 page health care bill.",
"2009-11-03 ","20:32:58","CynthiaLummis","Video: Lummis lambastes Pelosi’s 2,000 page health care reform bill on floor of U.S. House. http://tumblr.com/xpv3u7fhi",
"2009-11-03 ","20:04:07","CynthiaLummis","My interview with Hoppy Kercheval at WV Metro News: http://bit.ly/3rBABP",
"2009-11-03 ","19:30:45","CynthiaLummis","RT @HealthCaucus webcasting live from the Republican Reading Room. We'll spend the next 4 hours reading the health bill http://bit.ly/S3aXw",
"2009-11-03 ","18:43:14","CynthiaLummis","My op-ed on the NY-23 race appearing on politico.com -- ""It's the Spending, Stupid:"" http://digg.com/d3190UH?t",
"2009-11-03 ","18:36:13","CynthiaLummis","RT @GOPLeader: Join the Discussion as House GOP Uses Amplify.com to Expose Truth About Pelosi’s #Healthcare Bill: http://bit.ly/JqsxZ","Healthcare"
