"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:24:27","lisamurkowski","Great to meet Angels in Adoption Pat &amp; Clarissa Kougl of North Pole, who have opened their home &amp; hearts to children https://t.co/xe5OzER2PH",
"2016-09-21 ","16:00:12","lisamurkowski","Impressed w/ UAA’s Dr. Amstislavski, who created an environmentally-friendly &amp; cost-effective thermal insulation. https://t.co/Gj5ruLaSBq",
"2016-07-15 ","00:13:53","lisamurkowski","Shocked &amp; horrified at what appears to be a horrific terrorist attack in Nice, France. Prayers to the victims &amp; all affected by the tragedy.",
"2016-07-05 ","17:26:58","lisamurkowski","Great piece on the close ties between the towns of Hyder in Southeast Alaska and Stewart in British Columbia! https://t.co/9XTTfWp3Oh",
"2016-06-10 ","22:28:29","lisamurkowski","This is what I like to see! The nation is starting to focus on the Arctic. https://t.co/zoYBIQMl4e",
"2016-06-10 ","19:11:01","lisamurkowski","Thanks to members of my staff for helping paint the town with @NeighborhoodWorksAK to help families in need. https://t.co/cOE0lunwsZ",
"2016-06-10 ","16:45:23","lisamurkowski","Thanks to @USCGAlaska for getting these Alaskans home safe &amp; sound after getting stuck in ice during a walrus hunt! https://t.co/a3M7OkgXKQ",
"2016-02-23 ","21:46:45","lisamurkowski","Thanks for stopping by! Great to be at your Salute to the Military this past weekend. https://t.co/spXqvEMd1S",
"2016-02-23 ","21:40:45","lisamurkowski","Proud to co-sponsor a bill to fight this issue: https://t.co/6MkHT0iNqh. https://t.co/uXmYBosRfL",
"2016-02-23 ","21:35:33","lisamurkowski","2 yrs &amp; 39 medevacs later, I asked Sec. Jewell if she knows the impacts of rejecting a lifesaving road in King Cove.
https://t.co/vLrLyMrAwr",
"2016-02-23 ","21:15:45","lisamurkowski","Incredibly honored! https://t.co/jUUKEtOdWT",
"2016-02-23 ","16:11:02","lisamurkowski","Sending prayers to @clairecmc for a quick and speedy recovery as she fights this battle with breast cancer. https://t.co/7Vtko66zx0",
"2016-02-18 ","19:38:38","lisamurkowski","The clean-up of legacy wells is a federal responsibility that has been ignored for far too long. https://t.co/LKAmyUgyh1",
"2016-02-18 ","05:49:26","lisamurkowski","Gorgeous day in Juneau! https://t.co/v7X0PDXwc1",
"2015-11-25 ","20:38:48","lisamurkowski","Alaskan Bonnie Carroll received Presidential Medal of Freedom Award. She's well deserving of this incredible honor! https://t.co/qOXtxFsYSR",
"2015-11-25 ","19:22:16","lisamurkowski","Proud to join @SenDanSullivan &amp; @repdonyoung to fight back against the latest chapter of #FederalOverreach in Alaska https://t.co/N69398RFsR","FederalOverreach"
"2015-10-29 ","18:45:26","lisamurkowski","On the line w/AK press discussing the anti-pirate fishing bill that passed. Making the distance btwn. AK &amp; DC work! https://t.co/o662lX94px",
