"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:38:50","SenShelby","It is critically important that we continue to prioritize diabetes research and work towards curing and preventing this disease.",
"2016-09-21 ","19:38:22","SenShelby","For 20 years, the Special Diabetes Program has worked to improve the lives of the more than 29 million Americans who suffer from diabetes.",
"2016-09-21 ","19:37:37","SenShelby","I joined my colleagues in sending a letter to Senate leaders reiterating my support of the Special Diabetes Program: https://t.co/81dLSuJzMM",
"2016-07-15 ","19:09:12","SenShelby","I'm proud that these young men &amp; women represent our state, and I know they'll go on to accomplish great things. https://t.co/So9OUVJ9AA",
"2016-07-15 ","19:07:29","SenShelby","It was a privilege to have six #AL students in my DC office during the 2nd session of my summer internship program. https://t.co/8PNt1pl37w","AL"
"2016-07-05 ","22:00:14","SenShelby","It is now up to @TheJusticeDept to ensure that Hillary Clinton is not treated as though she is above the law.",
"2016-07-05 ","21:59:23","SenShelby","All Americans should be held to the same standards &amp; DOJ should take a hard look at the FBI’s rebuke of Hillary Clinton’s e-mail practices.",
"2016-07-05 ","21:58:05","SenShelby","If @TheJusticeDept follows the FBI's recommendation, it could set a dangerous precedent.",
"2016-07-05 ","21:54:26","SenShelby","Today I sent a letter to @LorettaLynch regarding the FBI's recommendation that Hillary Clinton not be prosecuted: https://t.co/MZCpofxP69",
"2016-02-23 ","17:41:05","SenShelby",".@POTUS' plan to close Guantanamo &amp; move radical terrorists onto U.S. soil is imprudent &amp; reckless: https://t.co/oHE2w1r5xP",
"2016-02-18 ","21:09:07","SenShelby","Today I visited @Austal_USA in Mobile #AL and reaffirmed my commitment to the LCS program. I'm proud of their work. https://t.co/gqIGiSg9Av","AL"
"2016-02-18 ","19:06:43","SenShelby","I enjoyed being in studio with Sean Sullivan @fmtalk1065 today in Mobile. https://t.co/yUoZ3uqFd7",
"2016-02-18 ","17:51:01","SenShelby","I enjoyed visiting @AirbusUSA today and learning more about the great work they’re doing in South #AL. https://t.co/NxlaYAHLav","AL"
"2016-02-18 ","17:00:28","SenShelby","Congratulations to the 6 #AL companies selected as @USChamber Blue Ribbon recipients: https://t.co/imsKOPqdCu.","AL"
"2015-11-30 ","17:41:58","SenShelby","Read more about my visit to @AuburnU from @oanow: https://t.co/Ql4s5UVNWc",
"2015-11-30 ","17:41:05","SenShelby","I enjoyed touring @AuburnU's Advanced Engineering Research Lab &amp; visiting with students this past weekend. https://t.co/t4sRWFMhOc",
"2015-10-29 ","21:48:00","SenShelby","ICYMI - I just spoke about my strong opposition to the #BudgetDeal on the Senate floor: https://t.co/hQvMaPGnWg.","BudgetDeal"
"2015-10-29 ","17:32:16","SenShelby","ICYMI: A clip from my interview with @abc3340 yesterday - https://t.co/U6IpwFVg48",
"2015-10-29 ","15:54:56","SenShelby","I'll be on Yellowhammer Radio at 11:30am CT w/ @Cliff_Sims to discuss my opposition to the #BudgetDeal &amp; more: https://t.co/yAOL46u3TB","BudgetDeal"
"2015-09-29 ","15:54:30","SenShelby","It was great to meet members from the #AL @AmericanCancer Society Cancer Action Network in Washington today. http://t.co/842lr05tLJ","AL"
"2015-07-14 ","22:18:45","SenShelby","ICYMI - Listen to my interview on the @IngrahamAngle show today regarding #SanctuaryCities: http://t.co/YPa7MVcqY9","SanctuaryCities"
"2015-07-14 ","19:36:32","SenShelby","I spoke to @WVTM13 today about why I think that the #Iran nuclear agreement is a bad deal for the American people. http://t.co/oDJpHsT1KC","Iran"
"2015-07-14 ","14:33:43","SenShelby","I'm about to be on radio w/ @IngrahamAngle to discuss my call to end funding for sanctuary cities that circumvent federal immigration laws.",
"2015-06-09 ","20:56:28","SenShelby","It was an honor to meet James Strong, the 2015 @CMNHospitals Champion for #AL, and his family in DC today. http://t.co/g4AxZj1eCr","AL"
"2013-07-24 ","21:31:55","SenShelby","We heard POTUS talk about jobs &amp;the economy today, but he offered the same stale rhetoric. We need fresh, bold ideas. http://t.co/DBIxf9oOxD",
"2013-07-24 ","19:19:35","SenShelby","WATCH: Shelby responds to Obama mention of Airbus and Mobile, Alabama  http://t.co/J89FwE4NVW",
"2013-07-24 ","18:12:02","SenShelby","TUNE IN: Senator Shelby will appear on CNN at 2:30 p.m. EST. to discuss President Obama's remarks today on the economy.",
"2012-12-12 ","16:41:14","SenShelby","WATCH: Sen. Shelby talks #fiscalcliff, #taxes with @TeamCavuto on @FoxBusiness http://t.co/XyURuDct","fiscalcliff taxes"
