"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:09:53","JohnBoozman","Little Rock Nine are featured @NMAAHC. Their effort to integrate Central HS was an important step toward ending segregation #apeoplesjourney https://t.co/XyLah8219H","apeoplesjourney"
"2016-09-21 ","19:07:26","JohnBoozman","Fighting to keep catfish safe for #Arkansas. @USDA Sec. says 'no question' agency inspection 'more thorough'  https://t.co/tfXGn2B7gg","Arkansas"
"2016-09-21 ","18:45:35","JohnBoozman","Great commitment by @GeorgiaPacific to the community of Gurdon, #Arkansas 
https://t.co/BESXdXxspC","Arkansas"
"2016-09-21 ","18:19:58","JohnBoozman",".@SenatorCardin &amp; I are pushing for Wall of Remembrance to recognize #KoreanWar sacrifices &amp; got Senate approval: https://t.co/d0AwiQ0zF5","KoreanWar"
"2016-09-21 ","17:26:51","JohnBoozman","I was honored to nominate Buck &amp; DeAndra Gibson of Searcy, #Arkansas as a 2016 Congressional Angels in Adoption. Thank you for your advocacy https://t.co/OahgqwIcq2","Arkansas"
"2016-09-21 ","15:21:00","JohnBoozman","Col. (retired) English shares what he hopes people will learn from his intvw that will be part of @librarycongress #Veterans History Project https://t.co/cFctNNYCUF","Veterans"
"2016-07-15 ","14:13:08","JohnBoozman","Appreciate my colleague @SenatorLeahy helping lead the charge to recognize our nation's tree farmers https://t.co/E1RDBDYWgJ",
"2016-07-15 ","00:45:46","JohnBoozman","Our prayers go out to the people of France after yet another horrific terror attack. We must be united against terror. We stand with #France","France"
"2016-07-15 ","00:17:01","JohnBoozman","Congrats #BYD on the victory in the Battle of the Golden #Razorback. Thanks to @SenTomCotton's team for a great game https://t.co/cbiSgLYaYj","BYD Razorback"
"2016-07-05 ","21:25:19","JohnBoozman","Thanks @RepWesterman &amp; @RepFrenchHill for participating in my #Arkansas Summer Intern Speaker Series. #arpx https://t.co/basWkIiIoq","Arkansas arpx"
"2016-07-05 ","20:26:01","JohnBoozman","Connecting with #Arkansans 'Telephone Town Hall Sheds Light On Concerns Of Arkansans' via @BoonevilleDemo https://t.co/ZS3J3YxCU2","Arkansans"
"2016-07-05 ","19:43:09","JohnBoozman","Anita served w/@arkansasguard before joining my team. She is a great asset &amp; advocate for #Arkansas #veterans. https://t.co/K6JiAGTC77","Arkansas veterans"
"2016-07-05 ","18:58:02","JohnBoozman","Great news for @SenateCommerce 'OKs waiver for @DQSteamboat.' Proud to support the bill via @ArkansasOnline https://t.co/p9i9GTSq03",
"2016-02-23 ","20:39:14","JohnBoozman","POTUS is wrong on #Gitmo. Transferring detainees to US soil creates needless national security risks: https://t.co/eJyhjkPDvQ","Gitmo"
