"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:48:03","JeffFlake","After unaimous passage through Congress, I hope  @POTUS will sign the #ENDWildlifeTrafficking Act I intro'd w/ @ChrisCoons","ENDWildlifeTrafficking"
"2016-09-21 ","14:49:51","JeffFlake",".@DailyMiner's @HubbleRay writes on my effort w @SenJohnMcCain to give @mohavecounty more control over its lands https://t.co/dFyJp4uQid",
"2016-07-15 ","16:56:57","JeffFlake","There is nobody in politics I respect more than @mike_pence. He is a valued friend and a good man. He adds a great deal to the ticket.",
"2016-07-05 ","22:27:28","JeffFlake","Yeah, but you oughta see the other mountain biker... https://t.co/HHIIghP2Pi",
"2016-06-10 ","00:50:12","JeffFlake","My view right now. Sunset over the Potomac. https://t.co/a1MfpXdkUI",
"2016-02-18 ","17:40:55","JeffFlake","We want the Cuban people to live fuller, freer lives. @POTUS visit to Cuba, along with our new policy, helps us achieve that goal.",
"2016-02-18 ","16:35:56","JeffFlake","After watching their gov't sputter down the last mile of socialism in a 57 Chevy, imagine what Cubans will think when they see Air Force One",
"2016-02-18 ","03:51:15","JeffFlake","This is welcomed news! Positive for Cubans and Americans. https://t.co/EBqHajDIdt",
"2015-11-25 ","04:25:23","JeffFlake","Kudos to @GregAbbott_TX for leading trade delegation to Cuba. A step forward for Texans and Cubans. https://t.co/DQDghO9Lfq",
"2015-10-29 ","19:08:12","JeffFlake","“A few thoughts about Paul Ryan. ” — @JeffFlake https://t.co/EXfizlNqSh https://t.co/AVea61kA6j",
"2015-10-29 ","15:53:33","JeffFlake","Congrats to @RepPaulRyan, the new Speaker of the House. A good man at the right time.",
"2015-07-14 ","11:02:41","JeffFlake","An #Iran deal is reached.  Look forward to details on access to sites, timing on sanctions relief, remedies for non compliance, etc","Iran"
"2015-06-15 ","03:11:06","JeffFlake","Cuban &amp; American flags stand together in the Foreign Ministry in Havana. Times they are a-changin' - for the better. http://t.co/WDrYAnIyLi",
"2015-06-09 ","18:28:25","JeffFlake","Introducing bipartisan #AUMF language drafted with @timkaine this afternoon in Senate Foreign Relations Committee #SFRC","AUMF SFRC"
"2014-10-22 ","19:03:43","JeffFlake","Wondering what 2014's ""shrimp on a treadmill"" is? I'd bet it's mountain lions on a treadmill @TomCoburn's #Wastebook http://t.co/bdx8l85Yrm","Wastebook"
"2014-10-22 ","17:34:17","JeffFlake","$387,000 to give Swedish massages to rabbits? That's a hare past ridiculous. @TomCoburn's #Wastebook http://t.co/qvJYcRaWDu","Wastebook"
"2014-05-21 ","18:53:14","JeffFlake","My response to the president’s remarks on the widening #VA scandal http://t.co/YPhHLti1MU","VA"
"2014-04-01 ","23:53:07","JeffFlake","Dusk in Washington. Some views just never get old. http://t.co/gJ7wJasqeA",
"2014-04-01 ","23:17:52","JeffFlake","Pleased to see AZ ports of entry among those set to receive additional U.S. Customs and Border Patrol officers http://t.co/rp9KbYbxSW",
"2014-04-01 ","14:31:00","JeffFlake","$5M for @StateDept stemware? No #AprilFoolsDay prank here. That and more in my @foxandfriends Elite #8ofWaste recap http://t.co/Cz0HLlDotH","AprilFoolsDay 8ofWaste"
"2014-02-18 ","18:52:07","JeffFlake","@BuzzFeedAndrew I also voted to defund a program that spent $1 million in '13 to promote U.S. candy abroad despite my notorious sweet tooth",
"2013-09-14 ","18:43:53","JeffFlake","Nothing like being back in Snowflake, says Dallin http://t.co/69udKw4U18",
"2013-07-24 ","00:15:09","JeffFlake","My view right now. Not bad at all. http://t.co/TTYGS3EVVH",
"2013-06-05 ","18:42:31","JeffFlake","Just met with RSC members (conservative Republicans) in the House of Representatives to discuss Senate immigration reform bill",
"2013-04-19 ","00:35:01","JeffFlake","Bipartisan press conference with @SenJohnMcCain and other #gangof8 members to launch immigration reform bill. http://t.co/qFPaM6THv8","gangof8"
"2011-01-12 ","17:42:57","JeffFlake","I delivered a speech on the House Floor today honoring the victims of the shooting in Tucson. http://ht.ly/3CEfx",
"2011-01-08 ","21:02:29","JeffFlake","Praying for Rep. Giffords, her staff, and others injured. She’s tenacious, and I pray that that trait aids her as she receives treatment.",
"2011-01-07 ","19:41:35","JeffFlake","Here’s the winner of our Best Bad Pun Earmark contest: http://ht.ly/3Aa0H",
"2009-11-03 ","20:40:53","JeffFlake","Sitting around a table with my Republican colleagues, reading the massive Pelosi healthcare bill. Haven’t found anything good in it yet.",
"2009-11-03 ","18:00:24","JeffFlake","If congressmen won’t opt-in to the public option, it’s gotta be a bad plan http://bit.ly/1zfKOo",
