"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:22:01","BarbaraBoxer",".@realDonaldTrump calling for expansion of stop &amp; frisk in black communities is your outreach to African Americans? https://t.co/iJcdDgMfQ4",
"2016-07-15 ","19:45:38","BarbaraBoxer","VP pick is the most important decision a candidate makes. Trump picked someone with a right-wing record on steroids. https://t.co/MeZqsm0BGz",
"2016-07-05 ","21:18:38","BarbaraBoxer","Why doesn’t @ChuckGrassley stop wasting time with political attacks on Hillary and call a hearing on Judge Garland. #DoYourJob","DoYourJob"
"2015-10-29 ","18:23:16","BarbaraBoxer","The press was right about Nixon. https://t.co/ez7V17biZI",
"2015-10-29 ","02:09:26","BarbaraBoxer","Hearing a lot of GOP lip service tonight about income inequality but every one of their policies is a big wet kiss for the rich. #GOPDebate","GOPDebate"
"2015-10-29 ","02:03:05","BarbaraBoxer","Suddenly they all care about wages. How about raising the minimum wage? #GOPDebate #RaiseTheWage","GOPDebate RaiseTheWage"
"2015-10-29 ","01:57:47","BarbaraBoxer","Cruz, Rubio and the Republicans are all attacking the press the way Nixon used to. #GOPDebate","GOPDebate"
"2015-10-29 ","01:48:57","BarbaraBoxer","Fiorina is running on her terrible record and is now attacking one of California's great companies that she brought to its knees. #GOPDebate","GOPDebate"
"2014-05-21 ","20:22:40","BarbaraBoxer","Let’s #soundthealarm on #climatechange! Join @SheldonforRI and me at 5 p.m. to sound the alarm on climate change. http://t.co/OxPdvTjqOk","soundthealarm climatechange"
"2014-05-21 ","00:37:04","BarbaraBoxer","Let’s #soundthealarm on #climatechange -- join me &amp; @SheldonforRI for the rally at 5 p.m. tomorrow, online or in DC: http://t.co/OxPdvTjqOk","soundthealarm climatechange"
"2012-08-03 ","22:12:37","BarbaraBoxer","George Romney, after releasing 12 yrs of tax returns: “One year could be a fluke, perhaps done for show.” #FatherKnowsBest","FatherKnowsBest"
"2012-08-03 ","21:03:37","BarbaraBoxer","Romney’s father released 12 years of returns. @MittRomney should do the same. #FatherKnowsBest","FatherKnowsBest"
"2012-08-03 ","20:22:36","BarbaraBoxer","Did @MittRomney pay his fair share for our military, our veterans, our roads &amp; bridges? There’s only one way to know. #taxreturns","taxreturns"
"2012-08-03 ","19:35:36","BarbaraBoxer","The American people need to know how many millions of dollars @MittRomney shipped overseas – along with American jobs. https://t.co/32HrAhSu",
