"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:53:48","SenCoryGardner","The @DeptVetAffairs grossly mismanaged the Aurora hospital construction project from day one. Full statement on newly released report below. https://t.co/w1i0PH9iBq",
"2016-07-15 ","18:56:43","SenCoryGardner","Be sure to read the op/ed I wrote with @SenGaryPeters &amp; Norm Augustine about keeping America competitive: https://t.co/fTpeXWIDEg",
"2016-07-15 ","02:39:58","SenCoryGardner","Sickened by another apparent terrorist attack in Europe. The U.S. stands shoulder to shoulder with the people of France.",
"2016-07-05 ","17:58:48","SenCoryGardner","Congrats to @NASAJuno, @CUBoulder, &amp; those involved in the #JunoMission. I’m proud CO continues to be at the forefront of space exploration","JunoMission"
"2016-06-10 ","15:53:07","SenCoryGardner","I joined my colleagues to fight the @USDOL's one-size-fits-all overtime rule that will hurt CO small businesses: https://t.co/1dXtnA8cfA",
"2016-02-23 ","16:23:33","SenCoryGardner","I spoke with @NPR about @POTUS' reckless plan to move #GTMO terrorists to the U.S.: https://t.co/pMoyUjUBzA","GTMO"
"2016-02-23 ","16:06:30","SenCoryGardner","Moving #GTMO terrorists to the U.S. is a grave threat to Colorado and our national security: https://t.co/UUy9NgBsRk","GTMO"
"2016-02-18 ","20:38:00","SenCoryGardner","My #NKSPEA provides a new policy of strength, designed to stop the Forgotten Maniac: https://t.co/aqykG8BiPN","NKSPEA"
"2016-02-18 ","20:25:53","SenCoryGardner","My #NKSPEA is the first law to mandate sanctions against North Korean cyber activities: https://t.co/aqykG8BiPN","NKSPEA"
"2016-02-18 ","20:22:05","SenCoryGardner","My #NKSPEA mandates secondary sanctions on those helping the North Korean regime: https://t.co/aqykG8BiPN","NKSPEA"
"2016-02-18 ","20:03:18","SenCoryGardner","President Obama Signs Gardner's North Korea Sanctions Bill into Law: https://t.co/aqykG8BiPN",
"2016-02-18 ","16:43:07","SenCoryGardner","Sign up for my e-newsletter to stay up to date with my work in Washington and Colorado: https://t.co/mR6zKq0YsH https://t.co/hd8fdYYT59",
"2015-10-29 ","20:08:26","SenCoryGardner","Read about my bill with @SenMikeLee to cut back on onerous federal regulations: https://t.co/QcBIUSeXOU",
"2015-10-29 ","17:44:17","SenCoryGardner","Glad to work with @SenatorShaheen on a bill to help identify the major role outdoor recreation plays in the economy: https://t.co/FQs0nZhtrL",
"2015-10-29 ","15:57:57","SenCoryGardner","I believe in @PRyan and his vision for our nation. He will make a great Speaker of the House.",
"2015-09-29 ","19:36:33","SenCoryGardner","I've asked HHS Secretary Burwell for an update on the solvency of Colorado HealthOP: http://t.co/0dh4icZyt9",
"2015-09-29 ","18:22:43","SenCoryGardner","At 12:30 MDT, Sen. Gardner will chair a subcommittee hearing on the future of the U.S.-China relationship. Watch: http://t.co/lOn4XOyjVj",
"2015-09-29 ","18:13:30","SenCoryGardner","Great to meet with students from @AspenCountryDay school on the Senate steps today. http://t.co/0fRq3f1v8F",
"2015-09-29 ","15:31:33","SenCoryGardner","Thursday, I'm chairing a Small Business Comm. hearing on the impact of the Gold King Mine spill on local business: http://t.co/mpJOLfW5pS",
"2015-07-14 ","20:40:17","SenCoryGardner","Senator Gardner will be on the @hughhewitt show tonight at 4:30pm Mountain / 6:30pm Eastern. Listen at http://t.co/dZzStXkvSM",
"2015-07-14 ","20:32:05","SenCoryGardner","Can't wait to be on, Hugh! https://t.co/5I8jA9PJVM",
"2015-07-14 ","17:27:37","SenCoryGardner","This clause places Iran on the Joint Commission monitoring Iran's compliance with the #IranDeal. http://t.co/tvf4mz4agK","IranDeal"
"2015-07-14 ","16:54:07","SenCoryGardner","Section of the #IranDeal on inspections. Sound like the ""Anywhere, Anytime"" inspections the Administration promised? http://t.co/LntH7GqhUv","IranDeal"
"2015-07-14 ","16:26:46","SenCoryGardner","Iran sponsors terror worldwide. Against America, Israel, others. What will they do with billions in sanctions relief? With no arms embargo?",
"2015-07-14 ","16:26:41","SenCoryGardner","Iranian-backed militias have killed Americans in Iraq. Iran backs the Houthis in Yemen, Hezbollah in Lebanon, Assad in Syria.",
"2015-07-14 ","16:01:39","SenCoryGardner","Great to see New Horizons, with Colorado technology from Boulder, Littleton, Longmont, and elsewhere, reach Pluto. http://t.co/GYrYQw2f7T",
"2015-07-14 ","13:32:22","SenCoryGardner","The Administration's false choice - either support their bad deal or be in favor of war in the Middle East - must be rejected categorically.",
"2015-07-14 ","13:30:06","SenCoryGardner","This deal is an accommodation of a regime whose President proudly walks in front of parades chanting ""Death to America"" &amp; ""Death to Israel"".",
"2015-07-14 ","13:26:08","SenCoryGardner","Sanctions relief in this deal would give Iran billions to pour directly into their network of international terrorist organizations.",
"2015-07-14 ","13:25:11","SenCoryGardner","This deal would make Iran a globally-approved nuclear threshold state. It would put Israel in severe danger.",
"2015-07-14 ","13:24:18","SenCoryGardner","Deal lifts the arms embargo against Iran, the world's largest state sponsor of terror. And the more detail we learn, the worse it seems.",
"2015-06-15 ","21:50:03","SenCoryGardner","More information on tomorrow's subcommittee hearing, including location and witness information, at http://t.co/le6etceSOO.",
"2015-06-15 ","21:49:48","SenCoryGardner","Sen. Gardner will chair a hearing on 'Strategic Implications for the U.S. from Trade in the Asia-Pacific Region' tomorrow, 12:30 p.m. MDT.",
"2015-06-15 ","16:01:59","SenCoryGardner","Cooperation between state and local officials and smart long-term planning will be required to make the needed I-25 expansion happen.",
