"Date","Time","screen_name","text","hashtags"
"2015-07-14 ","15:43:32","SenChrisDodd",".@KateNocera still shaking it off today but nothing better than 5 hours with my daughters @taylorswift13 #1989TourDC http://t.co/O8Bx9FSejo","1989TourDC"
"2009-04-01 ","16:36:55","SenChrisDodd","Just wanted to say thank you to MLN for hosting my live chat this morning. Really enjoyed it and look forward to doing this again.",
"2009-04-01 ","13:18:43","SenChrisDodd","Congratulations to the UConn Women Basketball team for advancing to the Final Four for the second year in a row!",
"2009-03-27 ","23:01:36","SenChrisDodd","@clairecmc It's a deal. GO HUSKIES!!",
"2009-03-27 ","22:32:05","SenChrisDodd","@clairecmc I'll put up some New Haven apizza for you and your staff that UConn comes out on top.",
"2009-03-27 ","22:31:35","SenChrisDodd","@clairecmc How about a friendly wager on tomorrow's Elite Eight game between my Huskies and your Tigers?",
"2009-03-27 ","21:23:17","SenChrisDodd","Looking forward to a great game against @clairecmc 's Tigers tomorrow. Here is hoping my UConn Huskies come out on top!",
"2009-03-27 ","17:38:07","SenChrisDodd","Happy to see that the US Mint has introduced the first coin with readable Braille. http://tinyurl.com/cljlhs",
"2012-12-12 ","19:20:45","JoeLieberman","In case you missed it, my farewell floor speech: http://t.co/kX7OkxyT",
"2012-12-12 ","18:11:31","JoeLieberman","Heading to the Senate Floor to give my farewell speech.  Watch live at 1:30: http://t.co/HavVqp6I",
"2012-12-12 ","13:50:23","JoeLieberman","Today at about 1:30, I will deliver my farewell speech on the Senate floor. I'm so very grateful to #CT for the opportunity to have served.","CT"
"2012-07-18 ","18:53:03","JoeLieberman","Honored to meet w/ an impressive int’l ldr, Tibetan Kalon Tripa Lobsang Sangay. We discussed human rights in #Tibet. http://t.co/8iKAi6is","Tibet"
"2012-07-18 ","18:22:13","JoeLieberman","Spoke to group of @NoLabelsOrg supporters.  Believe they are making a difference in changing the tone in DC. http://t.co/2ZpYCEVn",
"2012-05-18 ","19:56:54","JoeLieberman","ICYMI -- My op-ed in today's @washingtonpost: #Syria's only hope   http://t.co/st6IGj8W","Syria"
"2011-01-10 ","20:06:30","JoeLieberman","Watch the full video of my interview with @WFSBnews ""Face the State"" here: http://www.wfsb.com/local-video/index.html",
