"Date","Time","screen_name","text","hashtags"
"2012-08-03 ","17:22:07","TomCarperforDE","Come November, there is only one clear choice - the candidate who has a plan to protect the middle class. http://t.co/JMeJcLxn #NetDE","NetDE"
"2012-08-03 ","17:12:07","TomCarperforDE","#FF @RueMarkell @webackjack @Matt_Denn @nicolepoore12 @John_Carney @ADGemmell @falgo23","FF"
"2012-08-03 ","14:01:17","TomCarperforDE","This @Spotify playlist gives you a little peek into what I'm listening to on my iPod. #netDE ♫ Tom Carper http://t.co/M9S1ksc7 #Spotify","netDE Spotify"
"2012-07-18 ","12:01:01","TomCarperforDE","Happy Birthday Senator @MarkUdall!",
"2012-05-18 ","16:01:42","TomCarperforDE","Joining @DEDOgov at 1st State Community Loan Fund Annual Lunch to recognize their hard work &amp; dedication to #Delaware. #NetDE","Delaware NetDE"
"2012-05-18 ","14:33:56","TomCarperforDE","#DHIN is the lubrication to the health care system and to lowering costs. #netde","DHIN netde"
"2012-05-18 ","14:18:38","TomCarperforDE","What we're really trying to do is make a paradigm shift in the way we provide healthcare. #netde #dhin http://t.co/4QZ8hJfP","netde dhin"
"2012-05-18 ","14:13:55","TomCarperforDE","That which looks like a no brainer today didn't always look like a no brainer. Well said, @GovernorMarkell. #netde #DHIN","netde DHIN"
"2012-05-18 ","13:01:46","TomCarperforDE","Celebrating the 5th anniv. of #DHIN which improves patient care while lowering costs. #NetDE","DHIN NetDE"
"2012-05-18 ","12:22:50","TomCarperforDE","Ready, set, go! Be safe biking to work everyone. http://t.co/iCeFhPtu",
"2012-05-18 ","12:18:19","TomCarperforDE","One of the big pillars of our economy is tourism. If every other state can have a ntl park, we can share our history too. #netde","netde"
"2012-05-18 ","12:16:57","TomCarperforDE","At Bike-to-Work at Trabant Student Center! http://t.co/nBWSp1Uc",
"2012-05-18 ","12:05:34","TomCarperforDE","Getting ready for Bike-to-Work Event http://t.co/UOMMvyxo",
"2012-05-18 ","12:01:10","TomCarperforDE","Happy Birthday @SenatorTomUdall!",
"2012-03-31 ","12:05:15","TomCarperforDE","Happy Birthday @SenatorLeahy!",
"2012-03-31 ","12:01:24","TomCarperforDE","Happy Birthday @SenatorBegich!",
"2012-03-31 ","11:30:30","TomCarperforDE","Prayer Breakfast at Milford Senior Center with @ChrisCoons to honor the vision of a world brought together by faith. #NetDE","NetDE"
