"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:51:34","sendavidperdue","#Georgia is #1 state for peanuts, broilers, pecans, blueberries &amp; #2 in cotton. Regulation is GA farmers top issue. https://t.co/pK7ypoQ7EQ","Georgia"
"2016-09-21 ","21:06:44","sendavidperdue","Wanted to share this photo of our DC #intern for the fall. I'm grateful for each student's hard work! https://t.co/WboZ2FWDnw","intern"
"2016-07-15 ","19:40:16","sendavidperdue","America stands in solidarity with France. These extremists must be brought to justice once and for all. #NiceAttack https://t.co/5H2xwtME7t","NiceAttack"
"2016-07-05 ","21:58:26","sendavidperdue","Secretary Clinton is NOT above the law. RT if you agree! https://t.co/ZDDyjJfhKo",
"2016-07-05 ","17:35:54","sendavidperdue","It’s crucial to have someone with experience outside of #Washington in the U.S. Senate. #gapol https://t.co/Peujo6W5Hc","Washington gapol"
"2016-07-05 ","17:30:13","sendavidperdue","Congratulations, Jack Bauerle! @universityofgeorgia #Rio2016 #olympics https://t.co/B3JrWFhz4Z","Rio2016 olympics"
"2016-07-05 ","14:31:09","sendavidperdue","Are you an educator looking for a job? @CobbSchools is hiring! #gajobs https://t.co/IS6ZcaqUZB","gajobs"
"2016-06-10 ","13:46:31","sendavidperdue","National debt is undermining our ability to fully support out national defense priorities. #NDAA #gapol https://t.co/Srah2EabBT","NDAA gapol"
"2016-06-10 ","13:45:03","sendavidperdue","@CDGSU thanks for coming by! Great to meet you.",
"2016-02-23 ","20:39:24","sendavidperdue","Joined Judiciary colleagues to tell McConnell we won't hold hearing on #SCOTUS nominee until next POTUS is sworn in. https://t.co/fo9akXw49O","SCOTUS"
"2016-02-23 ","20:30:29","sendavidperdue","Wrote letter to @SenateMajLdr demanding we exercise our Constitutional authority and withhold consent of #SCOTUS nomination. #gapol","SCOTUS gapol"
"2016-02-23 ","20:00:23","sendavidperdue","Proud to work alongside these great leaders. @Senate_GOPs https://t.co/BcW2FOxRny @rollcall",
"2016-02-23 ","17:22:55","sendavidperdue","Americans will not stand the thought of placing terrorists on U.S. soil. #GITMO https://t.co/KEt7DAPcID https://t.co/YQcVDkPieR","GITMO"
"2016-02-18 ","19:04:59","sendavidperdue","We cannot allow the President to continue to use the judicial system to achieve his liberal agenda: https://t.co/LeQzx6gRlI #SCOTUS","SCOTUS"
"2016-02-18 ","17:00:12","sendavidperdue","Great story about @shorteruniv teaming up w/ local school to promote #literacy. Way to go! https://t.co/FAmbdHH87s","literacy"
"2015-11-30 ","21:00:36","sendavidperdue","Enjoyed speaking w/ @spencer_chase about GA #agriculture priorities in U.S. Senate. Watch here: https://t.co/QxxelTExbJ","agriculture"
"2015-11-30 ","17:15:52","sendavidperdue","#CyberMonday alert: #CFPB is collecting Americans' spending habits with little oversight, via @usnews: 
https://t.co/10trdQOt5B","CyberMonday CFPB"
"2015-11-25 ","17:16:49","sendavidperdue","What consumers don't know about #BlackFriday via @usnews https://t.co/zsEfDva1LX","BlackFriday"
"2015-11-25 ","17:16:01","sendavidperdue","Here's a link to an op-ed I wrote about the #CFPB's role in #BlackFriday via @usnews https://t.co/zsEfDva1LX","CFPB BlackFriday"
"2015-11-25 ","00:54:02","sendavidperdue","Thanks to @RobinsAFB_GA for our tour &amp; briefing today on the Air Force Reserve Command and the JSTARS fleet. https://t.co/ImYlIKA7oQ",
"2015-10-29 ","13:54:52","sendavidperdue","Poultry is vital to GA's Ag economy. Enjoyed speaking w/ @chickencouncil this morning about this important industry. https://t.co/n4Scbkzis3",
"2015-09-29 ","20:51:39","sendavidperdue","KIPP Strive Academy, and Rosemont Elementary - Georgia's 2015 National Blue Ribbon Recipients. (3/3)",
"2015-09-29 ","20:51:17","sendavidperdue","First Presbyterian Day School - Elementary, Hoboken Elementary, John S. Davidson Fine Arts School, Johns Creek Elementary School (2/3)",
"2015-09-29 ","20:50:58","sendavidperdue","Congratulations Alexander II Math &amp; Magnet School, Clairemont Elementary, Esther F. Garrison School of Visual &amp; Performing Arts (1/3)",
"2015-09-29 ","20:31:34","sendavidperdue","Georgia celebrates 9 honored as a 2015 National Blue Ribbon School. Thank you for making education your top priority! http://t.co/mxjxnAu1nk",
"2015-07-14 ","18:35:04","sendavidperdue","From a business perspective, the lack of transparency coming from the @StateDept re FLETC is alarming. RT if u agree. http://t.co/T4Kv98ktmc",
"2015-07-14 ","12:47:45","sendavidperdue","""Right now, I remain extremely concerned the #IranDeal doesn't go far enough..."" Read my full statement here: http://t.co/XQYM7gmwoT","IranDeal"
"2015-07-14 ","11:35:05","sendavidperdue","Time to break out your costumes and cow bells, for FREE @ChickfilA...Today is #CowAppreciationDay!  http://t.co/BY7FCT2WUq","CowAppreciationDay"
"2015-06-09 ","22:47:21","sendavidperdue","We need a full and fair cost analysis for @StateDept's training facilities: http://t.co/T1j9IPvTU0",
"2015-06-09 ","16:03:07","sendavidperdue","I recently introduced amendments to combat President Obama's failed Middle East strategy: http://t.co/oNyzjaYIc5",
"2015-06-09 ","15:13:47","sendavidperdue","Great to hear that the South Georgia Pecan Company is expanding its business and creating jobs in #Georgia! http://t.co/W9995ufwBN","Georgia"
"2015-06-09 ","14:22:43","sendavidperdue","It was great to meet with members of @AIPAC today, because the U.S.-Israel relationship is both special and strategic http://t.co/dCQfmfJHY5",
"2014-05-21 ","19:51:47","SaxbyChambliss","I am happy to welcome this summer's first session interns to D.C. http://t.co/ZuEoiHZvtH",
"2013-04-19 ","15:13:56","SaxbyChambliss","Don't forget - if you would like to learn more about applying to a military academy, join us this weekend: http://t.co/yrDcjDTEde #gapol","gapol"
"2013-03-11 ","20:35:24","SaxbyChambliss","As the conclave begins tomorrow, I'm reminded of my visit with Pope John Paul II in 2003. Follow me on… http://t.co/Le2wwsIM4w",
"2012-12-12 ","19:11:21","SaxbyChambliss","Great call this AM w #Ga small biz owners. Obamacare is going to be brutal for these folks. Kills jobs &amp; needs to be repealed @NFIB  #gapol","Ga gapol"
"2012-12-12 ","15:59:06","SaxbyChambliss","It was great meeting with Sens. Murphy and Balfour, and Hon. Jack Murphy, Jimmy Pruett, Renee Unterman and Larry... http://t.co/EnHdpCec",
"2012-09-25 ","16:10:46","SaxbyChambliss","I was pleased to finally present Stanley M. Sasine with the Bronze Star, a Combat Infantry Badge and a Ranger Tab... http://t.co/M9BL8brA",
"2012-08-03 ","15:01:43","SaxbyChambliss","Went to Walter Reed Army Medical Center this morning to visit with 3 GA soldiers.  Brave men.  I can never thank them enough",
