"Date","Time","screen_name","text","hashtags"
"2012-12-12 ","21:45:06","SenatorAkaka","Senator Akaka's farewell speech to the United States Senate: http://t.co/eF3RBXBu",
"2012-12-12 ","16:01:33","SenatorAkaka","Senator Akaka's remarks will be aired live on C-SPAN2 and Hawaii morning shows, or here: http://t.co/MmdPlx0P",
"2012-12-12 ","16:01:03","SenatorAkaka","Senator Akaka's aloha (farewell) speech on the Senate floor is set for today at 6:30 am Hawaii Time, 11:30 am Eastern.",
"2012-12-12 ","01:17:36","SenatorAkaka","Senator Akaka's aloha (farewell) speech on the Senate floor is set for tomorrow at 6:30 am Hawaii Time, 11:30 am Eastern.",
"2012-12-12 ","00:59:34","SenatorAkaka","@SenatorReid ""As [we] worked to bring our troops home...Akaka labored w/ VA to meet the needs &amp; challenges of a new generation of veterans.""",
"2012-12-12 ","00:48:48","SenatorAkaka","@SenatorDurbin ""But more importantly what Dan Akaka leaves behind is...kinship and camaraderie...with so many members of the Senate.""",
"2012-12-12 ","00:47:37","SenatorAkaka","@SenatorDurbin ""The legacy that Sen Akaka leaves behind is substantial when it comes to legislation, particularly in helping veterans...""",
"2012-12-12 ","00:46:32","SenatorAkaka","@SenatorReid ""Dan has been a strong voice and tireless advocate for Native Americans. He has taught us all about the history of Hawaii...""",
"2012-12-12 ","00:44:32","SenatorAkaka","@SenatorReid and @SenatorDurbin praise retiring Senator Akaka on the Senate floor http://t.co/dEcFhWyO",
"2012-07-18 ","20:08:10","SenatorAkaka","CNBC: ""What more needs to be done?"" asks Akaka about financial responsibility. ""It's an ongoing battle,"" says Bernanke. http://t.co/gD1wHVOW",
"2012-12-12 ","21:17:55","Daniel_Inouye","@SenatorAkaka is the spirit of Aloha. http://t.co/DjS9Brwa",
"2012-09-25 ","19:55:09","Daniel_Inouye","Senator Inouye discussed the Asia Pacific with Leila Delima Secretary of Justice of the #Philippines","Philippines"
"2012-09-25 ","15:38:59","Daniel_Inouye","Senator Inouye is discussing #Israel and the Middle East with @AmbassadorOren from @IsraelinUSA","Israel"
"2012-05-18 ","19:31:16","Daniel_Inouye","Senator Inouye, Fawaz Bilbeisi, her majesty Princess Aisha Bint Al Hussein of #Jordan and Ambassador Alia Bouran http://t.co/pGhFH2VR","Jordan"
"2012-05-18 ","19:24:45","Daniel_Inouye","@ENERGY makes $500K available to test wave energy device in #Hawaii. @SenatorAkaka @maziehirono @RepHanabusa http://t.co/rTLChAfQ","Hawaii"
"2012-05-18 ","19:22:52","Daniel_Inouye","Hawaii farmers and ranchers to receive transportation reimbursements. @SenatorAkaka @maziehirono @RepHanabusa http://t.co/GxzjAKcV",
"2012-05-18 ","19:02:39","Daniel_Inouye","Senator Inouye is meeting with her majesty Princess Aisha Bint Al Hussein and Ambassador of #Jordan Alia Bouran","Jordan"
"2012-05-18 ","18:35:53","Daniel_Inouye","Senator Inouye is meeting with Steve Whisnant from @USOlympic",
"2012-05-18 ","18:06:00","Daniel_Inouye","Senator Inouye is meeting with Rigely Evers and Shawna Francis Watley from SCORE Hawaii in the Hart Senate office building.",
"2012-02-19 ","08:18:40","Daniel_Inouye","Senator Inouye is back home in Honolulu, #Hawaii","Hawaii"
"2011-01-14 ","22:14:27","Daniel_Inouye","Sen. Inouye is headed to lunch @UncleSamChoy's Breakfast, Lunch and Crab with @MayorCarvalho and Mayors Alan Arakawa and William P. Kenoi.",
"2011-01-14 ","21:20:26","Daniel_Inouye","Senator Inouye is meeting with Governor @neilabercrombie and Lt. Gov. @brianschatz at the Hawaii State Capitol. #Hawaii","Hawaii"
"2011-01-14 ","20:39:13","Daniel_Inouye","""Realism dictates that we should consider the mood of the people of United States.""  @chadblairCB @CivilBeat http://bit.ly/fPQTeW",
"2011-01-14 ","20:12:15","Daniel_Inouye","Sen. Inouye is at the State Capitol meeting with Senate President Shan Tsutsui and @SenGaluteria Sen. Ron Kouchi and Sen. Donna Kim",
"2011-01-14 ","19:19:06","Daniel_Inouye","""I think our rhetoric has become a bit too harsh."" http://bit.ly/fHhS3f @StarAdvertiser",
"2011-01-14 ","18:42:03","Daniel_Inouye","“That should be common sense.” @StarPolitics @StarAdvertiser http://bit.ly/gMdbHd",
"2011-01-13 ","22:34:42","Daniel_Inouye","Senator Inouye is @PacificBeachHtl for the @NavRegHawaii League luncheon.",
"2011-01-13 ","21:56:09","Daniel_Inouye","Senator Inouye is about to speak at the @NavRegHawaii League luncheon at the Pacific Beach Hotel in Waikiki. @USNavy  #Navy","Navy"
"2011-01-13 ","21:21:16","Daniel_Inouye","Senator Inouye's remarks from ""A Symposium on Innovation,"" delivered today at the Sheraton Waikiki. http://bit.ly/gFZWIl @UHawaiiNews",
"2011-01-13 ","17:29:42","Daniel_Inouye","Senator Inouye is preparing to deliver remarks at ""A Symposium on Innovation"" at the Sheraton Waikiki. @UHawaiiNews #Hawaii","Hawaii"
"2011-01-13 ","04:30:06","Daniel_Inouye","Senator Inouye and Irene are headed to dinner at Side Street Inn.",
"2011-01-11 ","17:44:44","Daniel_Inouye","Senator Inouye is heading home to Hawaii.",
"2011-01-07 ","21:41:35","Daniel_Inouye","@SenGaluteria Mahalo for your kind words and support.",
"2011-01-07 ","21:39:28","Daniel_Inouye","@earlson888 Mahalo for your support.",
"2011-01-07 ","19:49:25","Daniel_Inouye","Senator Inouye is meeting with @kirkcaldwell in the U.S. Capitol",
"2011-01-06 ","21:08:19","Daniel_Inouye","""As Senate Appropriations chairman, Inouye will be in the middle of the deal-making."" http://bit.ly/hQUgmn",
"2009-11-03 ","22:02:31","Daniel_Inouye","Senator Inouye issued the following statement following the end of pineapple production at ML&P. http://bit.ly/3ZESAx",
"2016-07-05 ","02:30:18","maziehirono","Happy to spend #4thOfJuly with our veterans &amp; many others at the annual Kailua Independence Day parade https://t.co/pjfEXwUs69","4thOfJuly"
"2015-10-29 ","23:02:11","maziehirono","Happy #NationalCatDay! Since adopting Hemic from @hawaiianhumane, he's been a cherished member of our family https://t.co/e1901A3tY5","NationalCatDay"
"2015-09-29 ","19:07:32","maziehirono","Visit https://t.co/mUMiVTvLVK to review @Interior's Proposed Rule on establishing a gov-to-gov relationship w/ the Native Hawaiian community",
"2015-09-29 ","19:03:42","maziehirono","Today's @Interior announcement is a significant step for Native Hawaiian community’s work toward self-determination http://t.co/7VWn2xgQHT",
"2015-07-14 ","19:55:50","maziehirono","HI, AK &amp; territories can serve as examples of moving away from dependence on fossil fuels. Watch my statement at http://t.co/BVmzGFFTCO",
"2015-07-14 ","19:54:44","maziehirono","At this morning's @EnergyDems hearing on islanded energy, @EnergyHawaiiGov Admin Mark Glick &amp; I spoke about HI's 100% renewable goal by 2045",
"2015-06-15 ","19:48:41","maziehirono","The success of #DACA shows that we must continue the fight to bring all immigrants out of the shadows #DACAworks","DACA DACAworks"
"2015-06-15 ","19:22:00","maziehirono","I introduced bills that would extend in-state tuition &amp; Pell Grants to #DREAMers to give them a fair shot at a college education #DACAworks","DREAMers DACAworks"
"2015-06-15 ","19:07:23","maziehirono","3 years since #DACA began, 660,000 DREAMers have come out of the shadows &amp; contribute to our nation without fear of deportation #DACAworks","DACA DACAworks"
"2015-06-09 ","20:52:51","maziehirono","Congratulations to Honolulu's Gertrude Yukie Tsutsumi for recognition as a #NEAHeritage fellow for Japanese classical dance @NEAarts","NEAHeritage"
"2015-06-09 ","19:01:51","maziehirono","That's right @HeardontheHill- look for spam musubi at #HawaiiOnTheHill. It's a HI favorite! http://t.co/Jlsjv0tBBU http://t.co/v2qEaG6KXB","HawaiiOnTheHill"
"2014-05-21 ","22:40:49","maziehirono","@KupunaAdvocate Mahalo!",
"2014-05-21 ","20:23:29","maziehirono","$15 million for Honolulu International Airport. Good news for Hawaii #travel &amp; #tourism http://t.co/VYYZXgJ2Ag #HNL","travel tourism HNL"
"2014-04-01 ","21:17:17","maziehirono","Many @UHManoaNews students rely on #FinancialAid. #PellGrant Protection Act expands access to vital program http://t.co/BVkrmUnyXG","FinancialAid PellGrant"
"2014-04-01 ","21:01:22","maziehirono","#PellGrant Protection Act helps students attend #college regardless of financial situation http://t.co/BVkrmUnyXG","PellGrant college"
"2014-04-01 ","20:58:32","maziehirono","Proud to intro #PellGrant Protection Act w/ @SenJackReed @SenWhitehouse &amp; @USRepRHinojosa to help students http://t.co/BVkrmUnyXG","PellGrant"
"2014-02-18 ","13:33:10","maziehirono","""Hawaii is the anchor, the center of this Pacific rebalance."" U.S. Senator Richard Durbin speaking… http://t.co/3blhaUR264",
"2014-02-18 ","13:04:50","maziehirono","Heartfelt mahalo to my friend @SenatorDurbin for spending your valuable time w/HI's Military Affairs Council http://t.co/XOQYkyBeaR",
"2013-07-24 ","00:13:44","maziehirono","Just ran into Sen. Bob Dole &amp; wished him a happy 90th birthday. We reminisced about Sen. Inouye and their friendship. http://t.co/XajwSSMABd",
"2013-03-11 ","21:52:38","maziehirono","I’m introducing PRE-K Act b/c high quality preschool makes the biggest difference in educational outcomes http://t.co/iFrsTsh8As",
"2013-03-11 ","21:48:28","maziehirono","Two years after horrific earthquake and tsunami, Japan’s people continue to inspire the world with their courage and resilience",
"2013-03-11 ","18:36:59","maziehirono","Enjoyed talking story w/ sharp 6th graders from Iroquois Point Elem. Talked about the importance of preschool http://t.co/4Bv144SWgF",
"2012-12-12 ","21:48:24","maziehirono","I am confident we can accomplish many things if we carry ourselves with the aloha spirit embodied by Senator Akaka http://t.co/B0gN0hPE",
"2012-12-12 ","21:47:57","maziehirono","At a time when so many challenging issues face our country, let’s look to Senator Akaka’s example and come together to find real solutions",
"2012-12-12 ","21:47:39","maziehirono","where people in the same boat go nowhere if paddling in opposite directions. Yet, by working together, we can all go great distances",
"2012-12-12 ","21:47:23","maziehirono","In today’s farewell address, @SenatorAkaka noted the metaphor of the canoe...",
"2012-09-25 ","22:19:33","maziehirono","Just a few days until #smallbiz webinars on #healthcare tax credits! Register now &amp; take advantage of this resource http://t.co/CBmCVhuH","smallbiz healthcare"
"2012-08-03 ","21:45:06","maziehirono","Addressing the critical issue of #marine #debris is essential for our #environment, safe #navigation, and our #economy http://t.co/HNllpuYq","marine debris environment navigation economy"
"2012-08-03 ","18:39:45","maziehirono","These are the kinds of foundational investments that strengthen Hawaii” (8/8)",
"2012-08-03 ","18:39:10","maziehirono","the magnificent viewscapes and wealth of native flora and fauna of one of our nation's #natural #treasures (7/8)","natural treasures"
"2012-08-03 ","18:38:30","maziehirono","Improving the #parking facilities at #Haleakala National Park will enhance the #visitor experience for those who want to enjoy (6/8)","parking Haleakala visitor"
"2012-08-03 ","18:37:52","maziehirono","for our #visitor industry that’s currently experiencing #record #numbers (5/8)","visitor record numbers"
"2012-08-03 ","18:37:17","maziehirono","Rehabilitating #Honolulu International #Airport’s #taxiway means stronger support (4/8)","Honolulu Airport taxiway"
"2012-08-03 ","18:36:08","maziehirono","help ensure the #safety of those #traveling throughout #Hawaii (3/8)","safety traveling Hawaii"
