"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","16:28:06","MikeCrapo","Meet my fall 2016 D.C. interns, Klodina (Boise) &amp; Amber (Nampa). https://t.co/lsyY2TvrxC",
"2016-09-21 ","16:02:41","MikeCrapo","The best national direction comes from the common sense in #ID. More in my #WeeklyWednesday column: https://t.co/ATrbdj2DlX https://t.co/7XfUHV0vVs","ID WeeklyWednesday"
"2016-07-15 ","19:10:24","MikeCrapo","It was a pleasure speaking at ID @AmericanLegion’s 98th state convention. Thank you for your continued service. https://t.co/ITNlZvWz5p",
"2016-07-15 ","15:27:50","MikeCrapo","@Brandwatch &amp; @Monster release report telling us what we already knew:

Idaho ranks 1ST for state w/happiest workers
https://t.co/ZdMzeu9rbh",
"2016-06-10 ","19:21:35","MikeCrapo","ICYMI-The @IdahoStatesman published a piece I wrote w/ @RonWyden about a compromise to treat wildfires as disasters. https://t.co/3rt7kXUz2Z",
"2016-02-23 ","21:06:10","MikeCrapo",".@preventcancer's outstanding work is helping families across the country battling debilitating diseases. #idpol https://t.co/qhJRvcpdlQ","idpol"
"2016-02-23 ","18:01:11","MikeCrapo","The national #debt now exceeds $19 trillion. We need to fix the ever-growing pit of debt our nation is amassing: https://t.co/fenUckfxCN","debt"
"2015-11-30 ","19:48:23","MikeCrapo","Celebrating Hometown Heroes is an honor as we work for the betterment of our communities. More here: https://t.co/anKdyaJoLM #idpol","idpol"
"2015-11-25 ","16:34:12","MikeCrapo","ICYMI: This Saturday is Small Business Saturday! To read more, click here: https://t.co/OlIY40sODl #idpol #ShopSmall","idpol ShopSmall"
"2015-10-29 ","16:10:23","MikeCrapo",".@INL continues its unmatched innovation with another regional recognition. Congrats! more here:https://t.co/e0ptORTFv7 #idpol #INL #Nuclear","idpol INL Nuclear"
"2015-09-29 ","16:29:58","MikeCrapo","#IranDeal is unacceptable &amp; gives the Iranian regime a green light to continue its export of violence. http://t.co/qhQVj3ahly #BadIranDeal","IranDeal BadIranDeal"
"2015-07-14 ","21:35:34","MikeCrapo","Any nuclear deal with Iran should have begun with securing the release of Pastor Saeed Abedini. http://t.co/CK8kJ1LHPP #SaveSaeed #idpol","SaveSaeed idpol"
"2015-06-09 ","17:42:22","MikeCrapo","Thanks to everyone who welcomed me to Shelley and participated in one of my town meetings this weekend. #idpol http://t.co/F1x3bachtD","idpol"
"2014-05-21 ","23:00:02","MikeCrapo","Legislation to end local land disputes in Idaho gained momentum today. More here: http://t.co/MFROhkZG9Q #idpol","idpol"
"2014-05-21 ","21:40:23","MikeCrapo","Congress must rectify this wrong and reverse this impractical and misguided rule. #idpol (3/3)","idpol"
"2014-05-21 ","21:39:46","MikeCrapo",".@USDA allows mothers to purchase nutrient dense fresh white potatoes with WIC vouchers at farmers markets, but not grocery stores. (2/3)",
"2014-05-21 ","21:39:04","MikeCrapo","Only one of these bags is eligible for purchase under @USDA’s WIC program.  Can you identify which one? #idpol (1/3) http://t.co/zMXoGKhyco","idpol"
"2014-04-01 ","21:14:15","MikeCrapo","ICYMI: I questioned #EPA efforts to reduce funding for bipartisan programs while increasing it for controversial ones.http://t.co/X0H0GpwWWK","EPA"
"2014-04-01 ","19:18:26","MikeCrapo","I appreciate @RepDaveCamp’s tireless work to reform our nation’s broken tax code and wish him all the best in his retirement next year.",
"2014-04-01 ","18:35:14","MikeCrapo","Read about the work I did in Idaho over the state work period in the March edition of my e-newsletter here. #idpol http://t.co/LQFNIGcEWi","idpol"
"2014-04-01 ","16:00:33","MikeCrapo","@INL is an asset to #Idaho &amp; the U.S. in nuclear energy research. This extension means continued employment and expertise at the lab.[2/2]","Idaho"
"2014-04-01 ","15:58:10","MikeCrapo","Glad to see that @Battelle Energy Alliance contract at the @INL has been renewed for an additional five years. [1/2] http://t.co/H35PKfqY4N",
"2014-04-01 ","00:40:20","MikeCrapo","Tonight, I opposed the nomination of John Owens to the 9th circuit. Read why here: #idpol Via @TheHill http://t.co/B3WqBlXcl9","idpol"
"2014-02-18 ","23:51:13","MikeCrapo","RT @BudgetHawks: Thomas Jefferson had something to say about fiscal responsibility. http://t.co/8TRCFX1erQ",
"2014-02-18 ","23:42:14","MikeCrapo","Heading home from work? Tune your radio to @KBOI670. I will be live, in-studio with @NateShelman at 5PM MST. #idpol http://t.co/eZg4HIZ6dq","idpol"
