"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:58:02","BarackObama","Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess. https://t.co/lkLz4yidaw #DoYourJob","DoYourJob"
"2016-09-21 ","17:53:17","BarackObama","The American Bar Association gave Judge Garland its highest possible rating. He deserves a hearing and a vote. #MerricksMerits https://t.co/ItMNKx4RJx","MerricksMerits"
"2016-09-21 ","16:34:02","BarackObama","""Their right to inherit a healthy planet is a sacred responsibility."" —President Obama #ActOnClimate https://t.co/MYumi6xiIW","ActOnClimate"
"2016-09-21 ","14:57:56","BarackObama","Communities are already experiencing the effects of climate change—we can't afford not to act. Take a look: https://t.co/WnBmiZDMr3 https://t.co/3BFbRDUXBv",
"2016-07-15 ","18:58:35","BarackObama","Happening now: President Obama is delivering remarks at the Diplomatic Corps Reception. https://t.co/0UeX55Gijc",
"2016-06-10 ","20:56:53","BarackObama","""Minds open. Hearts change. America shifts."" —President Obama #Pride2016 
https://t.co/JJSBJW5UEb","Pride2016"
"2016-06-10 ","19:53:24","BarackObama","Today, #LoveIsLove in all 50 states. But millions of Americans are still fighting to end discrimination—join them: https://t.co/07hwYLJOy8","LoveIsLove"
"2016-06-10 ","17:47:53","BarackObama","This is how you Slow Jam the News: https://t.co/bToPKW4UCM #POTUSonFallon","POTUSonFallon"
"2016-06-10 ","00:43:05","BarackObama","Watch President Obama Slow Jam the News on @FallonTonight at 11:35 p.m. ET. #POTUSonFallon https://t.co/RuwpGwbTSA","POTUSonFallon"
"2016-02-23 ","22:59:30","BarackObama","Refusing to even consider the President's Supreme Court nominee is unprecedented. Tell the Senate: #DoYourJob. https://t.co/kSrKv5e3Ae","DoYourJob"
"2016-02-23 ","18:33:05","BarackObama","With more than 300 days left in President Obama's term, the Senate has no excuse to delay. #DoYourJob https://t.co/ultmGstueA","DoYourJob"
"2016-02-23 ","17:19:26","BarackObama","Be part of the team debunking myths with facts—join the @OFA Truth Team: https://t.co/6z9PgSYuSk https://t.co/51zJn9N8qa",
"2016-02-23 ","15:31:44","BarackObama","LIVE: President Obama is delivering a statement from the Roosevelt Room. https://t.co/8yT6ov8klS",
"2016-02-18 ","20:17:27","BarackObama","The longest streak of private-sector job growth, 4.9% unemployment rate—middle-class economics is working. https://t.co/jWIZ0IZwL1",
